,HLA-F (3134)
ACH-000004,-0.5803292506149167
ACH-000005,-0.3531646210466702
ACH-000007,-0.01750311103249926
ACH-000009,-0.16448758904789118
ACH-000011,-0.2479810385819177
ACH-000012,-0.17703028807481144
ACH-000013,-0.12722344525287044
ACH-000014,-0.02321924424644897
ACH-000015,-0.1697145102708874
ACH-000017,-0.15895037236634288
ACH-000018,-0.39304135182158856
ACH-000019,-0.14417538143566325
ACH-000021,-0.09215528021904833
ACH-000022,-0.19727218525080792
ACH-000025,-0.2349650626901841
ACH-000028,-0.01871566578608181
ACH-000030,-0.12027689074415275
ACH-000035,-0.11107903221712773
ACH-000036,-0.3063368649273285
ACH-000037,-0.218210187390883
ACH-000039,-0.08356369525228663
ACH-000040,-0.14888003555115648
ACH-000041,-0.30678137446765197
ACH-000042,-0.13631546245528606
ACH-000045,0.0837544865010038
ACH-000047,-0.2334578254816337
ACH-000052,-0.16347743097206388
ACH-000053,-0.2526191167591037
ACH-000054,-0.1363511273239481
ACH-000055,-0.07140589578393441
ACH-000060,-0.11699424806590353
ACH-000067,-0.0966739716923362
ACH-000070,-0.21574862053576951
ACH-000075,-0.5170731334107471
ACH-000078,-0.18915288347811404
ACH-000082,-0.16865331722404442
ACH-000085,-0.11613854531338635
ACH-000086,-0.15371613343505364
ACH-000087,-0.21155708431915016
ACH-000092,-0.2400946024406687
ACH-000095,-0.2105556644689956
ACH-000097,-0.17069312528158734
ACH-000098,-0.13276500625320284
ACH-000099,-0.17900154146946765
ACH-000108,-0.05551318786677153
ACH-000113,-0.2313778940013108
ACH-000116,-0.03442653210266481
ACH-000118,-0.14774802677067744
ACH-000120,-0.1771124638790463
ACH-000123,-0.062293975866014976
ACH-000127,-0.2420386650824592
ACH-000128,-0.4023286106279769
ACH-000132,0.0011176530486682558
ACH-000133,-0.07479581624806719
ACH-000137,-0.2662767609358098
ACH-000138,-0.2073532016789443
ACH-000142,-0.22009503682010964
ACH-000143,-0.15422793749280175
ACH-000146,-0.1278981954604681
ACH-000148,-0.1910778586059554
ACH-000150,-0.1353050091203621
ACH-000152,-0.1887748733677852
ACH-000153,-0.12181894504217372
ACH-000159,-0.14412100030861533
ACH-000160,-0.2641624089992521
ACH-000163,-0.23337584581428425
ACH-000167,-0.2202763688903768
ACH-000168,-0.0985298801442298
ACH-000169,0.002104481675183365
ACH-000178,-0.09916344712141176
ACH-000183,0.09710554651938652
ACH-000188,-0.15472428192682436
ACH-000189,-0.11268665774141115
ACH-000190,-0.4807709118738067
ACH-000198,-0.3166303665149207
ACH-000203,-0.4976249224289212
ACH-000204,-0.25110573072152903
ACH-000206,-0.2797884609288066
ACH-000207,-0.3256004019446826
ACH-000208,-0.05263050235574022
ACH-000210,-0.039052659822909376
ACH-000211,-0.22450510878695112
ACH-000215,-0.15727149134323778
ACH-000221,-0.3553989659925312
ACH-000222,-0.26809069405379465
ACH-000223,-0.2029971327068172
ACH-000226,-0.3219182356985125
ACH-000227,-0.1720872746233861
ACH-000228,-0.1921909330405022
ACH-000231,-0.0962117533750767
ACH-000232,-0.032422380934977416
ACH-000233,-0.3629089846121037
ACH-000234,-0.22313313368135645
ACH-000235,-0.21120158653593404
ACH-000237,-0.19755054873267566
ACH-000238,-0.3831816952460816
ACH-000242,0.21379584253464087
ACH-000243,-0.11163227821977363
ACH-000244,-0.25900166866434904
ACH-000246,0.03749438173658839
ACH-000248,-0.2684700458482533
ACH-000250,-0.2980186130534457
ACH-000251,-0.3060800026616459
ACH-000252,0.05609979103682465
ACH-000253,-0.14176730010768165
ACH-000255,-0.2172742003813177
ACH-000256,-0.2681976557469277
ACH-000257,0.035353813846532224
ACH-000258,-0.2410959564255989
ACH-000259,-0.14202440344928313
ACH-000260,-0.019105618136654408
ACH-000261,-0.10183185883466724
ACH-000262,-0.06764009389475882
ACH-000263,-0.3210599355368693
ACH-000264,-0.06525620082142497
ACH-000265,-0.20735650265103206
ACH-000266,-0.22384472886087864
ACH-000272,-0.17552518667815914
ACH-000274,-0.1434688177944065
ACH-000277,-0.11811461487165535
ACH-000278,-0.1571430808651861
ACH-000279,-0.219310050427603
ACH-000280,-0.26656533159572404
ACH-000281,-0.3086618955088574
ACH-000288,-0.20882467572966454
ACH-000291,-0.02498867182797767
ACH-000293,-0.17953088456345953
ACH-000294,0.02818409633545587
ACH-000295,-0.08203343956315337
ACH-000296,-0.032902501495607465
ACH-000302,-0.12343491516663235
ACH-000304,0.2467041490023138
ACH-000307,-0.10402228110180392
ACH-000308,-0.05950148082365755
ACH-000310,-0.12548604142828024
ACH-000311,-0.21844113951795105
ACH-000312,-0.2376931675552379
ACH-000315,-0.25915802629626444
ACH-000316,-0.222412933166526
ACH-000317,-0.20774066534697316
ACH-000318,-0.1643384429888014
ACH-000319,-0.12146737671164208
ACH-000320,-0.3773420825369249
ACH-000322,-0.1084275669347754
ACH-000323,-0.20024923683502105
ACH-000324,-0.2101320634866637
ACH-000329,-0.2295601139080193
ACH-000330,-0.3055249992633477
ACH-000331,-0.1802508287557198
ACH-000332,-0.20331872211521992
ACH-000334,-0.2769760088447472
ACH-000335,-0.26349282629574905
ACH-000336,0.033874715942360085
ACH-000337,-0.11425232829211175
ACH-000338,0.3472693766819574
ACH-000339,-0.20068038351059334
ACH-000341,-0.273118791706672
ACH-000348,-0.11273535267909902
ACH-000350,-0.0956184808307535
ACH-000352,-0.11477999506661365
ACH-000356,-0.4255624168144553
ACH-000361,-0.09335046979417494
ACH-000362,-0.3526911354961203
ACH-000363,-0.13917951580883026
ACH-000364,-0.2935588971793505
ACH-000365,-0.23119445471704664
ACH-000366,-0.1128319053314144
ACH-000368,-0.13877084374173007
ACH-000374,-0.3966587157590796
ACH-000375,-0.1909006762848382
ACH-000376,-0.27217055567296977
ACH-000381,-0.2401953959443105
ACH-000383,-0.20269111323831399
ACH-000387,-0.16007319159120514
ACH-000389,-0.06372438074899074
ACH-000390,-0.3117071240483842
ACH-000393,-0.18755271341078086
ACH-000395,-0.41681146866774704
ACH-000396,-0.6916042471753078
ACH-000397,-0.1803806219771453
ACH-000401,-0.11371867173671947
ACH-000402,-0.5085949829175304
ACH-000403,-0.2485082920813269
ACH-000404,0.029876201951175307
ACH-000406,-0.2438141290215533
ACH-000407,-0.2564984239017142
ACH-000408,-0.2332961026811593
ACH-000410,-0.17662231192260447
ACH-000411,-0.15357990826835494
ACH-000414,-0.0703997940684787
ACH-000415,-0.1255184486707905
ACH-000416,-0.16348709179965565
ACH-000420,-0.2119060612299661
ACH-000421,-0.1174161391244432
ACH-000424,-0.19374215405666484
ACH-000425,-0.29414338573680066
ACH-000426,-0.3254560049337557
ACH-000427,-0.06309748209785923
ACH-000433,-0.016697397313937982
ACH-000435,0.08127464578825827
ACH-000436,-0.27699975775487634
ACH-000444,-0.35781443513006045
ACH-000445,0.009787401810674863
ACH-000448,-0.12709383166283
ACH-000450,0.04280965375356867
ACH-000452,-0.10395775919342427
ACH-000454,-0.26904523935070424
ACH-000458,-0.11733880851770034
ACH-000459,-0.04830521135214661
ACH-000460,-0.3078694385128369
ACH-000461,-0.24942781849220436
ACH-000463,-0.23641774847814656
ACH-000464,-0.12165983913524127
ACH-000466,-0.16204442139581565
ACH-000467,-0.25799607684157266
ACH-000468,-0.06203427512661953
ACH-000469,-0.1977850659482131
ACH-000470,-0.26985283828727863
ACH-000471,0.0038711847375387594
ACH-000472,-0.1774104442516738
ACH-000473,-0.14506035599112116
ACH-000475,-0.1326322369107557
