,WRAP53 (55135)
ACH-000004,-0.2269020055422848
ACH-000005,-0.1964487841849144
ACH-000007,-0.3445216922820124
ACH-000009,-0.467393893987047
ACH-000011,-0.4861972366058139
ACH-000012,-0.1053828063151733
ACH-000013,-0.16971394547993798
ACH-000014,-0.009277528478271487
ACH-000015,-0.1736018983312761
ACH-000017,-0.3812436435120068
ACH-000018,-0.367824290413392
ACH-000019,-0.2974701319451804
ACH-000021,-0.13409146617587206
ACH-000022,-0.2285428750251388
ACH-000025,-0.32170796354892184
ACH-000028,-0.32703281951744106
ACH-000030,-0.21567799790344686
ACH-000035,-0.3937939855361132
ACH-000036,-0.1292711026874394
ACH-000037,-0.30956577042870376
ACH-000039,-0.35871879996248235
ACH-000040,-0.5695497668893337
ACH-000041,-0.3110365620411764
ACH-000042,-0.4183178818353854
ACH-000045,-0.2422501788337396
ACH-000047,-0.20533918161545447
ACH-000052,-0.2692453309234893
ACH-000053,-0.2112946234569824
ACH-000054,-0.0010643280741857936
ACH-000055,-0.3545712027977199
ACH-000060,-0.4667475829037025
ACH-000067,-0.5107928899950881
ACH-000070,-0.22141777085248185
ACH-000075,-0.18394527916731848
ACH-000078,-0.3078702586581128
ACH-000082,-0.3395768801768269
ACH-000085,-0.2497747271285458
ACH-000086,-0.2432363798701476
ACH-000087,-0.4433563489944543
ACH-000092,-0.16045261424855078
ACH-000095,-0.2395849636811276
ACH-000097,-0.3451735843801048
ACH-000098,-0.37256990173415977
ACH-000099,-0.21616130016382126
ACH-000108,-0.28701776120329714
ACH-000113,-0.12726086786401425
ACH-000116,-0.5296002011812
ACH-000118,-0.402941043382704
ACH-000120,-0.408423367974796
ACH-000123,-0.22389844008905507
ACH-000127,-0.16376566990316538
ACH-000128,-0.045588352665676485
ACH-000132,-0.5056310533158658
ACH-000133,-0.3714318318593101
ACH-000137,-0.373425229565998
ACH-000138,-0.3466177564137606
ACH-000142,-0.5635805372944739
ACH-000143,-0.5246664670028596
ACH-000146,-0.2894822100702057
ACH-000148,-0.3590148245332377
ACH-000150,-0.21327466924390806
ACH-000152,-0.3599678323108482
ACH-000153,-0.01297339516027769
ACH-000159,-0.158533979085398
ACH-000160,-0.2860003511975615
ACH-000163,-0.4621999977044625
ACH-000167,-0.04559572634287905
ACH-000168,-0.4213408067564316
ACH-000169,-0.2154088182042456
ACH-000178,-0.3863898775301625
ACH-000183,-0.33299380011718605
ACH-000188,-0.4545217574173562
ACH-000189,-0.5230532138338447
ACH-000190,-0.2502176574031092
ACH-000198,-0.4163038430214519
ACH-000203,0.16422737331703816
ACH-000204,-0.3464696555905882
ACH-000206,-0.5455995733522886
ACH-000207,-0.2097934844939053
ACH-000208,-0.19908628990853852
ACH-000210,-0.5214233216904961
ACH-000211,-0.2465888238720661
ACH-000215,-0.2685321719368155
ACH-000221,-0.4136531388705421
ACH-000222,-0.4184285615492267
ACH-000223,-0.2492058153924003
ACH-000226,-0.31319096271894675
ACH-000227,-0.3566778750828047
ACH-000228,-0.4547296776486154
ACH-000231,-0.2944380660956784
ACH-000232,-0.2675242969848167
ACH-000233,-0.3559836514433236
ACH-000234,-0.20394941032474545
ACH-000235,-0.2785587949737515
ACH-000237,-0.4400583019844024
ACH-000238,-0.4126452248240997
ACH-000242,-0.5820090182846539
ACH-000243,-0.500461480749381
ACH-000244,-0.24054937796916254
ACH-000246,-0.28763343275036063
ACH-000248,0.004922671628665388
ACH-000250,-0.4152332363982909
ACH-000251,-0.3573576795768817
ACH-000252,-0.3247178784663361
ACH-000253,-0.2284373928271346
ACH-000255,-0.2004200454163637
ACH-000256,-0.4300861893901996
ACH-000257,-0.11057109461256064
ACH-000258,-0.4268015456831916
ACH-000259,-0.3038505233102049
ACH-000260,-0.5928077031131183
ACH-000261,-0.3218495151206737
ACH-000262,-0.22278154127479488
ACH-000263,0.04859180665853554
ACH-000264,-0.31178691338794656
ACH-000265,-0.4719200396019189
ACH-000266,-0.3000365695825426
ACH-000272,-0.2419066613530119
ACH-000274,-0.3124681961291691
ACH-000277,-0.4037627915164319
ACH-000278,-0.3941647971404665
ACH-000279,-0.3494787644604192
ACH-000280,-0.15723694674078909
ACH-000281,-0.13591015319609026
ACH-000288,-0.5144558449126445
ACH-000291,-0.2583322680821552
ACH-000293,-0.13367442916404654
ACH-000294,-0.3217083054294045
ACH-000295,-0.2823422075352613
ACH-000296,-0.39626865492091307
ACH-000302,-0.1961970165521095
ACH-000304,-0.3285239676555189
ACH-000307,-0.11539719327742068
ACH-000308,-0.304859694246667
ACH-000310,-0.11630286316689155
ACH-000311,-0.1328925989140563
ACH-000312,-0.3888188331253178
ACH-000315,-0.18954918117425787
ACH-000316,-0.5143314072812466
ACH-000317,-0.0669340146681794
ACH-000318,-0.4459564398509205
ACH-000319,-0.3021333286799369
ACH-000320,-0.35730338532557704
