,NUFIP1 (26747)
ACH-000004,-0.2661354242242415
ACH-000005,-0.30624973629781443
ACH-000007,-0.6357451124299683
ACH-000009,-0.10314788247606542
ACH-000011,-0.5340192552309377
ACH-000012,-0.3983394428767838
ACH-000013,-0.4158254303562041
ACH-000014,-0.3818446236500213
ACH-000015,-0.4045874802436397
ACH-000017,-0.2463303161008593
ACH-000018,-0.3192275139246807
ACH-000019,-0.2914133149534476
ACH-000021,-0.4841829003231428
ACH-000022,-0.1809329125914905
ACH-000025,-0.3032182451364454
ACH-000028,-0.4782338210245557
ACH-000030,-0.4011896051633028
ACH-000035,-0.5184029560254722
ACH-000036,-0.2655067045018745
ACH-000037,-0.4586549034358781
ACH-000039,-0.43145811474304574
ACH-000040,-0.5339944680367807
ACH-000041,-0.32751615389183514
ACH-000042,-0.2870011788549828
ACH-000045,-0.14921729511626922
ACH-000047,-0.3872975342784635
ACH-000052,-0.42566019083297696
ACH-000053,-0.3630000793684987
ACH-000054,-0.17140370476039074
ACH-000055,-0.4559395421915656
ACH-000060,-0.5299513256401437
ACH-000067,-0.41731087043939097
ACH-000070,-0.6228248335660563
ACH-000075,-0.4197511112160139
ACH-000078,-0.42582786349676655
ACH-000082,-0.2400442855135972
ACH-000085,-0.11884644773784166
ACH-000086,-0.39404815709093777
ACH-000087,-0.4106500288249692
ACH-000092,-0.3660470482239976
ACH-000095,-0.4520400027335451
ACH-000097,-0.3675059172288097
ACH-000098,-0.3821549462391513
ACH-000099,-0.3890999322806574
ACH-000108,-0.1840307792875556
ACH-000113,-0.2937935486848449
ACH-000116,-0.519058662013005
ACH-000118,-0.31831475265216275
ACH-000120,-0.28677974198955825
ACH-000123,-0.409955476077154
ACH-000127,-0.3012517825085659
ACH-000128,-0.3307111038450059
ACH-000132,-0.5072792877640168
ACH-000133,-0.5057245046221026
ACH-000137,-0.33586663108617704
ACH-000138,-0.3861605295402985
ACH-000142,-0.25294102056856005
ACH-000143,-0.4453844842797039
ACH-000146,-0.5094482816036732
ACH-000148,-0.4168814378215842
ACH-000150,-0.24178872923975764
ACH-000152,-0.4398376084978974
ACH-000153,-0.4423493482921533
ACH-000159,-0.498004248199331
ACH-000160,-0.3602982091598798
ACH-000163,-0.19513875141123926
ACH-000167,-0.31827542036286394
ACH-000168,-0.32481741430840805
ACH-000169,-0.5118243602549498
ACH-000178,-0.2594408605612762
ACH-000183,-0.2985658981358301
ACH-000188,-0.3690200993616719
ACH-000189,-0.4945082771645782
ACH-000190,-0.2708482447747625
ACH-000198,-0.40833981913187295
ACH-000203,-0.7054637321421778
ACH-000204,-0.37091063993115403
ACH-000206,-0.12977075697848772
ACH-000207,-0.2743511012700289
ACH-000208,-0.7014759065667194
ACH-000210,-0.3376504993381681
ACH-000211,-0.4360668769174811
ACH-000215,-0.3847619974933512
ACH-000221,-0.5039271914079961
ACH-000222,-0.20913905814561248
ACH-000223,-0.42576336510616136
ACH-000226,-0.512259056923224
ACH-000227,-0.4334013167806894
ACH-000228,-0.5246729700510476
ACH-000231,-0.31026329359479266
ACH-000232,-0.4425683147587539
ACH-000233,-0.2539919001081216
ACH-000234,-0.3957377348562437
ACH-000235,-0.28706516944287863
ACH-000237,-0.3122778312566647
ACH-000238,-0.2720826522291371
ACH-000242,-0.5571898596321523
ACH-000243,-0.2300187239042537
ACH-000244,-0.5420969745716525
ACH-000246,-0.3678558739264562
ACH-000248,-0.4033213828804924
ACH-000250,-0.4387663507861469
ACH-000251,-0.6190265355849228
ACH-000252,-0.39787334705629934
ACH-000253,-0.3428324353897849
ACH-000255,-0.5940622497210982
ACH-000256,-0.2042161756014264
ACH-000257,-0.3580662518479004
ACH-000258,-0.330895558622471
ACH-000259,-0.3867286718091258
ACH-000260,-0.4291703622410408
ACH-000261,-0.33229202652074197
ACH-000262,-0.265126578280459
ACH-000263,-0.19066579344248005
ACH-000264,-0.3105798848846309
ACH-000265,-0.5402042911639308
ACH-000266,-0.4370848389702007
ACH-000272,-0.41309703456711455
ACH-000274,-0.4331568674069057
ACH-000277,-0.2494231622654412
ACH-000278,-0.4962689273895655
ACH-000279,-0.4550037031918617
ACH-000280,-0.2568176144395909
ACH-000281,-0.343268473932866
ACH-000288,-0.2618999930394897
ACH-000291,-0.31890357732252145
ACH-000293,-0.424673918217824
ACH-000294,-0.21785652996140914
ACH-000295,-0.1356470703335919
ACH-000296,-0.2952574379329235
ACH-000302,-0.5896773906257329
ACH-000304,-0.6433022528751327
ACH-000307,-0.4276376454311105
ACH-000308,-0.3543101793431734
ACH-000310,-0.2854098605527283
ACH-000311,-0.3771685936854257
ACH-000312,-0.3633133235450967
ACH-000315,-0.40807893203167794
ACH-000316,-0.4645278669879198
ACH-000317,-0.461269371400925
ACH-000318,-0.4542771503749339
ACH-000319,-0.2580019802763093
ACH-000320,-0.278113115354591
ACH-000322,-0.6340407123231052
ACH-000323,-0.21515064174220605
ACH-000324,-0.4479319625895726
ACH-000329,-0.2171548583939816
ACH-000330,-0.3008866508823815
ACH-000331,-0.5355735759732249
ACH-000332,-0.33446899595887764
ACH-000334,-0.2986718254205943
ACH-000335,-0.43774946733233294
ACH-000336,-0.23106365235673376
ACH-000337,-0.057302973383829066
ACH-000338,0.07173222850901173
ACH-000339,-0.4081794372316811
ACH-000341,-0.32941006336333545
ACH-000348,-0.24856473561143394
ACH-000350,-0.11402295346482785
ACH-000352,-0.4286878443053777
ACH-000356,-0.30939785172442524
ACH-000361,-0.3024625618330746
ACH-000362,-0.06284340097393608
ACH-000363,-0.19140568252785226
ACH-000364,-0.5435532713107786
ACH-000365,-0.2940130973973948
ACH-000366,-0.2964327136830517
ACH-000368,-0.32479366763746903
ACH-000374,-0.3701278308505023
