,ARFIP2 (23647)
ACH-000004,-0.2043072234065864
ACH-000005,0.14854767667504182
ACH-000007,-0.19328660171315246
ACH-000009,-0.09559275853067976
ACH-000011,0.1888130085247696
ACH-000012,-0.11930756208110027
ACH-000013,-0.07666606332209101
ACH-000014,0.0076742428321884566
ACH-000015,0.008902538417024465
ACH-000017,0.007016686939085071
ACH-000018,-0.08758606925534812
ACH-000019,-0.122816324263599
ACH-000021,-0.08895621843419264
ACH-000022,-0.05396351476214481
ACH-000025,-0.17958429430319636
ACH-000028,-0.15555302361760442
ACH-000030,-0.07371032926844087
ACH-000035,-0.13974769274673265
ACH-000036,-0.06097037450323285
ACH-000037,-0.2177256986021581
ACH-000039,-0.10923264154442636
ACH-000040,-0.08727812813111188
ACH-000041,-0.11338661568984044
ACH-000042,-0.07682563968643252
ACH-000045,-0.15148132004995865
ACH-000047,-0.012483232263544131
ACH-000052,0.027794302732342048
ACH-000053,-0.04430777894698272
ACH-000054,0.02063711082673588
ACH-000055,-0.2453239769372691
ACH-000060,-0.1325109678045024
ACH-000067,0.04468639757850306
ACH-000070,0.06278724952832497
ACH-000075,-0.0993411351015759
ACH-000078,-0.07079597978293425
ACH-000082,-0.1323236252217979
ACH-000085,-0.1860045930680932
ACH-000086,-0.037625684035025565
ACH-000087,-0.09833815310945868
ACH-000092,-0.1047608699992289
ACH-000095,-0.0973630548278944
ACH-000097,-0.1821652019936225
ACH-000098,-0.048105109334660216
ACH-000099,-0.12031612362935198
ACH-000108,-0.1134868037608221
ACH-000113,-0.04698917174176792
ACH-000116,-0.06418084824760406
ACH-000118,-0.1136679160432294
ACH-000120,-0.1567895874580039
ACH-000123,-0.10996613795805964
ACH-000127,-0.0023340055391898877
ACH-000128,-0.11013252302174377
ACH-000132,-0.013222216828413362
ACH-000133,-0.13824556193732798
ACH-000137,-0.12988010775789738
ACH-000138,-0.16868540590482292
ACH-000142,-0.009044861955178958
ACH-000143,-0.3309462568094816
ACH-000146,-0.18772929281192974
ACH-000148,-0.06834225929966195
ACH-000150,-0.13746880823267085
ACH-000152,0.01679724005631532
ACH-000153,-0.21778688772365648
ACH-000159,-0.17609820823682645
ACH-000160,0.003713426609778001
ACH-000163,-0.10007931812171544
ACH-000167,-0.1667295335110707
ACH-000168,-0.1084869851108091
ACH-000169,-0.22640877714587584
ACH-000178,-0.08062009096932513
ACH-000183,-0.12822345662039802
ACH-000188,-0.11187982439934624
ACH-000189,-0.3920406312154421
ACH-000190,-0.11647350209022805
ACH-000198,-0.06343596071339637
ACH-000203,0.16148566152536206
ACH-000204,-0.07319418328468191
ACH-000206,-0.21453238255014967
ACH-000207,0.012633194877196469
ACH-000208,-0.15794317613486936
ACH-000210,-0.0700949030348754
ACH-000211,-0.015568672376483053
ACH-000215,-0.03091765785019265
ACH-000221,-0.07394818546328034
ACH-000222,0.05012358431006245
ACH-000223,-0.13549751041029304
ACH-000226,-0.03773751534843918
ACH-000227,0.0528262517438003
ACH-000228,0.1304173377855661
ACH-000231,-0.009746752955525096
ACH-000232,-0.14197111179971655
ACH-000233,-0.12731043592049318
ACH-000234,0.003193957514053189
ACH-000235,-0.09243953153419836
ACH-000237,-0.19548771182367236
ACH-000238,0.07522125414762862
ACH-000242,-0.003994695001462288
ACH-000243,-0.020127678264550825
ACH-000244,-0.03765279551684489
ACH-000246,-0.1229329001322554
ACH-000248,-0.05371953005532299
ACH-000250,-0.042300655453904316
ACH-000251,0.10450583496953186
ACH-000252,-0.06574049539849364
ACH-000253,-0.008286677855175192
ACH-000255,-0.03222663435201967
ACH-000256,-0.1251631230141345
ACH-000257,-0.04924093582115624
ACH-000258,-0.09667169699806903
ACH-000259,-0.10225020474762472
ACH-000260,-0.05239091986569591
ACH-000261,-0.16391827167378084
ACH-000262,0.003499951026341326
ACH-000263,0.07045733393212808
ACH-000264,-0.12591347088118462
ACH-000265,-0.07737788305766327
ACH-000266,-0.018155145627407984
ACH-000272,-0.12011914418616218
ACH-000274,-0.03806190039234325
ACH-000277,-0.17256332094639668
ACH-000278,-0.111252119831812
ACH-000279,-0.07105004184363524
ACH-000280,-0.04142658414391938
ACH-000281,-0.13367531692767967
ACH-000288,0.04787386452821187
ACH-000291,-0.1621134295927117
ACH-000293,-0.0837290252467159
ACH-000294,-0.03191305067227826
ACH-000295,-0.2164871396272534
ACH-000296,-0.0202721288153766
ACH-000302,-0.039013002512524264
ACH-000304,-0.2641899827928129
ACH-000307,-0.1859241059812048
ACH-000308,-0.1375872398914126
ACH-000310,-0.1310620945189607
ACH-000311,-0.03402084923490625
ACH-000312,-0.11076679797906117
ACH-000315,0.08141122819670826
ACH-000316,-0.032090185690675864
ACH-000317,-0.010207762684868229
ACH-000318,0.04836339130168799
ACH-000319,-0.1547035343371181
ACH-000320,-0.05789893084313472
ACH-000322,-0.07899244427489246
ACH-000323,-0.19097110708425385
ACH-000324,0.008627075896125571
