,AIRE (326)
ACH-000004,0.1728821343390968
ACH-000005,-0.09472471089259957
ACH-000007,0.2333385393748045
ACH-000009,0.18934892080530508
ACH-000011,0.03710927978620703
ACH-000012,0.13383528147190998
ACH-000013,0.18387070560534546
ACH-000014,0.1561915432608854
ACH-000015,0.12733289538360582
ACH-000017,0.13438570321960688
ACH-000018,0.15217361952209565
ACH-000019,-0.03659781985248384
ACH-000021,0.09942699727847573
ACH-000022,-0.017510760935542803
ACH-000025,0.2436882326821265
ACH-000028,0.10445413047709198
ACH-000030,0.1238622727912554
ACH-000035,0.013495481262597505
ACH-000036,0.12264160914033925
ACH-000037,0.10598621431620484
ACH-000039,0.157628827803015
ACH-000040,0.17931328796535548
ACH-000041,0.05185556103798295
ACH-000042,0.03189191855451929
ACH-000045,0.04182548881858074
ACH-000047,0.015106487069673947
ACH-000052,0.3191050489724787
ACH-000053,0.13322876101483233
ACH-000054,0.12994796630441327
ACH-000055,0.2749161786166833
ACH-000060,0.13735310289636685
ACH-000067,0.14956795247023508
ACH-000070,0.16931562435779055
ACH-000075,-0.07559005488011017
ACH-000078,0.06183110474385159
ACH-000082,0.06467908538671956
ACH-000085,0.27281961017818884
ACH-000086,-0.037379292346623134
ACH-000087,-0.019636866764158517
ACH-000092,0.15156022326535626
ACH-000095,0.028619450697836005
ACH-000097,0.1477866606083397
ACH-000098,0.09341175234918972
ACH-000099,0.013704056985204554
ACH-000108,0.043423992284689315
ACH-000113,0.11848325300151352
ACH-000116,0.09091910426125284
ACH-000118,0.12824129363976408
ACH-000120,0.19161364097785386
ACH-000123,0.04987294593360656
ACH-000127,-0.045786068402827576
ACH-000128,0.11773955157065545
ACH-000132,0.003964179785554878
ACH-000133,0.1207180898575258
ACH-000137,0.12875953062355094
ACH-000138,0.1513654569649489
ACH-000142,0.0761430532029816
ACH-000143,-0.16040177554165494
ACH-000146,0.12930633830218186
ACH-000148,0.11647052016593128
ACH-000150,0.016761735715694597
ACH-000152,0.1140509092230616
ACH-000153,-0.0389972671227495
ACH-000159,0.10699076202406964
ACH-000160,0.3037217848332908
ACH-000163,0.06484839442227887
ACH-000167,0.5170213789675827
ACH-000168,0.06504518353336762
ACH-000169,0.06294059385230158
ACH-000178,0.02801322414928711
ACH-000183,0.018802359197581327
ACH-000188,0.17623567906362808
ACH-000189,0.08453832430151037
ACH-000190,0.3951119139268682
ACH-000198,0.2018085314302213
ACH-000203,-0.1816188160745539
ACH-000204,0.28540126980957153
ACH-000206,0.00906646386363106
