,MAN2C1 (4123)
ACH-000004,-0.12737453400814336
ACH-000005,0.05596177668723715
ACH-000007,-0.18829694826960175
ACH-000009,-0.22955007599341665
ACH-000011,-0.06775914766501782
ACH-000012,-0.2130964804952285
ACH-000013,-0.08069309283198196
ACH-000014,-0.19501733184021727
ACH-000015,-0.20962586437765052
ACH-000017,-0.1861311236723066
ACH-000018,-0.07170079083585894
ACH-000019,-0.2451063587225281
ACH-000021,-0.11810665305340205
ACH-000022,-0.09001509908805555
ACH-000025,-0.270999086858321
ACH-000028,-0.04923669630134562
ACH-000030,-0.15308195140119416
ACH-000035,-0.134625393076266
ACH-000036,-0.13023339826260974
ACH-000037,-0.2082073106817164
ACH-000039,-0.021243196414596557
ACH-000040,-0.17130063690993047
ACH-000041,-0.008930921157782006
ACH-000042,-0.042518226296126616
ACH-000045,-0.08391619316034615
ACH-000047,-0.1211195213710641
ACH-000052,-0.21349561148267548
ACH-000053,-0.054395477453115806
ACH-000054,-0.29247835005040523
ACH-000055,-0.03463032984425967
ACH-000060,-0.1624337235150152
ACH-000067,-0.18252902575603486
ACH-000070,-0.1880997774381652
ACH-000075,-0.06913252690227087
ACH-000078,-0.14718289123294098
ACH-000082,-0.19718796163114347
ACH-000085,-0.0006119749258444398
ACH-000086,-0.2596799538446535
ACH-000087,-0.1154138120107577
ACH-000092,-0.16874735495413382
ACH-000095,-0.13525260557041088
ACH-000097,-0.061175538785406686
ACH-000098,-0.2350965386229157
ACH-000099,-0.24295933843114426
ACH-000108,-0.11490744077189399
ACH-000113,-0.24701413565672525
ACH-000116,-0.19184416522935704
ACH-000118,-0.08106897731558603
ACH-000120,-0.1665805969772019
ACH-000123,-0.09388994991012027
ACH-000127,-0.11829165304152145
ACH-000128,-0.2187396083982596
ACH-000132,-0.13229429308660215
ACH-000133,-0.21537432718154
ACH-000137,-0.12669386154601758
ACH-000138,-0.06492365829537261
ACH-000142,-0.18621696201035146
ACH-000143,-0.19946717411058892
ACH-000146,-0.15970291698677305
ACH-000148,-0.15649402055098238
ACH-000150,-0.00018765579182662882
ACH-000152,-0.1847577612425848
ACH-000153,-0.2279386717509547
ACH-000159,-0.2994508499052815
ACH-000160,-0.16532063673330893
