,UXS1 (80146)
ACH-000004,-0.08009893137422905
ACH-000005,-0.1989235570320115
ACH-000007,-0.467579463712699
ACH-000009,-0.1576630214388767
ACH-000011,-0.692801067286838
ACH-000012,-0.3028448510998356
ACH-000013,-0.19030136695754185
ACH-000014,-0.4546122269804312
ACH-000015,-0.3493321798205766
ACH-000017,-1.1028693466656725
ACH-000018,-0.3146748205280349
ACH-000019,-1.0896060581157307
ACH-000021,-0.09529470247332324
ACH-000022,-0.4320255716575416
ACH-000025,-0.3511275208608677
ACH-000028,-0.8784407361139276
ACH-000030,-0.8654122620591427
ACH-000035,-0.5242334550710315
ACH-000036,-0.4167295817643224
ACH-000037,-0.4095152601809903
ACH-000039,-0.398103923873177
ACH-000040,-0.3270087562454393
ACH-000041,-0.14598924793436746
ACH-000042,-0.22890400554279636
ACH-000045,-0.12691034569664827
ACH-000047,-1.1045001591697816
ACH-000052,-0.23678769759664345
ACH-000053,-0.3875307865100888
ACH-000054,-0.2049194417444416
ACH-000055,-0.225387864667686
ACH-000060,-0.2000852781704618
ACH-000067,-0.4708370633759602
ACH-000070,-0.5630917281414448
ACH-000075,-0.5621798332843105
ACH-000078,-0.05306823022716441
ACH-000082,-0.32311262734605184
ACH-000085,-0.3806908974961333
ACH-000086,-0.28770146004768865
ACH-000087,-0.17703749354320406
ACH-000092,-0.2785592493721111
ACH-000095,-0.2716345624077755
ACH-000097,-0.6562485047300521
ACH-000098,-0.405966840520604
ACH-000099,-0.08651944620828209
ACH-000108,-0.8489096010233134
ACH-000113,-0.4422530353477285
ACH-000116,-0.27618588189975346
ACH-000118,-0.4527171031200282
ACH-000120,-0.2194372997738233
ACH-000123,-0.2896140991477843
ACH-000127,-0.3131627279064341
ACH-000128,-0.3482897706724241
ACH-000132,-0.28507332498620325
ACH-000133,-0.3366024497771739
ACH-000137,-0.4657196948825197
ACH-000138,-0.7041203806506788
ACH-000142,-0.5741003665647032
ACH-000143,-0.3628090235997845
ACH-000146,-0.18202801566248425
ACH-000148,-0.3514812519948861
ACH-000150,0.03320812568091867
ACH-000152,-0.584574146498576
ACH-000153,-0.4716718746999702
ACH-000159,-0.3188902294949918
ACH-000160,-0.30133345774348885
ACH-000163,-0.3217163832678637
ACH-000167,-0.7425972607512816
ACH-000168,-0.05553156841790073
ACH-000169,-0.2918842755631217
ACH-000178,-0.36807982455034494
ACH-000183,-0.2058107951037213
ACH-000188,-0.22116385748885975
ACH-000189,-0.4073102882313579
ACH-000190,-0.4340493326607457
ACH-000198,-0.2842790781508966
ACH-000203,-0.357882680569338
ACH-000204,-0.18629761728406866
ACH-000206,-0.4557703256411161
ACH-000207,-0.9720115600054936
ACH-000208,-0.2448711141948839
ACH-000210,-0.1579635350572404
ACH-000211,-0.3028254713983733
ACH-000215,-0.34250902825467405
ACH-000221,-0.24738601401699906
ACH-000222,-0.9208366879672689
ACH-000223,-0.5000050642973973
ACH-000226,-0.27901038677759593
ACH-000227,0.12906808849810156
ACH-000228,-0.3832243051248808
