,DCST1 (149095)
ACH-000004,-0.07792159508019618
ACH-000005,-0.0005367638631841831
ACH-000007,-0.03493746657421113
ACH-000009,-0.2933715560537988
ACH-000011,-0.15940691535606485
ACH-000012,-0.19192408097567148
ACH-000013,-0.1270873654822998
ACH-000014,-0.1744961763565629
ACH-000015,-0.16239778185838286
ACH-000017,-0.12125798136927345
ACH-000018,-0.1165410750418147
ACH-000019,-0.10623597745888083
ACH-000021,-0.21095265346445627
ACH-000022,-0.09803367405469407
ACH-000025,-0.3118386965147701
ACH-000028,-0.10665528057504944
ACH-000030,-0.23536139682237786
ACH-000035,-0.07539791635692687
ACH-000036,-0.03321277634971153
ACH-000037,-0.3001426197799747
ACH-000039,-0.2700464740488217
ACH-000040,0.0887606424492859
ACH-000041,-0.043859591055738126
ACH-000042,-0.0788270382083163
ACH-000045,-0.14070451204259618
ACH-000047,-0.03021940667714367
ACH-000052,-0.2729995144217753
ACH-000053,-0.21179605248799813
ACH-000054,-0.06581521810462931
ACH-000055,-0.19383680915744306
ACH-000060,-0.188317562874358
ACH-000067,-0.220554565976846
ACH-000070,-0.09166442501276599
ACH-000075,0.027718952398265963
ACH-000078,-0.09690868939934988
ACH-000082,-0.20357782885732495
ACH-000085,-0.1520978726412733
ACH-000086,-0.3482426839394788
ACH-000087,-0.18543784085496856
ACH-000092,-0.21792496276494253
ACH-000095,-0.2303223633178105
ACH-000097,-0.0959925429171788
ACH-000098,-0.2000404623130421
ACH-000099,-0.027373132334968072
ACH-000108,-0.17428330688213187
ACH-000113,-0.17820587935600096
ACH-000116,-0.11799558733309645
ACH-000118,-0.13000795952833366
ACH-000120,-0.2142072258523753
ACH-000123,-0.17942257382570165
ACH-000127,-0.1905224958073476
ACH-000128,-0.15269754927957288
ACH-000132,-0.05526834626326404
ACH-000133,-0.16693497660016132
ACH-000137,-0.31391661253475706
ACH-000138,-0.04373169706944267
ACH-000142,-0.23431433570026794
ACH-000143,0.015827252670652645
ACH-000146,-0.14166699056554932
ACH-000148,-0.2604519190407513
ACH-000150,0.01917914581353
ACH-000152,-0.024363803104861727
ACH-000153,-0.1681541113162558
ACH-000159,-0.22916545530875065
ACH-000160,-0.1013142461280989
ACH-000163,-0.19585321197034752
ACH-000167,-0.33686301117023904
ACH-000168,-0.03805585847653084
ACH-000169,-0.17635233700970335
ACH-000178,-0.1403048494740418
ACH-000183,-0.3920128442084444
ACH-000188,-0.18487324715454864
ACH-000189,-0.5804997552587587
ACH-000190,-0.05754485672884443
ACH-000198,-0.1605637790135419
ACH-000203,-0.3831470791525226
ACH-000204,-0.2890441276196642
ACH-000206,0.05559031207490435
ACH-000207,0.03614650485437446
ACH-000208,-0.3475426073489298
ACH-000210,-0.16767901717303746
ACH-000211,-0.15587308414789275
ACH-000215,-0.24305589343324216
ACH-000221,-0.14618195704443784
ACH-000222,-0.09410892966345556
ACH-000223,-0.09068355733592226
ACH-000226,-0.22526144815600474
ACH-000227,0.016465786368513896
ACH-000228,-0.18437225488761014
ACH-000231,-0.17266237103813992
ACH-000232,-0.161990558076751
ACH-000233,-0.07652545919104671
