,SBK1 (388228)
ACH-000004,0.03441171485343655
ACH-000005,-0.2982329082798776
ACH-000007,-0.3412561170845335
ACH-000009,-0.10408203546579094
ACH-000011,-0.1423236459359537
ACH-000012,-0.25988654002323003
ACH-000013,-0.3714466887988335
ACH-000014,-0.10209409166858616
ACH-000015,-0.2302078827978352
ACH-000017,-0.2891891178440029
ACH-000018,-0.18897819366041904
ACH-000019,-0.13478771457078942
ACH-000021,-0.1765643298345761
ACH-000022,-0.15050755401501695
ACH-000025,-0.3159170692333841
ACH-000028,-0.1951239491830684
ACH-000030,-0.12443193591758328
ACH-000035,-0.3202524978297266
ACH-000036,-0.04029977064566671
ACH-000037,-0.20246333114672585
ACH-000039,-0.25058595172793824
ACH-000040,-0.1947556410653493
ACH-000041,-0.13742929141953708
ACH-000042,0.017741508234636817
ACH-000045,-0.3264613274010913
ACH-000047,-0.3692520227487717
ACH-000052,-0.4945977376252064
ACH-000053,-0.19258973273465785
ACH-000054,-0.18582167770931773
ACH-000055,-0.4549569099482763
ACH-000060,-0.03916867115694616
ACH-000067,-0.06443956850086548
ACH-000070,-0.04806726297477878
ACH-000075,-0.1937551219868633
ACH-000078,-0.1694866128543398
ACH-000082,-0.233624590808209
ACH-000085,-0.2942838889930521
ACH-000086,-0.17619207293415928
ACH-000087,-0.32963704081007017
ACH-000092,-0.24474590381312755
ACH-000095,-0.23208786143834614
ACH-000097,-0.15490917460221704
ACH-000098,-0.2856042532594317
ACH-000099,-0.2282347193672832
ACH-000108,-0.18176851504910588
ACH-000113,-0.07743918164877356
ACH-000116,-0.29553983230915004
ACH-000118,-0.3061896633395575
ACH-000120,-0.1127683710084065
ACH-000123,-0.32254806347196946
ACH-000127,-0.3990180872330184
ACH-000128,-0.02256097498797593
ACH-000132,-0.2780742750472736
ACH-000133,-0.12873053254984104
ACH-000137,-0.2510703220235556
ACH-000138,-0.033387662108093005
ACH-000142,-0.40868208105289705
ACH-000143,-0.11404636429659132
ACH-000146,-0.1629213107721551
ACH-000148,-0.26481672760832226
ACH-000150,-0.1945430248266829
ACH-000152,-0.16544968085359368
ACH-000153,0.029966860640196137
ACH-000159,-0.16635025642444434
ACH-000160,-0.06217183742223886
ACH-000163,-0.18063317525623224
ACH-000167,0.1207302174070086
ACH-000168,-0.19447064084009505
ACH-000169,-0.2744181911723665
ACH-000178,-0.3434069599426296
ACH-000183,-0.1917020951793387
ACH-000188,-0.1938192038408424
ACH-000189,-0.24610546174672376
ACH-000190,-0.11537188092315336
ACH-000198,-0.21673102404598774
ACH-000203,0.20200247323598544
ACH-000204,-0.25674150271784485
ACH-000206,0.056613983825638474
ACH-000207,-0.039708118005204
ACH-000208,-0.25424793187356665
ACH-000210,-0.4645446646594048
ACH-000211,-0.14144579573938207
ACH-000215,-0.1341043590678786
ACH-000221,-0.4795826046668616
