,PIK3C3 (5289)
ACH-000004,-0.6212814600361256
ACH-000005,-0.5384920551993025
ACH-000007,-0.5221567082600063
ACH-000009,-0.6566884952865398
ACH-000011,-0.6611745624004256
ACH-000012,-0.8715607903406188
ACH-000013,-0.5968138533056818
ACH-000014,-0.6772031530765599
ACH-000015,-0.909311526617114
ACH-000017,-0.9257708190087048
ACH-000018,-1.030865118474471
ACH-000019,-1.108507116895617
ACH-000021,-0.8520733276730361
ACH-000022,-0.6255523368509793
ACH-000025,-0.989880601466686
ACH-000028,-0.850502119749371
ACH-000030,-0.9271540675686311
ACH-000035,-0.9430501430080016
ACH-000036,-0.5966399116009659
ACH-000037,-0.5343038020084302
ACH-000039,-0.6989456097102383
ACH-000040,-0.5243461674858254
ACH-000041,-0.5602280800451076
ACH-000042,-0.8330772232821445
ACH-000045,-0.5839953938971127
ACH-000047,-0.7359452213832115
ACH-000052,-0.6528594044537993
ACH-000053,-0.5612536772324023
ACH-000054,-0.9132108117117288
ACH-000055,-0.442298587413823
ACH-000060,-0.5361192630433261
ACH-000067,-0.7959425194317847
ACH-000070,-0.4852025243685875
ACH-000075,-0.8730105607311186
ACH-000078,-0.7404185405478092
ACH-000082,-0.465236807003244
ACH-000085,-0.9172743525844556
ACH-000086,-0.8903017469897613
ACH-000087,-0.7758211940194947
ACH-000092,-0.8999871237496214
ACH-000095,-0.6443398470230282
ACH-000097,-0.6610328482377753
ACH-000098,-0.6381382218363363
ACH-000099,-0.6987264112816268
ACH-000108,-0.6255049291896743
ACH-000113,-0.5244248690979183
ACH-000116,-0.7289192814276445
ACH-000118,-0.7092693527905877
ACH-000120,-0.9346246626425012
ACH-000123,-0.682651234174916
ACH-000127,-0.8486225861623511
ACH-000128,-0.7505865211783335
ACH-000132,-0.8633541756738458
ACH-000133,-0.7684794887783541
ACH-000137,-0.8191347882370197
ACH-000138,-0.9126355070495306
ACH-000142,-0.9627772073377108
ACH-000143,-0.6791239260841365
ACH-000146,-0.32029489496955216
ACH-000148,-0.7132585853589543
ACH-000150,-0.7127022173900692
ACH-000152,-0.7926066799884516
ACH-000153,-0.23797789851604
ACH-000159,-0.5761848104659726
ACH-000160,-0.8923571768202765
ACH-000163,-0.6185873082253925
ACH-000167,-1.0312470524832411
ACH-000168,-0.6678483782013634
ACH-000169,-1.0522290845995272
ACH-000178,-0.7714469470184134
ACH-000183,-0.8167226517357055
ACH-000188,-1.0241459684895242
ACH-000189,-0.4229918236230891
ACH-000190,-0.9976118470626422
ACH-000198,-0.8942579245330897
ACH-000203,-1.0367390477109089
ACH-000204,-0.5238186116175801
ACH-000206,-0.5199000564048595
ACH-000207,-0.53819640652044
ACH-000208,-0.8887832784437174
ACH-000210,-1.033107707034464
ACH-000211,-0.8496412531052407
ACH-000215,-0.9272223663527046
ACH-000221,-0.7158812619753337
ACH-000222,-0.604990307475318
ACH-000223,-1.2610771123686817
ACH-000226,-0.6674638434793586
ACH-000227,-0.5688292450081963
ACH-000228,-0.76881110792815
ACH-000231,-0.833414926012212
ACH-000232,-0.7065307535562146
ACH-000233,-0.7256075267731704
ACH-000234,-0.948989975470966
ACH-000235,-0.8467359371518238
ACH-000237,-0.933052231964048
ACH-000238,-0.737054159176866
ACH-000242,-0.8946809542023009
ACH-000243,-0.5953268294181991
ACH-000244,-0.7567935176111958
ACH-000246,-0.5520862462290889
ACH-000248,-1.1875189332700773
ACH-000250,-0.9183276527003428
ACH-000251,-0.653493532880644
ACH-000252,-0.6800279868704551
ACH-000253,-0.7379152562265457
ACH-000255,-0.7504383688237355
ACH-000256,-0.8916234451844874
