,OR1L4 (254973)
ACH-000004,-0.0958516451867879
ACH-000005,-0.10664305906534066
ACH-000007,0.0682437341145433
ACH-000009,-0.05705788950632346
ACH-000011,-0.16800659641708365
ACH-000012,-0.0984065054286646
ACH-000013,-0.03802868053596918
ACH-000014,0.12460008375031732
ACH-000015,-0.06236912415646027
ACH-000017,0.012105077175718272
ACH-000018,-8.661018567980683e-05
ACH-000019,-0.003958446975449212
ACH-000021,-0.12721174574220762
ACH-000022,-0.0640766924889653
ACH-000025,0.10899345255355401
ACH-000028,-0.10459320574160046
ACH-000030,0.0021115117099892566
ACH-000035,0.13805210865206385
ACH-000036,0.025954250694395525
ACH-000037,-0.07865618343386592
ACH-000039,0.011143823952661395
ACH-000040,0.0050323264256327774
ACH-000041,0.1271146556921819
ACH-000042,0.01823107016206239
ACH-000045,-0.12216872953115045
ACH-000047,0.06376669192321817
ACH-000052,-0.03323486708839415
ACH-000053,-0.017104367409267376
ACH-000054,-0.053477450089850304
ACH-000055,0.13498694762858213
ACH-000060,0.10077780928022342
ACH-000067,0.05707735747478385
ACH-000070,-0.05655372799580441
ACH-000075,-0.15493325119319645
ACH-000078,0.008368192298480272
ACH-000082,-0.005875285730723555
ACH-000085,-0.08055023645133892
ACH-000086,0.01931373718827251
ACH-000087,-0.004315188831896035
ACH-000092,0.045434599133022106
ACH-000095,-0.22294272556857225
ACH-000097,-0.04706073922590831
ACH-000098,-0.027417256891389852
ACH-000099,-0.01870734248133159
ACH-000108,-0.06852091775802746
ACH-000113,0.03302032393963563
ACH-000116,-0.02181419391188882
ACH-000118,-0.08218350833480463
ACH-000120,-0.06477152702012756
ACH-000123,-0.09083327294596884
ACH-000127,-0.019070461584455
ACH-000128,-0.07407302776494926
ACH-000132,-0.08227415623796641
ACH-000133,-0.01627773931343117
ACH-000137,0.06385612929671156
ACH-000138,0.01314143288395562
ACH-000142,0.017268438462947185
ACH-000143,-0.0002229058702824459
ACH-000146,-0.023985056196640344
ACH-000148,-0.027491502412355415
ACH-000150,0.15119951628081907
ACH-000152,0.021108589374997738
ACH-000153,-0.07883053619260587
ACH-000159,-0.04062138785210603
ACH-000160,0.006783043900674547
ACH-000163,0.08638400938399693
ACH-000167,-0.007795199209586417
ACH-000168,0.052835006041067036
ACH-000169,-0.10621659477913548
ACH-000178,-0.1248471078982019
ACH-000183,0.03060190646934343
ACH-000188,-0.0707166375498457
ACH-000189,0.2760739729133461
ACH-000190,-0.11159532524142443
ACH-000198,-0.1354994019358398
ACH-000203,-0.07101709171546011
ACH-000204,-0.1331098692565819
ACH-000206,0.1924556977861893
ACH-000207,-0.06040097311384834
ACH-000208,-0.025937569792238182
ACH-000210,0.013053441952665341
ACH-000211,0.004373929147251396
ACH-000215,-0.026088670553677328
ACH-000221,-0.09181911622149648
ACH-000222,0.07570531750573249
ACH-000223,-0.10079895829740668
ACH-000226,-0.0047759169280213645
ACH-000227,-0.0020624192608185428
ACH-000228,-0.018335811711598617
ACH-000231,-0.0233348459282163
ACH-000232,-0.035901878524741464
ACH-000233,0.08920857965214256
ACH-000234,0.06217114223087526
ACH-000235,-0.03512094078363614
ACH-000237,-0.16493469998249832
ACH-000238,-0.13571436288411487
ACH-000242,-0.2435248776654194
ACH-000243,-0.05900281995735136
ACH-000244,-0.010066373899559595
ACH-000246,-0.11765434303901068
ACH-000248,-0.16402635267460286
ACH-000250,-0.012259948515753134
ACH-000251,0.04718658266722457
ACH-000252,-0.0151455433833598
ACH-000253,0.08281445242880946
ACH-000255,-0.058778268038419526
ACH-000256,-0.022402322907792982
ACH-000257,-0.1396818481640835
ACH-000258,-0.13771383444591662
ACH-000259,-0.059304728701144824
ACH-000260,-0.04805160820028101
ACH-000261,0.03232801058111737
ACH-000262,0.04640476659216967
ACH-000263,0.00879795853627314
ACH-000264,-0.031241539399276617
ACH-000265,-0.007039278710060212
ACH-000266,-0.00036052663402340936
ACH-000272,-0.014529807294312162
ACH-000274,-0.06687112430796023
ACH-000277,-0.025589910793370214
ACH-000278,-0.1413450213309701
ACH-000279,0.025856667181029924
ACH-000280,-0.047503075782969036
ACH-000281,0.1657608723236961
ACH-000288,0.013261150134724856
ACH-000291,0.052800743667821566
ACH-000293,-0.029158495197566994
ACH-000294,-0.013218102534355736
ACH-000295,-0.13046068857906815
ACH-000296,-0.18217146735909268
ACH-000302,-0.02463903946860524
ACH-000304,-0.09303962660167787
ACH-000307,0.10775697981539976
ACH-000308,-0.07383106356247213
ACH-000310,-0.12759205274955382
ACH-000311,-0.030593190612717664
ACH-000312,-0.05477526095235554
ACH-000315,-0.0529239430591562
ACH-000316,0.09727862088778937
ACH-000317,-0.001343101730299179
ACH-000318,0.02377401212701866
ACH-000319,0.0434612825896836
ACH-000320,0.030490750773902293
ACH-000322,-0.03872379198832518
ACH-000323,-0.10365813690130007
ACH-000324,-0.11318186339558654
ACH-000329,-0.0114117755077776
ACH-000330,0.19326525488699006
ACH-000331,-0.027876625581631117
ACH-000332,-0.035582609767123824
ACH-000334,-0.16410523253028494
ACH-000335,-0.037707974971605066
ACH-000336,0.1821501945307108
ACH-000337,0.10659184591066777
ACH-000338,-0.3509763012061542
ACH-000339,-0.003430762382183853
ACH-000341,-0.016277337402792684
ACH-000348,0.048939439576466105
ACH-000350,-0.09269196725714264
ACH-000352,0.098752824651859
ACH-000356,-0.008488184892344338
ACH-000361,0.14708951068576392
ACH-000362,0.06088276481734616
ACH-000363,0.01669755708252974
ACH-000364,0.08934639300142035
ACH-000365,-0.023895982471013145
ACH-000366,0.0014948399225371755
ACH-000368,0.016313000998052673
ACH-000374,-0.061610809978347336
ACH-000375,0.019994776372529457
ACH-000376,0.0404134342549333
ACH-000381,-0.07167103589352802
ACH-000383,-0.03620678937682458
ACH-000387,0.016731805970050216
ACH-000389,-0.13408920272117505
ACH-000390,0.04874720709873715
ACH-000393,-0.06513416001555881
ACH-000395,-0.009492098987703472
ACH-000396,0.09217104260234024
ACH-000397,-0.0897660945882627
ACH-000401,-0.03164149175092292
ACH-000402,0.03531737773845904
ACH-000403,-0.10281799104965138
ACH-000404,0.15879864676941127
ACH-000406,0.015821458261559576
ACH-000407,0.02578547349735553
ACH-000408,0.13311141510001614
ACH-000410,-0.022469614780838254
ACH-000411,-0.15062002583126707
ACH-000414,-0.08734633212789078
ACH-000415,0.02154646519643261
ACH-000416,-0.02294425673102901
ACH-000420,0.012928948483477715
ACH-000421,-0.004744397496714821
ACH-000424,-0.109499466504383
ACH-000425,-0.019470036611648714
ACH-000426,-0.0014700846964782446
ACH-000427,0.029783540047339057
ACH-000433,0.06121320935876678
ACH-000435,-0.32392716614718026
ACH-000436,0.008822549977359592
ACH-000444,-0.20204951296196969
ACH-000445,0.0007175185539584027
ACH-000448,0.05272098061133911
ACH-000450,-0.00013829125742515942
ACH-000452,0.01741855865638074
ACH-000454,-0.0071985801893370656
ACH-000458,0.009647108750626259
ACH-000459,0.10405664989960586
ACH-000460,0.034690226410970214
ACH-000461,-0.04974357173066642
ACH-000463,0.03997190518236479
ACH-000464,-0.040366784982401815
ACH-000466,0.14968100935638154
ACH-000467,-0.029700624304627467
ACH-000468,-0.07262081235588108
ACH-000469,-0.08709765765792479
ACH-000470,-0.11737342020169735
ACH-000471,0.012786090550440795
ACH-000472,-0.07385349117974901
ACH-000473,-0.08732079540694998
ACH-000475,-0.047921536247843836
ACH-000476,-0.029063145696378807
ACH-000477,-0.11423981101719265
ACH-000479,-0.025581135976369258
ACH-000480,-0.07099741652390247
ACH-000481,-0.0945635158369524
ACH-000483,4.188790481880242e-05
ACH-000484,-0.09607187972141516
ACH-000485,-0.023738611736728726
ACH-000486,0.10131637151171907
ACH-000487,0.03303217226364806
ACH-000488,0.015866800651993626
ACH-000490,0.01002952624667707
ACH-000491,-0.0011168772099659481
ACH-000495,-0.14170693382770966
ACH-000496,0.020013766289570502
ACH-000499,0.08337567975136706
ACH-000500,-0.19234574629161436
ACH-000502,0.05217825153579028
ACH-000503,-0.15628606551397756
ACH-000505,-0.024901873290589484
ACH-000507,-0.0074292619457362735
ACH-000510,0.0627685751965555
ACH-000511,-0.05463465517207675
ACH-000512,0.18153298848704827
ACH-000516,-0.08195343967727273
ACH-000517,-0.08228704586440358
ACH-000518,0.02078763907917356
ACH-000520,-0.06284084215205428
ACH-000521,-0.03262214310274136
ACH-000522,-0.046154962647493226
ACH-000524,-0.10319077585705913
ACH-000527,-0.046425915179184964
ACH-000528,-0.03936040926451888
ACH-000537,-0.050681497042110606
ACH-000541,0.01880251950587111
ACH-000542,-0.031454061135253834
ACH-000544,-0.0037015388173730055
ACH-000545,0.034633015153053635
ACH-000547,-0.044480952189327766
ACH-000548,-0.012954488033487643
ACH-000549,-0.170088839476758
ACH-000550,0.029144139282555718
ACH-000552,-0.0368460824487216
ACH-000556,0.01697549283132329
ACH-000557,-0.01894476054727213
ACH-000569,0.07914583911557453
ACH-000570,-0.004471521539845044
ACH-000571,-0.036321527336270865
ACH-000573,0.08124934294380176
ACH-000576,0.08324476659878513
ACH-000579,0.023650393671186258
ACH-000580,0.08525513866323757
ACH-000584,-0.09453714555569452
ACH-000585,0.03979076240439264
ACH-000588,-0.07568555042928901
ACH-000589,-0.023253290987326116
ACH-000591,0.09866998475765916
ACH-000593,0.021845904010385952
ACH-000600,-0.12040995393267552
ACH-000601,-0.05513201480234322
ACH-000605,-0.06997852966088777
ACH-000606,-0.0698358158094918
ACH-000608,-0.06063889312910688
ACH-000614,-0.14177382703072233
ACH-000616,0.12780118324264378
ACH-000618,0.030031660734136236
ACH-000619,-0.08245612932813502
ACH-000620,-0.04221733931748454
ACH-000621,-0.13796662059728293
ACH-000622,-0.10451904670267732
ACH-000623,0.08089584303240742
ACH-000624,-0.0255872003599036
ACH-000627,0.08408757811773977
ACH-000630,0.018914092609101537
ACH-000631,0.0009984744495038235
ACH-000632,-0.01737418919605159
ACH-000633,0.034322921292017035
ACH-000637,0.04813313206990333
ACH-000638,0.0202265302234238
ACH-000646,-0.043692994490061095
ACH-000647,0.027862767204194575
ACH-000648,-0.03531521455031465
ACH-000649,-0.06415086764537119
ACH-000651,-0.01618084147639442
ACH-000652,0.03631157093262705
ACH-000653,0.045946137660103116
ACH-000657,0.005765106853555307
ACH-000658,0.028389867143876157
ACH-000661,0.032195675495830134
ACH-000662,-0.026774653085477197
ACH-000663,-0.10458753057202563
ACH-000665,0.0885673730694044
ACH-000671,-0.11913693842054568
ACH-000672,0.14574465294785954
ACH-000673,-0.05528190541889839
ACH-000676,-0.1054823131246676
ACH-000677,-0.003452723587861568
ACH-000681,-0.08138670505428656
ACH-000683,-0.03952899062530089
ACH-000684,-0.04280511491220259
ACH-000688,0.12915096028056647
ACH-000693,-0.07582828609273146
ACH-000694,0.032832596451704436
ACH-000695,0.2070670872538256
ACH-000696,-0.11558415389113558
