,TBL2 (26608)
ACH-000004,-0.08847417654356349
ACH-000005,-0.1771719276555657
ACH-000007,-0.16688451882943448
ACH-000009,-0.1191690362945005
ACH-000011,-0.12813598083794867
ACH-000012,-0.16606635409927656
ACH-000013,-0.0449409332811081
ACH-000014,-0.22926689791572136
ACH-000015,0.08027036981703774
ACH-000017,0.002778160421353309
ACH-000018,-0.06363531439525791
ACH-000019,-0.2477286202666095
ACH-000021,-0.3286802279350921
ACH-000022,-0.2127590710290092
ACH-000025,-0.06275570764161206
ACH-000028,-0.09040399007072054
ACH-000030,-0.04379958111361355
ACH-000035,-0.3038597759813241
ACH-000036,-0.25766595370505724
ACH-000037,-0.1044532601994844
ACH-000039,-0.11175666565622824
ACH-000040,-0.07200719201371336
ACH-000041,-0.028473273277116736
ACH-000042,-0.0220981131159298
ACH-000045,-0.18816469181700293
ACH-000047,-0.09917833309297132
ACH-000052,-0.30991795436776576
ACH-000053,-0.17649172226498894
ACH-000054,-0.22044658702049455
ACH-000055,-0.031240278271151445
ACH-000060,-0.1575276790062493
ACH-000067,-0.2876450441163137
ACH-000070,-0.11842630413768117
ACH-000075,-0.22781314412366016
ACH-000078,-0.01692611261986613
ACH-000082,-0.1283206100270603
ACH-000085,-0.2713236105879552
ACH-000086,0.04931202881624064
ACH-000087,0.1128621743254521
ACH-000092,-0.052065201263873394
ACH-000095,-0.11793994455162407
ACH-000097,-0.14296786422830454
ACH-000098,-0.21862471337750167
ACH-000099,-0.12137028619808785
ACH-000108,-0.10895091595260006
ACH-000113,-0.14465769649705254
ACH-000116,-0.06237149415540023
ACH-000118,-0.1198542491846961
ACH-000120,-0.07333462632877029
ACH-000123,-0.08067126585622061
ACH-000127,-0.1160746446152026
ACH-000128,-0.17200563581200873
ACH-000132,-0.11444131810053207
ACH-000133,-0.2129054034832088
ACH-000137,-0.22213999291181255
ACH-000138,-0.05024776807296765
ACH-000142,-0.2335969351947912
ACH-000143,-0.10178830823926432
ACH-000146,-0.14495508956381814
ACH-000148,-0.1330633619021812
ACH-000150,-0.28756118156730875
ACH-000152,-0.08769930682850365
ACH-000153,-0.08340473994497702
ACH-000159,-0.250761971865246
ACH-000160,-0.07105367994742531
ACH-000163,-0.176780465483259
ACH-000167,-0.03726123916365436
ACH-000168,-0.3583829603723208
ACH-000169,-0.12005196469279256
ACH-000178,-0.0950931973925312
ACH-000183,-0.11912270967296862
ACH-000188,-0.16633210552712466
ACH-000189,-0.030824205853876137
ACH-000190,-0.2447877593262982
ACH-000198,-0.14220894623947442
ACH-000203,-0.04112252706690595
ACH-000204,-0.020703298209486312
ACH-000206,-0.021907448490207482
ACH-000207,-0.04074795205420533
ACH-000208,-0.12293701774678994
ACH-000210,0.17212526065787645
ACH-000211,-0.19598592573592427
ACH-000215,-0.18011582473593934
ACH-000221,-0.4598163654246893
ACH-000222,-0.1972054310293836
ACH-000223,-0.025125011821677017
ACH-000226,-0.04293919919043041
ACH-000227,-0.0073072896022613265
ACH-000228,-0.1988240465850192
ACH-000231,-0.12546609686058474
ACH-000232,-0.19502668758557265
ACH-000233,0.06831502079056631
ACH-000234,-0.21751153625256628
ACH-000235,-0.14715651192888649
ACH-000237,-0.09058828247338392
ACH-000238,-0.11950106642796132
ACH-000242,-0.08791729759896165
ACH-000243,-0.03540372017250107
ACH-000244,-0.3401258300535656
ACH-000246,-0.15631449157999758
ACH-000248,-0.17138184155504982
ACH-000250,-0.12021651323923027
ACH-000251,0.003182220440993828
ACH-000252,-0.014420978663789675
