,PRRC2A (7916)
ACH-000004,-0.3998650186227459
ACH-000005,-0.24186053302779015
ACH-000007,-0.6593004149051157
ACH-000009,-0.7945556210929482
ACH-000011,-0.3376648804593986
ACH-000012,-0.5431524159429212
ACH-000013,-0.5981912039514085
ACH-000014,-0.8774705972757036
ACH-000015,-0.8297932278683166
ACH-000017,-0.5610565237567156
ACH-000018,-0.5695356719616449
ACH-000019,-0.7181385980002318
ACH-000021,-0.4559174823672531
ACH-000022,-0.6015128105291285
ACH-000025,-0.5474103174427644
ACH-000028,-0.4368814492344919
ACH-000030,-0.5627840633388455
ACH-000035,-0.5188680368448667
ACH-000036,-0.03468221128230184
ACH-000037,-0.5238830195453087
ACH-000039,-0.7129952786125435
ACH-000040,-0.3263247008520725
ACH-000041,-0.5344336434969867
ACH-000042,-0.5965703915710767
ACH-000045,-0.17023090682022954
ACH-000047,-0.8116549795254956
ACH-000052,-0.8638103075708438
ACH-000053,-0.5563770087887581
ACH-000054,-0.5083782765604525
ACH-000055,-0.7227038799527337
ACH-000060,-0.4760082922235482
ACH-000067,-0.6560612855604879
ACH-000070,-0.6171128061384208
ACH-000075,-0.8826849394744698
ACH-000078,-0.5478906208944556
ACH-000082,-0.5495101802693851
ACH-000085,-0.5295474819639171
ACH-000086,-0.5501653530859004
ACH-000087,-0.7811416895327623
ACH-000092,-0.4947024752847623
ACH-000095,-0.6527527096439206
ACH-000097,-0.415763468059211
ACH-000098,-0.1852788047820328
ACH-000099,-0.7144467152786589
ACH-000108,-0.7632148757537944
ACH-000113,-0.4735522871254392
ACH-000116,-0.7969769358521188
ACH-000118,-0.38546521824857205
ACH-000120,-0.6345292145233297
ACH-000123,-0.5121643864380743
ACH-000127,-0.5735901243953434
ACH-000128,-0.8391152919186923
ACH-000132,-0.5797067817270675
ACH-000133,-0.8344720672463385
ACH-000137,-0.6656590673146249
ACH-000138,-0.8037250927962908
ACH-000142,-0.393075689461632
ACH-000143,-0.4815536692664707
ACH-000146,-0.40037428058159297
ACH-000148,-0.4891702119263745
ACH-000150,-0.4348265800576653
ACH-000152,-0.7914285932854289
ACH-000153,-0.4584362301098575
ACH-000159,-0.6639501007404358
ACH-000160,-0.7497923813611829
ACH-000163,-0.3884355660176023
ACH-000167,-0.9260120480658818
ACH-000168,-0.5874619913538094
ACH-000169,-0.7735365534892646
ACH-000178,-0.4006376150810272
ACH-000183,-0.4132007064362624
ACH-000188,-0.5538862875921919
ACH-000189,-0.7213818287775171
ACH-000190,-0.6226515231737523
ACH-000198,-0.6995992850674411
ACH-000203,-0.2998895232469913
ACH-000204,-0.6071414141629142
ACH-000206,-0.564621482464214
ACH-000207,-0.6456884656573806
ACH-000208,-0.4401829008165519
ACH-000210,-0.4215446120466297
ACH-000211,-0.867252220719015
ACH-000215,-0.6641126872730617
ACH-000221,-0.7565694195942141
