,HK2 (3099)
ACH-000004,-0.3582876809341801
ACH-000005,-0.014171971160554625
ACH-000007,-0.20010782750019565
ACH-000009,-0.20295016739698934
ACH-000011,-0.15943500352663606
ACH-000012,-0.2645358126712973
ACH-000013,-0.34927603393169265
ACH-000014,-0.15665706335142396
ACH-000015,-0.2065775286053807
ACH-000017,-0.1348314727658188
ACH-000018,-0.16042621368261265
ACH-000019,-0.07677919267442526
ACH-000021,-0.2747037998110785
ACH-000022,-0.2780593751705904
ACH-000025,-0.10584859442650243
ACH-000028,-0.06926984066767372
ACH-000030,-0.2020559508865941
ACH-000035,-0.4607158436711678
ACH-000036,-0.2489139059529501
ACH-000037,-0.3882427103926335
ACH-000039,-0.5888737011501273
ACH-000040,-0.2062838549117919
ACH-000041,-0.2027052077102168
ACH-000042,-0.3651477779705431
ACH-000045,0.5016016061894959
ACH-000047,-0.1467496925357578
ACH-000052,-0.4588280595189132
ACH-000053,-0.1627926443831788
ACH-000054,-0.29674673984566285
ACH-000055,-0.2128566950630308
ACH-000060,-0.3429066828242932
ACH-000067,-0.014509757163582784
ACH-000070,-0.5330577754814483
ACH-000075,-0.21850938561957567
ACH-000078,-0.08884947247322336
ACH-000082,-0.2600895785991701
ACH-000085,-0.18490661117615947
ACH-000086,-0.31359025875985563
ACH-000087,-0.5923475310932511
ACH-000092,-0.3677225748293127
ACH-000095,-0.5127968979776314
ACH-000097,-0.07728216663053643
ACH-000098,-0.1605023901776702
ACH-000099,-0.24672595754260296
ACH-000108,-0.15145549609166353
ACH-000113,-0.07621130297153889
ACH-000116,-0.34400081984359154
ACH-000118,-0.14152489655882153
ACH-000120,-0.05429292658071224
ACH-000123,-0.5205748065696959
ACH-000127,-0.1203821551287331
ACH-000128,-0.22721967055330525
ACH-000132,-0.6218953020103775
ACH-000133,-0.3491104487162671
ACH-000137,-0.1780181766015255
ACH-000138,-0.12598839581564802
ACH-000142,-0.26072199139839786
ACH-000143,-0.31165560637456435
ACH-000146,-0.16507209274692608
ACH-000148,-0.181046296075034
ACH-000150,-0.6113144608314941
ACH-000152,-0.34825164798889685
ACH-000153,-0.2231679371489932
ACH-000159,-0.3149832952564323
ACH-000160,-0.3101375082937842
ACH-000163,-0.2716048404255035
ACH-000167,-0.16735308874593974
ACH-000168,-0.2691062033938297
ACH-000169,-0.17206568807496492
ACH-000178,-0.44371230308047066
ACH-000183,-0.5771760748162884
ACH-000188,-0.2656899019074188
ACH-000189,-0.21198163487368407
ACH-000190,-0.3663634578647526
ACH-000198,-0.3721617971100494
ACH-000203,-0.19798944004088131
ACH-000204,-0.4253452843005663
ACH-000206,-0.19855637747871768
ACH-000207,-0.02696985968129902
ACH-000208,-0.27007855570142725
ACH-000210,-0.18909805073421654
ACH-000211,-0.29442371887395663
ACH-000215,-0.20272292518308369
ACH-000221,-0.30387038036197195
ACH-000222,-0.18731611091449332
ACH-000223,-0.5390201568582613
ACH-000226,-0.1587853830865825
ACH-000227,-0.14529596067668424
ACH-000228,-0.4929188441007558
ACH-000231,-0.24967447618073346
ACH-000232,-0.2655341201175516
ACH-000233,-0.06027562994721732
ACH-000234,-0.2610878026415055
ACH-000235,-0.2205256684327072
ACH-000237,-0.19374989771437046
ACH-000238,-0.23710331032003695
ACH-000242,-0.17103902690115402
ACH-000243,-0.10675524816347637
ACH-000244,-0.15120505526809586
ACH-000246,0.15552061247525908
ACH-000248,-0.29500829446298943
ACH-000250,-0.1984730773003394
ACH-000251,-0.4464615918077197
ACH-000252,-0.3855511602197423
ACH-000253,-0.17068491861634175
ACH-000255,-0.24990871177646645
ACH-000256,-0.5189408518789079
ACH-000257,-0.1958527159167406
ACH-000258,-0.5405939082790104
ACH-000259,-0.2729187480511465
ACH-000260,-0.01375899326804677
ACH-000261,-0.1157949997224774
ACH-000262,-0.5920195259191255
ACH-000263,-0.11613500122690965
ACH-000264,-0.17218179953432594
ACH-000265,-0.3659269721239175
ACH-000266,-0.3729239853715984
ACH-000272,-0.26209821021071444
ACH-000274,-0.38244313586322337
ACH-000277,-0.11460607071083835
