,TOR4A (54863)
ACH-000004,-0.18873773091418475
ACH-000005,0.07288558300974482
ACH-000007,-0.06715743830418931
ACH-000009,-0.14326605214112073
ACH-000011,-0.2171039010569263
ACH-000012,-0.379323763796044
ACH-000013,-0.1570508753588047
ACH-000014,-0.13719569294093442
ACH-000015,-0.16014931782657982
ACH-000017,-0.11692929622669725
ACH-000018,0.04168458599169017
ACH-000019,0.060300575074605026
ACH-000021,-0.06884534607525329
ACH-000022,-0.2283375463599857
ACH-000025,0.09551774276078752
ACH-000028,-0.061011152660826476
ACH-000030,-0.06058223058526342
ACH-000035,-0.024703020830445517
ACH-000036,-0.17956426225585162
ACH-000037,0.00762686847542196
ACH-000039,-0.09177331480732198
ACH-000040,0.013596643880922576
ACH-000041,-0.015879131359167156
ACH-000042,-0.17357610227269876
ACH-000045,0.10467261648387284
ACH-000047,-0.1992102948670701
ACH-000052,-0.2329472533718089
ACH-000053,-0.14233472117842227
ACH-000054,-0.04187960261275225
ACH-000055,-0.05034456363563435
ACH-000060,0.0855204423563509
ACH-000067,-0.023753773254580005
ACH-000070,-0.2560813701498085
ACH-000075,-0.21232412931430195
ACH-000078,-0.07067701362729902
ACH-000082,-0.19026976828809786
ACH-000085,-0.07140128785107767
ACH-000086,-0.02808809311631956
ACH-000087,0.12555606510710185
ACH-000092,-0.0980752763309695
ACH-000095,-0.01334644945420882
ACH-000097,-0.08336910052146163
ACH-000098,0.16403704705128372
ACH-000099,-0.1225684142789396
ACH-000108,-0.16718858654422689
ACH-000113,-0.07656609742752392
ACH-000116,0.06624706551264177
ACH-000118,-0.06763457460251485
ACH-000120,-0.2517289808234764
ACH-000123,0.036895631694966236
ACH-000127,-0.07355439765694614
ACH-000128,0.030445013081590006
ACH-000132,-0.26858126319076553
ACH-000133,0.012523818524898029
ACH-000137,-0.15126240376707684
ACH-000138,-0.04150479572310002
ACH-000142,-0.09305087655532387
ACH-000143,-0.19147489723284566
ACH-000146,-0.16186620224971482
ACH-000148,-0.061255424436516624
ACH-000150,-0.14489273961617213
ACH-000152,-0.03742462203308206
ACH-000153,-0.00026837651002706644
ACH-000159,-0.08995741700884133
ACH-000160,-0.2282760871273161
ACH-000163,-0.09580169119441326
ACH-000167,-0.18641734686743675
ACH-000168,-0.17384294912300274
ACH-000169,-0.0034241575001897093
ACH-000178,-0.07883547577776835
ACH-000183,0.003374045159056395
ACH-000188,-0.0695059569657926
ACH-000189,-0.24363830425320898
ACH-000190,0.1159700010640638
ACH-000198,-0.022381088670739957
ACH-000203,-0.2227135055957096
ACH-000204,0.07438729850975855
ACH-000206,-0.036012153416512004
ACH-000207,-0.12606227150230725
ACH-000208,0.3600189376534568
ACH-000210,-0.04690629194192125
ACH-000211,-0.10197547849044684
ACH-000215,-0.1946870401475612
ACH-000221,-0.15903825808422534
ACH-000222,-0.046419136648034834
ACH-000223,0.051838565724037874
ACH-000226,-0.009508586697541286
ACH-000227,-0.0722320398030051
ACH-000228,0.02533618649013048
ACH-000231,-0.04262605932828043
ACH-000232,-0.02062802712463986
ACH-000233,0.019623812134831
ACH-000234,-0.0450960089524554
ACH-000235,0.0007425796511621193
ACH-000237,-0.09502208340569453
ACH-000238,-0.24893244839733286
ACH-000242,-0.3944434154752025
ACH-000243,-0.06652132751008752
ACH-000244,-0.2173384402856189
ACH-000246,-0.19404508927007705
ACH-000248,-0.009747862288572787
ACH-000250,-0.1626542522804579
ACH-000251,-0.19672030178630692
ACH-000252,-0.19755748204298887
ACH-000253,-0.16373606706184712
ACH-000255,-0.19435445650305425
ACH-000256,-0.09857640332804084
ACH-000257,-0.16301150019958688
ACH-000258,0.1213599089546168
ACH-000259,-0.08339647450390282
ACH-000260,-0.07419149804068458
ACH-000261,-0.0832715678339461
ACH-000262,-0.15904364441360253
ACH-000263,0.02208017804357532
ACH-000264,-0.18005157898534965
ACH-000265,0.011404286917030349
ACH-000266,-0.11489567049053015
ACH-000272,-0.09076974972694857
ACH-000274,-0.15876235548604112
ACH-000277,-0.10048540982463833
ACH-000278,-0.12513303185696456
ACH-000279,-0.04036128737758317
ACH-000280,-0.2247467445214698
ACH-000281,-0.003702681257036257
ACH-000288,-0.05065198673645923
ACH-000291,-0.0605479633972733
ACH-000293,0.046788687297155546
ACH-000294,-0.15443916062362062
ACH-000295,-0.07485098147093483
ACH-000296,-0.11933323716694474
ACH-000302,-0.04887461038761512
ACH-000304,-0.1970783943532712
ACH-000307,-0.04394922461652148
ACH-000308,-0.13246515553816268
ACH-000310,0.037820942428453914
ACH-000311,-0.07810000992277673
ACH-000312,-0.15143435406063013
ACH-000315,0.07544250125199428
ACH-000316,-0.2927207459455365
ACH-000317,-0.2723540165866442
ACH-000318,-0.04552833206302169
ACH-000319,-0.0021021873795316107
ACH-000320,-0.21656315087952774
ACH-000322,-0.0012375552400729411
ACH-000323,-0.17583558610279196
ACH-000324,-0.07309998684661098
ACH-000329,-0.06884128131414984
ACH-000330,-0.021554713576660816
ACH-000331,-0.12605683426192352
ACH-000332,-0.04829065536616962
ACH-000334,-0.09583378473437963
ACH-000335,-0.3012595153394008
ACH-000336,-0.11898369219662044
ACH-000337,-0.15062087596768392
ACH-000338,0.344806165022342
ACH-000339,-0.0893923822115891
ACH-000341,-0.07952556381144438
ACH-000348,-0.020474347957672254
ACH-000350,0.027769234338811316
ACH-000352,-0.17464168040307276
ACH-000356,-0.20158266333395208
ACH-000361,-0.1075174286720555
ACH-000362,-0.017540924185255262
ACH-000363,-0.09079736702326524
ACH-000364,-0.21406566312434955
ACH-000365,-0.049780388547440026
ACH-000366,-0.15505883191653588
ACH-000368,-0.1965404845109442
ACH-000374,-0.0076943416637292985
ACH-000375,-0.2416021340332527
ACH-000376,-0.08217794857580121
ACH-000381,-0.26301995323071964
ACH-000383,-0.08720244720876498
ACH-000387,-0.17157226725666494
ACH-000389,-0.2943150039244665
ACH-000390,-0.027930414709492868
ACH-000393,-0.10995189734479036
ACH-000395,-0.3139149677794227
ACH-000396,-0.2597614165340716
ACH-000397,-0.2259784809009874
ACH-000401,0.02996769824064285
ACH-000402,-0.06587081213745156
ACH-000403,-0.07507271119132666
ACH-000404,-0.18898053088703887
ACH-000406,-0.10645540793794044
ACH-000407,-0.2634278725222827
ACH-000408,-0.0029208424896742385
ACH-000410,-0.13517436350904966
ACH-000411,-0.12854977072687684
ACH-000414,-0.02140577618965297
ACH-000415,-0.008634665622236151
ACH-000416,-0.02891746331006673
ACH-000420,-0.03330583950439808
ACH-000421,-0.08315238924349917
ACH-000424,-0.3537384468978897
ACH-000425,-0.11173627426936952
ACH-000426,0.18382441322320525
ACH-000427,0.057507330759504476
ACH-000433,-0.4825931651574602
ACH-000435,-0.02974800394686377
ACH-000436,0.01381666834847298
ACH-000444,-0.13454593166279025
ACH-000445,-0.3505385993992237
ACH-000448,-0.12578555249549225
ACH-000450,0.060685068991633125
ACH-000452,-0.02325272088569029
ACH-000454,0.03272487126209134
ACH-000458,-0.17075012021471225
ACH-000459,0.08515849145716325
ACH-000460,-0.005119279191864889
ACH-000461,-0.03720741584726225
ACH-000463,-0.15075405101998712
ACH-000464,-0.07369763677399388
ACH-000466,-0.022167987239119846
ACH-000467,-0.13527346676665372
ACH-000468,-0.20318267457336533
ACH-000469,-0.13935371730039112
ACH-000470,-0.12396596880019255
ACH-000471,-0.09574464838049976
ACH-000472,-0.1275733424186273
ACH-000473,-0.03751257797718331
ACH-000475,-0.16990084422246904
ACH-000476,0.02259068698447068
ACH-000477,0.11947578014105376
ACH-000479,0.2435974031996011
ACH-000480,-0.2737682912006367
ACH-000481,-0.12638617555856804
ACH-000483,0.008215748100730402
ACH-000484,-0.03424872401961192
ACH-000485,-0.13676098764436964
ACH-000486,-0.11884716015228222
ACH-000487,-0.07952039738589617
ACH-000488,0.020912020842911414
ACH-000490,-0.13185260303013335
ACH-000491,-0.11451561709802675
ACH-000495,-0.10496700561726828
ACH-000496,-0.0967124185503674
ACH-000499,-0.027724653494695647
ACH-000500,-0.5982213856370759
ACH-000502,-0.06312028399031827
ACH-000503,-0.08234297131916239
ACH-000505,-0.16613507290454174
ACH-000507,-0.18788582378201732
ACH-000510,-0.07292346793899421
ACH-000511,0.0010490132220720328
ACH-000512,-0.17668774303440793
ACH-000516,-0.13587335942207074
ACH-000517,-0.063080895810796
ACH-000518,-0.17881674617746274
ACH-000520,-0.025317850896146757
ACH-000521,-0.1284676554797167
ACH-000522,0.02063512232524028
ACH-000524,0.03547927322572292
ACH-000527,-0.06610132590303948
ACH-000528,0.00994968423682963
ACH-000537,0.04041938601106276
ACH-000541,0.12628820785207584
ACH-000542,-0.05324051784040848
ACH-000544,-0.00012113037423373001
ACH-000545,-0.17434500358669822
ACH-000547,0.07265783553191969
ACH-000548,-0.07510962292370704
ACH-000549,-0.04212299125760798
ACH-000550,-0.17774236301952906
ACH-000552,-0.0703038610567516
ACH-000556,-0.1797220339697362
ACH-000557,0.005868796988175564
ACH-000569,-0.3161773293525287
ACH-000570,0.008380407909499798
ACH-000571,-0.1626163464399082
ACH-000573,0.025785884466299477
ACH-000576,-0.11409258639696135
ACH-000579,-0.011344495391517316
ACH-000580,-0.17021736871541354
ACH-000584,-0.14433127735558424
ACH-000585,-0.08845354314691516
ACH-000588,-0.012997129841315996
ACH-000589,-0.11563395937225678
ACH-000591,-0.11251702070071393
ACH-000593,-0.2811529009700206
ACH-000600,-0.03128935696666778
ACH-000601,-0.06596456248081152
ACH-000605,0.030388340171077187
ACH-000606,-0.003326775023783137
ACH-000608,-0.1887255125250029
ACH-000614,0.002938792062131136
ACH-000616,0.0736294747688028
ACH-000618,-0.07869876607224699
ACH-000619,-0.4572941456538126
ACH-000620,-0.17512997119799856
ACH-000621,-0.0833863777717922
ACH-000622,-0.22013505413104326
ACH-000623,0.011279962545429987
ACH-000624,0.029751856533927836
ACH-000627,-0.011658832136055909
ACH-000630,-0.08583086132484763
ACH-000631,-0.18985812212633013
ACH-000632,-0.007067705949522526
ACH-000633,-0.09475710775845286
ACH-000637,0.16881844926671688
ACH-000638,-0.08365698319657808
ACH-000646,0.010936244504017695
ACH-000647,-0.02063378870238949
ACH-000648,-0.35965441647133506
ACH-000649,-0.1281814656735281
ACH-000651,-0.03676100276477274
ACH-000652,-0.02627996898814025
ACH-000653,-0.04240091428443683
ACH-000657,-0.08227288147484338
ACH-000658,-0.06689380497010318
ACH-000661,0.13075549554319818
ACH-000662,-0.2539317018065769
ACH-000663,-0.23720860209684
ACH-000665,-0.10541944207065937
ACH-000671,0.048418909262682816
ACH-000672,0.10049776869009942
ACH-000673,-0.06482638835227396
ACH-000676,-0.03418942462572619
ACH-000677,-0.105566782075949
ACH-000681,-0.09094059221166716
ACH-000683,-0.1628192486176346
ACH-000684,-0.05648322786638544
ACH-000688,-0.11554115758212265
ACH-000693,-0.06443080587815422
ACH-000694,-0.1636440830629851
ACH-000695,-0.03212216565293882
ACH-000696,-0.09839210665274192
ACH-000697,-0.19868850299293844
ACH-000699,-0.15157881003774012
ACH-000701,-0.2307925568429245
ACH-000706,-0.04741883671485282
ACH-000711,-0.012646300495966193
ACH-000713,-0.10039063608576727
ACH-000714,0.03279183880529153
ACH-000718,-0.08129610998258961
ACH-000720,-0.031006332214552432
ACH-000721,-0.03961223216626895
ACH-000724,0.010490124900255663
ACH-000725,-0.05650264229190681
ACH-000732,0.04293149830516501
ACH-000734,-0.1361382899148753
ACH-000735,-0.17502705926501275
ACH-000736,-0.004286602876142712
ACH-000738,-0.22735263879079504
ACH-000746,-0.04701669903162765
ACH-000747,-0.009296189552184413
ACH-000748,-0.183318006252454
