,PIP5K1B (8395)
ACH-000004,-0.0923998836035948
ACH-000005,0.07569763726390788
ACH-000007,0.36074895593972856
ACH-000009,0.07331899338519647
ACH-000011,0.2659213714169852
ACH-000012,0.2496519417150318
ACH-000013,0.24071230939719426
ACH-000014,0.14669427338239255
ACH-000015,0.17664290056701634
ACH-000017,0.3153352481778665
ACH-000018,-0.038292731739040964
ACH-000019,0.19466773842960172
ACH-000021,0.07340454175730954
ACH-000022,0.2432421805173137
ACH-000025,0.20751205298184128
ACH-000028,0.08133527560293415
ACH-000030,0.1844346585209249
ACH-000035,0.19725374372877252
ACH-000036,0.20141079666713788
ACH-000037,0.1809417521461412
ACH-000039,0.07686453824079319
ACH-000040,0.18019106617889885
ACH-000041,0.3237753478653091
ACH-000042,0.2300143610574223
ACH-000045,0.2719108578992332
ACH-000047,0.19570302720168892
ACH-000052,0.16918004471290748
ACH-000053,0.18361376524310324
ACH-000054,0.14734455615659395
ACH-000055,0.1651871058418868
ACH-000060,0.2754736401030953
ACH-000067,0.1875660677896358
ACH-000070,0.07393160264533752
ACH-000075,0.0627352793108814
ACH-000078,0.18979793020051275
ACH-000082,0.26613022242780165
ACH-000085,0.02707614730384256
ACH-000086,0.19817041992189308
ACH-000087,0.15345340555292106
ACH-000092,0.2356389983244785
ACH-000095,0.16311162923226905
ACH-000097,0.21630920552879312
ACH-000098,0.23486262754912346
ACH-000099,0.23935153300610976
ACH-000108,0.2676973315660285
ACH-000113,0.12926371020951985
ACH-000116,0.11902540213908087
ACH-000118,0.16969181599901245
ACH-000120,0.16719224491260198
ACH-000123,0.21329878860543214
ACH-000127,0.24016368198255214
ACH-000128,0.23398018582608285
ACH-000132,0.12505252307754058
ACH-000133,0.2123843252421216
ACH-000137,0.19376547980149905
ACH-000138,0.20390868735241174
ACH-000142,0.2377663366283523
ACH-000143,0.28675394868416904
ACH-000146,0.2320237527623389
ACH-000148,0.18124862273289066
ACH-000150,0.2842834416399486
ACH-000152,0.25854371125641484
ACH-000153,0.4447203303605128
ACH-000159,0.09484114202787276
ACH-000160,0.2432098579644924
ACH-000163,0.06506179496229136
ACH-000167,0.2761665351838726
ACH-000168,0.17516675864477624
ACH-000169,0.2257471956663441
ACH-000178,0.2306973910491407
ACH-000183,0.2474886320677919
ACH-000188,0.2292959452816869
ACH-000189,0.0616308632560745
ACH-000190,0.18571036213788647
ACH-000198,0.17192741109614287
