,BAIAP3 (8938)
ACH-000004,-0.1854379742293687
ACH-000005,-0.13129195286432527
ACH-000007,-0.13935249262437327
ACH-000009,-0.198368389174848
ACH-000011,-0.1724422850049137
ACH-000012,-0.11649729783691462
ACH-000013,-0.22047125527384248
ACH-000014,0.007475742715063943
ACH-000015,-0.27065286840884395
ACH-000017,-0.2991845760650664
ACH-000018,0.025726727462129645
ACH-000019,-0.061781371255716463
ACH-000021,-0.27875313519222683
ACH-000022,-0.1512974531476364
ACH-000025,-0.18687785289139025
ACH-000028,-0.11611137674816907
ACH-000030,-0.09771804524992207
ACH-000035,-0.21220919650056266
ACH-000036,-0.17806535728487302
ACH-000037,-0.10226028539118943
ACH-000039,-0.2208884694174114
ACH-000040,-0.2338374990968329
ACH-000041,-0.09831622562203708
ACH-000042,-0.14823643457296345
ACH-000045,-0.13879281138606342
ACH-000047,-0.2766066321632409
ACH-000052,-0.034113589643547285
ACH-000053,-0.2415873780109257
ACH-000054,-0.06375987221346603
ACH-000055,-0.25650325453541456
ACH-000060,-0.2676296775348021
ACH-000067,-0.2734205485347005
ACH-000070,-0.2754000706851483
ACH-000075,-0.09150971659313027
ACH-000078,-0.17850933758967824
ACH-000082,-0.16703475877311233
ACH-000085,-0.08022067477728463
ACH-000086,-0.14605497075932902
ACH-000087,-0.15188847256120858
ACH-000092,-0.25097749986693474
ACH-000095,-0.21764822820283636
ACH-000097,-0.17771258569293436
ACH-000098,-0.2570248763792945
ACH-000099,-0.17276382825568806
ACH-000108,-0.1850423196447578
ACH-000113,-0.4012972730992075
ACH-000116,-0.16551391454231607
ACH-000118,-0.054510093207882776
ACH-000120,-0.1411287389475612
ACH-000123,-0.2141142494468313
ACH-000127,-0.08424914072687291
ACH-000128,-0.14068299415287094
ACH-000132,-0.25392030314004804
ACH-000133,-0.2489708592294467
ACH-000137,-0.09788921530593632
ACH-000138,-0.20904588344257144
ACH-000142,-0.18072244779669167
ACH-000143,-0.2025096579165726
ACH-000146,-0.2680632624066837
ACH-000148,-0.17846031706473067
ACH-000150,0.1725961459063963
ACH-000152,-0.0902129164065227
ACH-000153,-0.0791374921329441
ACH-000159,-0.19900013648295706
ACH-000160,-0.056828580600499785
ACH-000163,-0.1548099998629049
ACH-000167,-0.15459832784320812
ACH-000168,-0.17554212313542972
ACH-000169,-0.2766534636310352
ACH-000178,-0.2094272757727214
ACH-000183,-0.23161597049489344
ACH-000188,-0.14291170563980107
ACH-000189,-0.18526790514165864
ACH-000190,-0.2129184332498723
ACH-000198,-0.14994440045484073
ACH-000203,-0.44615169111916064
ACH-000204,-0.16070732682528155
ACH-000206,-0.1323522377082287
ACH-000207,-0.13876428636521398
ACH-000208,-0.20729935956290094
ACH-000210,-0.2761005632784687
ACH-000211,-0.12168735804239901
ACH-000215,-0.1817164428579925
ACH-000221,-0.07109330047706164
ACH-000222,-0.30823868913650704
ACH-000223,-0.1469615531228112
ACH-000226,-0.13889002316985186
ACH-000227,-0.21928793985223427
ACH-000228,-0.07669142751860074
ACH-000231,-0.2440289357582144
ACH-000232,-0.13853568945300793
ACH-000233,-0.3081350584851903
ACH-000234,-0.17252131904859444
ACH-000235,-0.1782392030443187
ACH-000237,-0.19425032826174035
ACH-000238,-0.21354874307957195
