,TUBGCP6 (85378)
ACH-000004,-0.4605777493565685
ACH-000005,-0.6084519435040051
ACH-000007,-0.4935566229012624
ACH-000009,-0.5140685107907936
ACH-000011,-0.6293397284526451
ACH-000012,-0.6577317119545696
ACH-000013,-0.6364560436093912
ACH-000014,-0.3409662638453944
ACH-000015,-0.5367438064619305
ACH-000017,-0.42620197523366987
ACH-000018,-0.34930291599554675
ACH-000019,-0.8835749647084549
ACH-000021,-0.7459811706233416
ACH-000022,-0.6722596200525617
ACH-000025,-0.5168775967134068
ACH-000028,-0.7854647042143774
ACH-000030,-0.7835669834108298
ACH-000035,-0.7521755694897081
ACH-000036,-0.7462267519988921
ACH-000037,-0.597310925192458
ACH-000039,-0.6023661686325789
ACH-000040,-0.6948681709770762
ACH-000041,-0.4774603872009999
ACH-000042,-0.8206080780334404
ACH-000045,-0.4978740248633997
ACH-000047,-0.6866871028112083
ACH-000052,-0.6045074316001824
ACH-000053,-0.548247212061729
ACH-000054,-0.5495734796800812
ACH-000055,-0.7756641816517791
ACH-000060,-0.755660612022975
ACH-000067,-0.7570268059003038
ACH-000070,-0.7630001529988935
ACH-000075,-0.749889453994292
ACH-000078,-0.6713566064704538
ACH-000082,-0.7287269324568664
ACH-000085,-0.6685128136062115
ACH-000086,-0.6023866405711206
ACH-000087,-0.5744237841358233
ACH-000092,-0.5853969669400101
ACH-000095,-0.45437670316217893
ACH-000097,-0.6550786978959259
ACH-000098,-0.6579992129594875
ACH-000099,-0.6620420584499214
ACH-000108,-0.7238390475865615
ACH-000113,-0.3968914194590567
ACH-000116,-0.6467569510830261
ACH-000118,-0.7632937948004171
ACH-000120,-0.5923439436635389
ACH-000123,-0.5954805735101628
ACH-000127,-0.5569328910870763
ACH-000128,-0.5604984417451777
ACH-000132,-0.5725756262300749
ACH-000133,-0.9060325748024808
ACH-000137,-0.5886078325872721
ACH-000138,-0.4694310173889938
ACH-000142,-0.5899786459394117
ACH-000143,-0.5019164924068118
ACH-000146,-0.40890153333651785
ACH-000148,-0.3669509990861467
ACH-000150,-0.6997007309570685
ACH-000152,-0.4915353412146802
ACH-000153,-0.5193703350403203
ACH-000159,-0.5791704084641639
ACH-000160,-0.4229533294304581
ACH-000163,-0.5960134352142872
ACH-000167,-0.8431722089018268
ACH-000168,-0.5725384440412934
ACH-000169,-0.7304578622448703
ACH-000178,-0.5070489977774019
ACH-000183,-0.6402067049625423
ACH-000188,-0.6861159598262668
ACH-000189,-0.7229651849221631
ACH-000190,-0.728068659944792
ACH-000198,-0.6618333946500884
ACH-000203,-0.4006157535715907
ACH-000204,-0.3002834061598137
ACH-000206,-0.7782516979059678
ACH-000207,-0.4826709779149875
ACH-000208,-0.7255905276699761
ACH-000210,-0.5427379212935567
ACH-000211,-0.648733493165183
ACH-000215,-0.7152798294452112
ACH-000221,-0.7145756531926122
ACH-000222,-0.5745951980324461
ACH-000223,-0.645542740164563
ACH-000226,-0.43621540661813024
ACH-000227,-0.4989106900923965
ACH-000228,-0.8165972047225522
ACH-000231,-0.54060324305831
ACH-000232,-0.5487364077138619
ACH-000233,-0.4424983171660367
ACH-000234,-0.3918636825083869
ACH-000235,-0.583064430554618
ACH-000237,-0.8837940133164767
ACH-000238,-0.5830655703469255
ACH-000242,-0.6276991198751556
ACH-000243,-0.7059193473519592
ACH-000244,-0.4606433067894845
ACH-000246,-0.7208224514341431
ACH-000248,-0.7726061052006538
ACH-000250,-0.7134531093638184
ACH-000251,-0.6840719438651732
ACH-000252,-0.7067175817854245
ACH-000253,-0.4840894084947232
ACH-000255,-0.4990694986598598
ACH-000256,-0.9704516192691802
ACH-000257,-0.6533950873810028
ACH-000258,-1.2604628094921748
ACH-000259,-0.5662967162082944
ACH-000260,-0.8516859442245066
ACH-000261,-0.6339528245750375
ACH-000262,-0.2972843531693637
ACH-000263,-0.7840529004949592
ACH-000264,-0.7146594754164568
ACH-000265,-0.5219513311994104
ACH-000266,-0.5134191186643564
ACH-000272,-0.4795122322913965
ACH-000274,-0.4453725317201264
ACH-000277,-0.4405419117749253
ACH-000278,-0.8005421175467979
ACH-000279,-0.5728461931955616
ACH-000280,-0.5478414554474701
ACH-000281,-0.4672590010325691
ACH-000288,-0.8408746229271086
ACH-000291,-0.6964326872237501
ACH-000293,-0.770613671380174
ACH-000294,-0.5226081383087314
ACH-000295,-0.6067853677411629
ACH-000296,-0.6079767516218743
ACH-000302,-0.6261924438335599
ACH-000304,-0.5170105260342444
ACH-000307,-0.3955781954682596
ACH-000308,-0.7536224970851546
ACH-000310,-0.6791521414773557
ACH-000311,-0.9575388022973912
ACH-000312,-0.5534150345423406
ACH-000315,-0.9359484076496009
ACH-000316,-0.4734557290005104
ACH-000317,-0.44101383319555604
ACH-000318,-0.4437668863832195
ACH-000319,-0.6146140986481347
ACH-000320,-0.6018864920698979
ACH-000322,-0.7482779009139592
ACH-000323,-0.5359804920921115
ACH-000324,-0.4025711687233422
ACH-000329,-0.6555539363986106
ACH-000330,-0.7675355227478904
ACH-000331,-0.7423594348180947
ACH-000332,-0.5652858603505344
ACH-000334,-0.6625088008317015
ACH-000335,-0.4308030573930653
ACH-000336,-0.588723132880755
ACH-000337,-0.676830972127067
ACH-000338,-0.13486733681759666
ACH-000339,-0.5923412261904982
ACH-000341,-0.8693330632340673
ACH-000348,-0.6653118848259486
ACH-000350,-0.5556531019173722
ACH-000352,-0.5730396812468757
ACH-000356,-0.6274599979629972
ACH-000361,-0.2151845881303911
ACH-000362,-0.5076998253002495
ACH-000363,-0.5143298796294267
ACH-000364,-0.44146080914039226
ACH-000365,-0.5758881518818403
ACH-000366,-0.6491601592062111
ACH-000368,-0.7248794186326021
ACH-000374,-0.9370130124091118
ACH-000375,-0.7483578173218077
ACH-000376,-0.5597255331095204
ACH-000381,-0.6912605999770467
ACH-000383,-0.36092598822541
ACH-000387,-0.5203045570184002
ACH-000389,-0.5111394495796904
ACH-000390,-0.8047394824028301
ACH-000393,-0.6803392519567626
ACH-000395,-0.6865965222339984
ACH-000396,-0.5876905900503295
ACH-000397,-0.6143064064108499
ACH-000401,-0.5300210358105419
ACH-000402,-0.528729166257447
ACH-000403,-0.68504072761352
ACH-000404,-0.6271111749662724
ACH-000406,-0.7523107093695568
ACH-000407,-0.6198246432329655
ACH-000408,-1.0542394093048415
ACH-000410,-0.7198825707084701
ACH-000411,-0.5975644504123432
ACH-000414,-0.5663914792474096
ACH-000415,-0.4939966612928468
ACH-000416,-0.8384843383119112
ACH-000420,-0.6917013866318377
ACH-000421,-0.6445609188617916
ACH-000424,-0.6950142173111225
ACH-000425,-0.5385761377228144
ACH-000426,-0.9080723662439508
ACH-000427,-0.5016222672986703
ACH-000433,-0.7917452445646037
ACH-000435,-0.9700448364677968
ACH-000436,-0.7989947075961016
ACH-000444,-0.7433974419187789
ACH-000445,-0.9589325517776948
ACH-000448,-0.6124573812159534
ACH-000450,-0.5891196657621969
ACH-000452,-0.5130727913855511
ACH-000454,-0.5995475063984037
ACH-000458,-0.7469264175577195
ACH-000459,-0.431984815778704
ACH-000460,-0.7886333934979842
ACH-000461,-0.8177169871523894
ACH-000463,-0.5296020318044207
ACH-000464,-0.7405302952348473
ACH-000466,-0.24884315022356915
ACH-000467,-0.8210371376384462
ACH-000468,-0.7338629953340373
ACH-000469,-0.6381317479855613
ACH-000470,-0.6078782124935652
ACH-000471,-0.5749224256978339
ACH-000472,-0.5538816348526214
ACH-000473,-0.4504003927473866
ACH-000475,-0.9266521025678128
ACH-000476,-0.5797936820530541
ACH-000477,-0.3159134780545108
ACH-000479,-0.6769574773013292
ACH-000480,-0.8525675549665195
ACH-000481,-0.5003841167529601
ACH-000483,-0.7703083770208553
ACH-000484,-0.6553052941083903
ACH-000485,-0.5284757453014111
ACH-000486,-0.6075688922518151
ACH-000487,-0.5711672252037536
ACH-000488,-0.6804819115532438
ACH-000490,-0.5581748612483569
ACH-000491,-0.4481251169448687
ACH-000495,-0.6165269982767143
ACH-000496,-0.6858411324063105
ACH-000499,-0.5773718734081136
ACH-000500,-0.8354635029442167
ACH-000502,-0.9805716691948124
ACH-000503,-0.7324463370863086
ACH-000505,-0.559763139510189
ACH-000507,-0.7295162231702069
ACH-000510,-0.5650586186763945
ACH-000511,-0.6224483526792715
ACH-000512,-0.4400507355025308
ACH-000516,-0.8894801589718018
ACH-000517,-0.6767452674717661
ACH-000518,-0.399580395109723
ACH-000520,-0.5815527885861377
ACH-000521,-0.7260399625644641
ACH-000522,-0.4441485137189025
ACH-000524,-0.5651005111916467
ACH-000527,-0.5838348570163271
ACH-000528,-0.9888339905949788
ACH-000537,-0.4793528386880047
ACH-000541,-0.8358089305763666
ACH-000542,-0.4664837500133233
ACH-000544,-0.6674148913121513
ACH-000545,-0.5615057824699381
ACH-000547,-0.6135505843304833
ACH-000548,-0.586190999332589
ACH-000549,-0.5839203059333846
ACH-000550,-0.5955390214918512
ACH-000552,-0.3877923843288335
ACH-000556,-0.39240392101665067
ACH-000557,-0.5616472933781269
ACH-000569,-0.6786525305473127
ACH-000570,-0.7826053218981621
ACH-000571,-0.5803852958023946
ACH-000573,-0.8459559277266865
ACH-000576,-0.6512204650508466
ACH-000579,-0.6597110721566979
ACH-000580,-0.6264486356031739
ACH-000584,-0.5957839707366398
ACH-000585,-0.5176725333208222
ACH-000588,-0.4058858074259322
ACH-000589,-0.5902353402875204
ACH-000591,-0.5443256230461309
ACH-000593,-0.4904343021295188
ACH-000600,-0.3866854741273163
ACH-000601,-0.8823617880394943
ACH-000605,-0.5655429692279771
ACH-000606,-0.5560296897220139
ACH-000608,-0.66070516608126
ACH-000614,-0.4510968866461061
ACH-000616,-0.5849846050809582
ACH-000618,-0.7445683303592272
ACH-000619,-0.7946061165432858
ACH-000620,-0.5569065380793429
ACH-000621,-0.4902521341382976
ACH-000622,-0.6368250854903691
ACH-000623,-1.0310663444185797
ACH-000624,-0.6989622575109067
ACH-000627,-0.4916652390396443
ACH-000630,-0.49752893733384795
ACH-000631,-0.8350767773596078
ACH-000632,-0.4717615473582108
ACH-000633,-0.807480230175152
ACH-000637,-1.0976730865629631
ACH-000638,-0.5106356706012618
ACH-000646,-0.28975787337755565
ACH-000647,-0.7541753710031565
ACH-000648,-0.6249058554896393
ACH-000649,-0.4512184138316392
ACH-000651,-0.609357291451281
ACH-000652,-0.5501621312431415
ACH-000653,-0.7847848612236373
ACH-000657,-0.570817579820783
ACH-000658,-0.6440195940772121
ACH-000661,-0.3890732777282221
ACH-000662,-0.3491126515089458
ACH-000663,-0.5037904320836214
ACH-000665,-0.7665016755890548
ACH-000671,-0.6741947506925849
ACH-000672,-0.7962827339604733
ACH-000673,-0.6526523687016638
ACH-000676,-0.4417350426885163
ACH-000677,-0.6049722367351453
ACH-000681,-0.7105989964304513
ACH-000683,-0.6162987102472588
ACH-000684,-0.7033486050508845
ACH-000688,-0.5703213292855001
ACH-000693,-0.4921223052755777
ACH-000694,-0.4789205972719155
ACH-000695,-0.7071847577961616
ACH-000696,-0.6279370028528575
ACH-000697,-0.8244224439074004
ACH-000699,-0.9118612069066672
ACH-000701,-0.6445997156295119
ACH-000706,-0.5909305025399496
ACH-000711,-0.8323670707352566
ACH-000713,-0.3474138481605368
ACH-000714,-0.6539758477694813
ACH-000718,-0.5362044909749508
ACH-000720,-0.4828079592578589
ACH-000721,-0.4395091125469267
ACH-000724,-0.7103478337440856
ACH-000725,-1.1329262013427748
ACH-000732,-0.8261276470376981
ACH-000734,-0.6271866365087347
ACH-000735,-0.6007433515176669
ACH-000736,-0.7201111738837609
ACH-000738,-0.5781927494638055
ACH-000746,-0.4832465532280886
ACH-000747,-0.5891595272316393
ACH-000748,-0.6324578515547319
ACH-000753,-0.7753749164397641
ACH-000756,-0.6468692139501578
ACH-000757,-0.6583005603894977
ACH-000758,-0.56860565885675
ACH-000760,-0.5342990093751951
ACH-000762,-0.7213836194723976
ACH-000763,-0.4158726819910305
ACH-000764,-0.5875949152509377
ACH-000765,-0.7029137969203707
ACH-000766,-0.6661377260229303
ACH-000767,-0.7682099219315849
ACH-000768,-0.6938483971938716
ACH-000769,-0.7762111241958681
ACH-000770,-0.493591411447437
ACH-000771,-0.4637157631092794
ACH-000773,-0.4928829913468466
ACH-000776,-0.5689334385510287
ACH-000777,-0.7640663604333615
ACH-000778,-0.7035178129341445
ACH-000781,-0.461941931636896
ACH-000782,-0.5792572575185448
ACH-000783,-0.5045640350764935
ACH-000784,-0.4828831745578445
ACH-000785,-0.3641640282656468
ACH-000787,-0.5472308632951379
ACH-000788,-0.5176819235895903
ACH-000791,-0.8384552334075469
ACH-000792,-0.8507155280203146
ACH-000794,-0.5335350461504601
ACH-000796,-0.40388063511990335
ACH-000798,-0.6438386316275484
ACH-000799,-0.5503624957337963
ACH-000800,-0.6255208132356499
ACH-000802,-0.4886152578090027
ACH-000804,-0.69817270611441
ACH-000805,-0.3931033076319874
ACH-000809,-0.45805507032434
ACH-000810,-0.7901524004581638
ACH-000811,-0.5391140652376162
ACH-000817,-0.5012752537707075
ACH-000819,-0.5832275775923664
ACH-000820,-0.5560176349147472
ACH-000821,-1.2022312443418075
ACH-000822,-0.6514221968547268
ACH-000823,-0.6258861697267508
ACH-000824,-0.4292956538361306
ACH-000827,-0.7334235205370192
ACH-000829,-0.5128610437823392
ACH-000831,-0.6098014961151668
ACH-000832,-0.5246541194797891
ACH-000833,-0.556922920755168
ACH-000834,-0.5729807290865055
ACH-000835,-0.6307669891592366
ACH-000836,-0.4136867545908885
ACH-000837,-0.6425353263515596
