,ZFAND2B (130617)
ACH-000004,-0.018395497106153
ACH-000005,0.02104958012745642
ACH-000007,0.10802293316657033
ACH-000009,-0.0816820228040531
ACH-000011,0.06478840554870932
ACH-000012,-0.04691891467853986
ACH-000013,0.15618332388655615
ACH-000014,-0.05528132833485957
ACH-000015,0.0985805363769804
ACH-000017,-0.03807128458840546
ACH-000018,0.19311939251824173
ACH-000019,-0.17587793884788586
ACH-000021,0.09141183306153744
ACH-000022,0.0421771517629564
ACH-000025,0.2311352858708817
ACH-000028,0.08775695396296004
ACH-000030,0.04352150212663716
ACH-000035,0.15721127764004128
ACH-000036,0.007039526195141812
ACH-000037,-0.05049937686424542
ACH-000039,0.06375897650405025
ACH-000040,0.002438164998722561
ACH-000041,0.13587880719110204
ACH-000042,0.1789501256176499
ACH-000045,0.09287719097288566
ACH-000047,0.21766299591866
ACH-000052,-0.004593006895916208
ACH-000053,0.17315244734090554
ACH-000054,0.03885412785320412
ACH-000055,0.10190550957891877
ACH-000060,0.10830024204943654
ACH-000067,0.1045101462792576
ACH-000070,0.13324664944601305
ACH-000075,0.16550387159506816
ACH-000078,-0.07068542093694828
ACH-000082,0.07521181767859812
ACH-000085,0.07683300023716004
ACH-000086,0.02324156514866084
ACH-000087,-0.11078496490729994
ACH-000092,0.13169504982044644
ACH-000095,-0.06133264336539001
ACH-000097,-0.0743194503181326
ACH-000098,0.10656735554313516
ACH-000099,0.14162996225250246
ACH-000108,-0.11602044295286447
ACH-000113,0.01381169942705182
ACH-000116,-0.024799473358314148
ACH-000118,0.10739778976155902
ACH-000120,0.19000241152342628
ACH-000123,0.15456381418934428
ACH-000127,0.11332219269173285
ACH-000128,0.1525563393845605
ACH-000132,0.11282846842788645
ACH-000133,0.10018230549763914
ACH-000137,0.04010618929938672
ACH-000138,-0.007924835490295738
ACH-000142,-0.014603795565441726
ACH-000143,-0.10868973544468766
ACH-000146,0.07636742535512459
ACH-000148,-0.005918760973197687
ACH-000150,0.0016879474709132313
ACH-000152,0.0251904476933067
ACH-000153,0.06882680427645825
ACH-000159,0.022946323907077674
ACH-000160,0.12448263504058885
ACH-000163,0.05231098757674635
ACH-000167,0.034342807247181924
ACH-000168,0.1953496381751403
ACH-000169,0.1528641289918235
ACH-000178,0.0015025357505606914
ACH-000183,0.01793073004766064
ACH-000188,0.124827284278877
ACH-000189,-0.06267137459471415
ACH-000190,0.1052435180448178
ACH-000198,-0.015398562201553856
ACH-000203,0.07903763588100024
ACH-000204,0.198438133069848
ACH-000206,0.15941475485857726
ACH-000207,0.1740731877209927
ACH-000208,-0.06675823360039586
ACH-000210,0.2142105747394327
ACH-000211,0.0758689544547419
ACH-000215,0.055788558343417664
ACH-000221,0.045479292653167684
ACH-000222,0.03831831788551181
ACH-000223,0.09415263604642712
ACH-000226,0.14948138933333913
ACH-000227,0.011103337962434257
ACH-000228,0.05619566530698348
ACH-000231,0.0906436985008322
ACH-000232,0.08013958011746303
ACH-000233,0.15513825002296605
ACH-000234,-0.035998837776920714
ACH-000235,0.0018244424114845683
ACH-000237,0.008645385250815573
ACH-000238,0.08962963032634283
ACH-000242,0.17648049045616254
ACH-000243,0.10042006734241599
ACH-000244,0.1376749944903302
ACH-000246,0.016823621383559726
ACH-000248,0.06446225858097318
ACH-000250,0.012754628480731705
ACH-000251,-0.07741104397686592
ACH-000252,0.1042661123132888
ACH-000253,0.17035590302516704
ACH-000255,0.04954610998581282
ACH-000256,-0.021392592447978986
ACH-000257,0.2454725095125337
ACH-000258,-0.05172820264353785
ACH-000259,0.11439896926675852
ACH-000260,0.04398729694816046
ACH-000261,0.10741647362623748
ACH-000262,0.17781843214793686
ACH-000263,-0.5189349576796201
ACH-000264,0.05396174437994765
ACH-000265,0.013815732090096188
ACH-000266,-0.03645624196165829
ACH-000272,-0.047399584276198406
ACH-000274,0.057976240060332127
ACH-000277,-0.0667599620122203
ACH-000278,0.05983971979194873
ACH-000279,0.019537160229209875
ACH-000280,0.11883336020525395
ACH-000281,0.06917425192957806
ACH-000288,0.023553783175774504
ACH-000291,0.015131528703361085
ACH-000293,0.14878595046956622
ACH-000294,0.08856678454738484
ACH-000295,0.28713529056491394
ACH-000296,-0.05222762074010729
ACH-000302,0.08017586270501678
ACH-000304,0.1459868695228033
ACH-000307,-0.01559281313525931
ACH-000308,0.0014134385767472296
ACH-000310,0.06143852681012879
ACH-000311,0.08655028013354152
ACH-000312,-0.00815362553515918
ACH-000315,0.08463829291413624
ACH-000316,-0.03443947358250853
ACH-000317,-0.061884305300119326
ACH-000318,-0.023187287447362315
ACH-000319,0.04730448846134307
ACH-000320,-0.07623455224940733
ACH-000322,0.030053268701844726
ACH-000323,0.1713049375927859
ACH-000324,-0.049933416003355005
ACH-000329,-0.08588740949918228
ACH-000330,0.005414654926004114
ACH-000331,0.0041689858622692795
ACH-000332,0.0098763446903003
ACH-000334,0.6065513297875523
ACH-000335,0.21749651130234687
ACH-000336,-0.0035247613488033212
ACH-000337,-0.022103068804706118
ACH-000338,-0.23033650914576936
ACH-000339,0.04189125016143432
ACH-000341,-0.01779807112587559
ACH-000348,0.044835295918287874
ACH-000350,0.08580734347138659
ACH-000352,0.11734225955122493
ACH-000356,0.01278691275268162
ACH-000361,0.09776671952751848
ACH-000362,-0.0715107763841468
ACH-000363,0.032124836802281134
ACH-000364,-0.009520676423712276
ACH-000365,0.05639004388016808
ACH-000366,0.04629684568808885
ACH-000368,0.21083740449466626
ACH-000374,-0.14776180067774633
ACH-000375,0.2079754993118064
ACH-000376,0.05757623660233685
ACH-000381,0.01595413509854003
ACH-000383,-0.003992756151180951
ACH-000387,0.011990709462046143
ACH-000389,-0.004247249189384759
ACH-000390,0.07845934818990469
ACH-000393,0.019536463587713958
ACH-000395,-0.10825715248047224
ACH-000396,0.16863201389486512
ACH-000397,0.1530538477785141
ACH-000401,-0.09838396070052638
ACH-000402,0.012483064772931922
ACH-000403,0.04511461892459832
ACH-000404,0.038977077643302264
ACH-000406,-0.00533806341019609
ACH-000407,0.12157420207374038
ACH-000408,0.09597975976958682
ACH-000410,0.006772766011110432
ACH-000411,0.10300985791499856
ACH-000414,0.10697927302189708
ACH-000415,0.024329881541089258
ACH-000416,0.0729291954881068
ACH-000420,0.0562334726846598
ACH-000421,-0.003626548860329477
ACH-000424,-0.17626826810558208
ACH-000425,0.03137530978094366
ACH-000426,0.09921342499304664
ACH-000427,0.14402050864788465
ACH-000433,0.08847900293935479
ACH-000435,0.15830190164239424
ACH-000436,-0.002777904920032392
ACH-000444,0.013078586121955735
ACH-000445,-0.08384892036157403
ACH-000448,0.011072039371696476
ACH-000450,0.08585632475347399
ACH-000452,0.09816822241620098
ACH-000454,0.22565304440676456
ACH-000458,0.08096128676235896
ACH-000459,0.30355443630068474
ACH-000460,0.10869066973498298
ACH-000461,-0.14547062335245098
ACH-000463,-0.11230336760104932
ACH-000464,0.15351048683128726
ACH-000466,-0.03024828190976738
ACH-000467,-0.003056858502598732
ACH-000468,0.08637943258678966
ACH-000469,0.14737287381440975
ACH-000470,-0.10178300141764383
ACH-000471,-0.03594659947352848
ACH-000472,0.032653374470536574
ACH-000473,0.03323588811994296
ACH-000475,0.0015654568121716331
ACH-000476,0.09294479364973757
ACH-000477,0.08339782772159793
ACH-000479,0.3121456669377638
ACH-000480,-0.04768151750466285
ACH-000481,0.004067929755868179
ACH-000483,-0.16454252109762738
ACH-000484,0.3575807863439685
ACH-000485,-0.029425648659327792
ACH-000486,0.02208148595935418
ACH-000487,0.07309974866342013
ACH-000488,0.10447272340959207
ACH-000490,0.08637263715762519
ACH-000491,0.06877904014873305
ACH-000495,0.10409345638999323
ACH-000496,0.10594999122886273
ACH-000499,0.22025974183393088
ACH-000500,-0.1287607667926539
ACH-000502,0.12307041807956395
ACH-000503,0.20301970065738026
ACH-000505,0.13426363183976298
ACH-000507,0.06709260942213524
ACH-000510,0.07299778848468577
ACH-000511,-0.07756718572492438
ACH-000512,-0.06365295899877367
ACH-000516,0.17333826244352066
ACH-000517,0.02981661925678102
ACH-000518,0.00821933890641654
ACH-000520,0.10572231336020424
ACH-000521,-0.060921102146771315
ACH-000522,0.043109040825664274
ACH-000524,-0.044972678841797335
ACH-000527,0.09848387240608013
ACH-000528,0.01616368684037583
ACH-000537,0.017490403524790258
ACH-000541,0.2301297325777951
ACH-000542,0.1510859639941149
ACH-000544,0.06542895208713416
ACH-000545,0.11783459330102596
ACH-000547,0.14110977517299952
ACH-000548,0.06404094811819833
ACH-000549,-0.0020462828835239514
ACH-000550,0.07960143540923689
ACH-000552,-0.17410765247056012
ACH-000556,0.014280752156575257
ACH-000557,0.07555453164600336
ACH-000569,0.17525695409426442
ACH-000570,0.18374110512088845
ACH-000571,0.02070422644456648
ACH-000573,0.06592885122133127
ACH-000576,0.017014679919977085
ACH-000579,-0.004240030384503028
ACH-000580,0.07633899768938768
ACH-000584,0.07228105711783968
ACH-000585,-0.023923559764116288
ACH-000588,0.0035061316331461588
ACH-000589,0.062233311987339626
ACH-000591,0.08081468848962962
ACH-000593,0.22406201370484694
ACH-000600,0.005300586833941128
ACH-000601,0.12114758351164745
ACH-000605,0.1319781647336888
ACH-000606,0.002161701640198684
ACH-000608,-0.007789659482051674
ACH-000614,-0.20390361875457524
ACH-000616,0.023724719054699184
ACH-000618,0.09022127471155653
ACH-000619,0.11241387919965154
ACH-000620,0.18550292874668475
ACH-000621,0.00954093488035653
ACH-000622,0.0897166894509823
ACH-000623,0.11145914871074747
ACH-000624,0.0137925789070628
ACH-000627,-0.05229889054279554
ACH-000630,0.06752401019874621
ACH-000631,-0.04022995944172205
ACH-000632,0.04339045998842167
ACH-000633,-0.004591348196532549
ACH-000637,0.04098219272825803
ACH-000638,0.1300435379216258
ACH-000646,-0.04701216609100144
ACH-000647,0.05641034457952818
ACH-000648,-0.03636131854610534
ACH-000649,0.13737487667996914
ACH-000651,0.047227263130390704
ACH-000652,0.18964968973854965
ACH-000653,0.05194846002115935
ACH-000657,-0.007996392671429936
ACH-000658,-0.007652896064781718
ACH-000661,0.1318274210552121
