,AES (166)
ACH-000004,-0.2038688491068854
ACH-000005,-0.08544902227034319
ACH-000007,0.10855148128775792
ACH-000009,-0.10114843021877552
ACH-000011,-0.3024002965205284
ACH-000012,-0.11198955153728694
ACH-000013,-0.18877093768536327
ACH-000014,-0.05909529948279073
ACH-000015,-0.2240093895777618
ACH-000017,-0.2889128116466132
ACH-000018,-0.08334164458538079
ACH-000019,-0.1526219303935746
ACH-000021,-0.1978260515787877
ACH-000022,-0.07907563005691548
ACH-000025,-0.19157220108434164
ACH-000028,-0.2947040884522697
ACH-000030,-0.19870853298739055
ACH-000035,-0.2649540282583978
ACH-000036,-0.09828189488575403
ACH-000037,-0.1150882982056464
ACH-000039,-0.14482700728338002
ACH-000040,-0.14499763081225495
ACH-000041,-0.14905601699061016
ACH-000042,-0.09145249542386767
ACH-000045,-0.09740047408617084
ACH-000047,-0.11321658884196985
ACH-000052,-0.2246650946801464
ACH-000053,-0.11460298605343475
ACH-000054,-0.3444786790294212
ACH-000055,-0.03374512926963437
ACH-000060,-0.2181130349425804
ACH-000067,-0.25393005981212713
ACH-000070,-0.013560864675710042
ACH-000075,-0.1872669664578016
ACH-000078,-0.08599937800638155
ACH-000082,-0.13758631171800076
ACH-000085,-0.30538917159664525
ACH-000086,-0.12604952231238276
ACH-000087,0.01684748121314186
ACH-000092,-0.198375857092597
ACH-000095,-0.2895106538068413
ACH-000097,-0.3157349735399826
ACH-000098,-0.3530987539444223
ACH-000099,-0.2472806894802455
ACH-000108,-0.0903810498997081
ACH-000113,-0.15433019257427608
ACH-000116,-0.1256835896583372
ACH-000118,-0.01964162284043999
ACH-000120,-0.20308351776628503
ACH-000123,-0.17258214039542644
ACH-000127,-0.10303638897231507
ACH-000128,-0.3643126667291101
ACH-000132,-0.08183633641372723
ACH-000133,-0.16316692412226946
ACH-000137,-0.006256633369333263
ACH-000138,-0.1221627206397691
ACH-000142,-0.1405271016812726
ACH-000143,-0.2539687893899793
ACH-000146,-0.0911424160639972
ACH-000148,-0.2072459808898214
ACH-000150,-0.2576059295726654
ACH-000152,-0.1912113178517199
ACH-000153,-0.08197980206626572
ACH-000159,-0.05811325834301807
ACH-000160,0.16608887836226927
ACH-000163,-0.029288628157441488
ACH-000167,0.3939413133987854
ACH-000168,-0.22967487268977266
ACH-000169,-0.17942442521119342
ACH-000178,0.07349837779064261
ACH-000183,-0.14679668176790767
ACH-000188,-0.3083514811276743
