,TYMP (1890)
ACH-000004,0.052741599793471865
ACH-000005,-0.11872428026569455
ACH-000007,-0.35308405287030714
ACH-000009,-0.2034583714632491
ACH-000011,-0.1347578341814809
ACH-000012,-0.16280080324541052
ACH-000013,-0.1065449216730294
ACH-000014,-0.10192469217278227
ACH-000015,-0.09053317767695022
ACH-000017,-0.001732711189216625
ACH-000018,-0.09565966855811782
ACH-000019,-0.21431643908232412
ACH-000021,-0.06638588850799286
ACH-000022,-0.13826395187140042
ACH-000025,-0.11693291614878065
ACH-000028,-0.17228744811449126
ACH-000030,-0.1724844681084235
ACH-000035,-0.13244436191201833
ACH-000036,-0.08520001906234287
ACH-000037,-0.17833233215810307
ACH-000039,-0.0837578144757051
ACH-000040,-0.21883547205517465
ACH-000041,-0.04254169621579212
ACH-000042,-0.11196367758450224
ACH-000045,-0.06057713475151755
ACH-000047,-0.021226408535871516
ACH-000052,-0.3908599696592793
ACH-000053,-0.11060930153898038
ACH-000054,0.08796643312073363
ACH-000055,-0.15650624880606318
ACH-000060,-0.15205244850505314
ACH-000067,-0.07595515494040413
ACH-000070,-0.06532051608581116
ACH-000075,0.040415223151589234
ACH-000078,-0.2859927207020515
ACH-000082,-0.05610940522698178
ACH-000085,-0.08133119884636128
ACH-000086,-0.003837455979613353
ACH-000087,0.002593363340701045
ACH-000092,-0.03730216641922049
ACH-000095,-0.10111217362056142
ACH-000097,-0.11751127087014375
ACH-000098,-0.12390115585251475
ACH-000099,-0.14784331054893066
ACH-000108,-0.09708308659515208
ACH-000113,-0.22890792565912785
ACH-000116,-0.11009342056600877
ACH-000118,-0.11187850330326216
ACH-000120,-0.07791468152010365
ACH-000123,-0.16586837643821134
ACH-000127,-0.047805692477525495
ACH-000128,-0.17633630745455214
ACH-000132,-0.08264633532172443
ACH-000133,-0.0540710596163269
ACH-000137,-0.10570868008510648
ACH-000138,-0.05501707081442965
ACH-000142,-0.03229949501280609
ACH-000143,-0.17750937590203122
ACH-000146,-0.10618981833849847
ACH-000148,-0.005946971018352741
ACH-000150,-0.03978284195586888
ACH-000152,-0.07439898034517302
ACH-000153,0.034114565389527354
ACH-000159,-0.02013869917035221
ACH-000160,0.026856718412645416
ACH-000163,-0.11391140310301802
ACH-000167,-0.13497187883408227
ACH-000168,-0.1675224562963988
ACH-000169,-0.21605569287786952
ACH-000178,-0.055270658343739495
ACH-000183,-0.020765718689528232
ACH-000188,-0.006126327571949675
ACH-000189,-0.3701900049855545
ACH-000190,0.09512144712316048
ACH-000198,-0.07642780709606167
ACH-000203,-0.2568793465250782
