,AATF (26574)
ACH-000004,-0.4103722845311736
ACH-000005,-0.35242954443605784
ACH-000007,-0.4287174892010754
ACH-000009,-0.3727233118496592
ACH-000011,-0.524200076206323
ACH-000012,-0.4977079237273588
ACH-000013,-0.6029592902114611
ACH-000014,-0.3872890682990993
ACH-000015,-0.3560197533809297
ACH-000017,-0.5317987509234587
ACH-000018,-0.39522704244824747
ACH-000019,-0.7072000723511934
ACH-000021,-0.5512271606946784
ACH-000022,-0.5682826120663824
ACH-000025,-0.5018554109715331
ACH-000028,-0.6762513016305907
ACH-000030,-0.4997141014118776
ACH-000035,-0.5161731703153628
ACH-000036,-0.5807189292267381
ACH-000037,-0.7512029018700708
ACH-000039,-0.6134511442229218
ACH-000040,-0.5639411321139531
ACH-000041,-0.5650328391199458
ACH-000042,-0.3321455425256081
ACH-000045,-0.5598576352361737
ACH-000047,-0.5101282300122392
ACH-000052,-0.7131306895500639
ACH-000053,-0.581117833825982
ACH-000054,-0.6084284197216316
ACH-000055,-0.7991080910196748
ACH-000060,-0.4795087491332297
ACH-000067,-0.6009682464151077
ACH-000070,-0.5489086257118193
ACH-000075,-0.4887800084840642
ACH-000078,-0.5334588532845832
ACH-000082,-0.6545142167947801
ACH-000085,-0.5554767705849791
ACH-000086,-0.557512977910038
ACH-000087,-0.7603546693470237
ACH-000092,-0.5366798663939443
ACH-000095,-0.4433708269577346
ACH-000097,-0.5750299152627255
ACH-000098,-0.3766083732270615
ACH-000099,-0.5071129412537653
ACH-000108,-0.6586309823779918
ACH-000113,-0.5828943083555972
ACH-000116,-0.5914029755836142
ACH-000118,-0.5475744450972928
ACH-000120,-0.4485547045765214
ACH-000123,-0.4926354370562022
ACH-000127,-0.5341904752516294
ACH-000128,-0.4454577363788695
ACH-000132,-0.6561379029727881
ACH-000133,-0.4133045098471374
ACH-000137,-0.7541358496962365
ACH-000138,-0.4466366201865776
ACH-000142,-0.5616550195927869
ACH-000143,-0.3878559571003742
ACH-000146,-0.5554127924604916
ACH-000148,-0.5168367454081567
ACH-000150,-0.3356318526015863
ACH-000152,-0.7460509684539139
ACH-000153,-0.29222004350063074
ACH-000159,-0.5268883153774951
ACH-000160,-0.7293986508973083
ACH-000163,-0.6754115697743273
ACH-000167,-0.6513660166958014
ACH-000168,-0.5570884704453983
ACH-000169,-0.6443879711283489
ACH-000178,-0.6232308427269715
ACH-000183,-0.6952587538844903
ACH-000188,-0.492463416125254
ACH-000189,-0.5637062763813006
ACH-000190,-0.6091405392019021
ACH-000198,-0.4908738143423789
ACH-000203,-0.5055488503335304
ACH-000204,-0.631050712151116
ACH-000206,-0.5072888008319477
ACH-000207,-0.5897476782890149
ACH-000208,-0.3944595048857627
ACH-000210,-0.35078313984040865
ACH-000211,-0.5102629977441276
ACH-000215,-0.5267698114828884
ACH-000221,-0.7707354708091889
ACH-000222,-0.4657253110669357
ACH-000223,-0.7006001316375448
ACH-000226,-0.5667323454417296
ACH-000227,-0.24111857576774176
ACH-000228,-0.5871725244382288
ACH-000231,-0.5972598593386058
ACH-000232,-0.5135330264331115
ACH-000233,-0.5124113849872803
ACH-000234,-0.4274090259331804
ACH-000235,-0.4498261670389369
ACH-000237,-0.4893186149941615
ACH-000238,-0.6326685985281164
ACH-000242,-0.26608316516160624
ACH-000243,-0.5789636668143823
ACH-000244,-0.3184235630578097
ACH-000246,-0.5084413701619149
ACH-000248,-0.5271648264028378
ACH-000250,-0.3838532199608795
ACH-000251,-0.5772543485266073
ACH-000252,-0.7747098709664885
ACH-000253,-0.4588351603911703
ACH-000255,-0.6735912767411049
ACH-000256,-0.5006717479809701
ACH-000257,-0.4140248535836044
ACH-000258,-0.5926353443217516
ACH-000259,-0.6355042471887181
ACH-000260,-0.5522696323679259
ACH-000261,-0.4701357468807152
ACH-000262,-0.6757416187883449
ACH-000263,-0.3868649232011032
ACH-000264,-0.6311838019858608
ACH-000265,-0.4858477984224537
ACH-000266,-0.475248928087427
ACH-000272,-0.51261541067394
ACH-000274,-0.5162061536558958
ACH-000277,-0.5700339947469674
ACH-000278,-0.5067001138459405
ACH-000279,-0.3984708890584608
ACH-000280,-0.3800045087019675
ACH-000281,-0.4063697979854707
ACH-000288,-0.5068899949984571
ACH-000291,-0.4914996670935459
ACH-000293,-0.7546357823561686
ACH-000294,-0.2735592548346953
ACH-000295,-0.2320628008369441
ACH-000296,-0.6562862398204983
ACH-000302,-0.5096877487399902
ACH-000304,-0.5340197763820086
ACH-000307,-0.2762385843330833
ACH-000308,-0.4606864837131524
ACH-000310,-0.639996397127268
ACH-000311,-0.5311326167219517
ACH-000312,-0.487444266943933
ACH-000315,-0.9040513281702732
ACH-000316,-0.21863812061267174
ACH-000317,-0.6321766711762447
ACH-000318,-0.4491345628074597
ACH-000319,-0.7569859417835941
ACH-000320,-0.4823927537805471
ACH-000322,-0.3476882851134382
ACH-000323,-0.6143938959208411
ACH-000324,-0.4284655463543295
ACH-000329,-0.5588374838680867
ACH-000330,-0.5177078810225453
ACH-000331,-0.4818712426618805
ACH-000332,-0.4752364436383396
ACH-000334,-0.5225236666528721
ACH-000335,-0.6231675085759575
ACH-000336,-0.3216903843182334
ACH-000337,-0.6599851954732912
ACH-000338,-0.7349807756794764
ACH-000339,-0.5445545264440373
ACH-000341,-0.5402053122628502
ACH-000348,-0.4908258730613493
ACH-000350,-0.12967778279866973
ACH-000352,-0.5584528809828607
ACH-000356,-0.3870220016283837
ACH-000361,-0.5217575678834186
ACH-000362,-0.5017079892492317
ACH-000363,-0.5214850818324466
ACH-000364,-0.4685067929620549
ACH-000365,-0.4087532196157509
ACH-000366,-0.3865160735407568
ACH-000368,-0.3426259019109188
ACH-000374,-0.5072841321157586
ACH-000375,-0.4755780384298565
ACH-000376,-0.3921151751774858
ACH-000381,-0.5804769587445776
ACH-000383,-0.39865794088344897
ACH-000387,-0.6289747686449465
ACH-000389,-0.8731962265353853
ACH-000390,-0.4214290887518395
ACH-000393,-0.30080252854925243
ACH-000395,-0.14083519550149745
ACH-000396,-0.7746717639447109
ACH-000397,-0.7078175935454329
ACH-000401,-0.362567233606953
ACH-000402,-0.4377372074649149
ACH-000403,-0.3885936688734373
ACH-000404,-0.4272655903672749
ACH-000406,-0.5851683733141275
ACH-000407,-0.40986140361864204
ACH-000408,-0.2645122069865801
ACH-000410,-0.6692949586946426
ACH-000411,-0.4568060709965906
ACH-000414,-0.5502681096606667
ACH-000415,-0.4863258103479582
ACH-000416,-0.6856358979561231
ACH-000420,-0.6622934456402569
ACH-000421,-0.5469005153439117
ACH-000424,-0.2226881525271828
ACH-000425,-0.5634612677492195
ACH-000426,-0.5577430301470705
ACH-000427,-0.5492666335843704
ACH-000433,-0.6307991121232182
ACH-000435,-0.6611894998197194
ACH-000436,-0.3951067381628002
ACH-000444,-0.4859955662221477
ACH-000445,-0.5517041338574639
ACH-000448,-0.4210707193528754
ACH-000450,-0.3232577877153461
ACH-000452,-0.5613588970530833
ACH-000454,-0.3084626095685318
ACH-000458,-0.5327943774772527
ACH-000459,-0.3721738348816603
ACH-000460,-0.5399865623085318
ACH-000461,-0.4750175434764018
ACH-000463,-0.5369259413601963
ACH-000464,-0.4651233235928309
ACH-000466,-0.5609023676653582
ACH-000467,-0.4067037223089304
ACH-000468,-0.3236462446811738
ACH-000469,-0.5444906286384373
ACH-000470,-0.4690873333600569
ACH-000471,-0.4862000365853243
ACH-000472,-0.4674024762427821
ACH-000473,-0.5796161603025525
ACH-000475,-0.3805413056071949
ACH-000476,-0.3234669124210351
ACH-000477,-0.5251981792865699
ACH-000479,-0.3546832000034705
ACH-000480,-0.8077172846094193
ACH-000481,-0.3966427254666926
ACH-000483,-0.5724295321418168
ACH-000484,-0.4634971316334227
ACH-000485,-0.4545923541171693
ACH-000486,-0.6185061403748483
ACH-000487,-0.5416916406097055
ACH-000488,-0.5641351530997927
ACH-000490,-0.5988691168097154
ACH-000491,-0.5557281239928337
ACH-000495,-0.3412479416711197
ACH-000496,-0.4349764150650709
ACH-000499,-0.5016689992307978
ACH-000500,-0.20201932147511945
ACH-000502,-0.3818351980181181
ACH-000503,-0.6815497990618903
ACH-000505,-0.4995676067201558
ACH-000507,-0.5743266717738853
ACH-000510,-0.6061572597604735
ACH-000511,-0.6917289912989856
ACH-000512,-0.4846085934184847
ACH-000516,-0.6142854113746073
ACH-000517,-0.4731231963703825
ACH-000518,-0.40476168908162974
ACH-000520,-0.5649058259976284
ACH-000521,-0.5177844546960725
ACH-000522,-0.5269286173107136
ACH-000524,-0.8962494562135501
ACH-000527,-0.44894919217165263
ACH-000528,-0.6130025632510048
ACH-000537,-0.4674670384110939
ACH-000541,-0.29288369498458805
ACH-000542,-0.4733251598289753
ACH-000544,-0.5634352991935954
ACH-000545,-0.4749209349243767
ACH-000547,-0.7497639328279652
ACH-000548,-0.40279502196955896
ACH-000549,-0.5293057815085035
ACH-000550,-0.4463957188832148
ACH-000552,-0.3977963476773515
ACH-000556,-0.5970850061191271
ACH-000557,-0.40465581338467577
ACH-000569,-0.27595270659858695
ACH-000570,-0.2978912158134947
ACH-000571,-0.5311643087926381
ACH-000573,-0.6540300907726286
ACH-000576,-0.6487223819430574
ACH-000579,-0.4196931143103976
ACH-000580,-0.7411311700912087
ACH-000584,-0.4005824254296184
ACH-000585,-0.4198881650553226
ACH-000588,-0.6922523435757874
ACH-000589,-0.4971729897242127
ACH-000591,-0.3936140527264791
ACH-000593,-0.5047704182605239
ACH-000600,-0.4929165041849183
ACH-000601,-0.4382638370817233
ACH-000605,-0.6265098325651989
ACH-000606,-0.5022914499583321
ACH-000608,-0.5423746084993967
ACH-000614,-0.7270520576625015
ACH-000616,-0.7508727332130125
ACH-000618,-0.5797727349147181
ACH-000619,-0.3759314653505498
ACH-000620,-0.5430862312115284
ACH-000621,-0.3709802909895759
ACH-000622,-0.4733862300507975
ACH-000623,-0.6800294176091061
ACH-000624,-0.5300572214093314
ACH-000627,-0.3223070939975531
ACH-000630,-0.3932994778779956
ACH-000631,-0.7976417502963021
ACH-000632,-0.5191094314195975
ACH-000633,-0.3132338023521548
ACH-000637,-0.5459514865143213
ACH-000638,-0.4307562344225587
ACH-000646,-0.6390694605875298
ACH-000647,-0.5418920479327703
ACH-000648,-0.5216274074478684
ACH-000649,-0.4233789123271015
ACH-000651,-0.6384956508506054
ACH-000652,-0.4749639831953898
ACH-000653,-0.44570362752905707
ACH-000657,-0.3513587469486803
ACH-000658,-0.42562497406044
ACH-000661,-0.6733057834231828
ACH-000662,-0.3236062120039713
ACH-000663,-0.5651163751897034
ACH-000665,-0.4878001162583526
ACH-000671,-0.538850186673291
ACH-000672,-0.4975833342590546
ACH-000673,-0.4341247005287793
ACH-000676,-0.6502308065858458
ACH-000677,-0.4274120252200887
ACH-000681,-0.5450819688140476
ACH-000683,-0.3634705015803705
ACH-000684,-0.3517274834730842
ACH-000688,-0.3600876104042824
ACH-000693,-0.3311663872510914
ACH-000694,-0.5364620782222793
ACH-000695,-0.21009636082180966
ACH-000696,-0.6960238603843589
ACH-000697,-0.3596558425454966
ACH-000699,-0.6285545833081876
ACH-000701,-0.2368563918349545
ACH-000706,-0.5383846226305673
ACH-000711,-0.4861565425722518
ACH-000713,-0.5130136671974208
ACH-000714,-0.6617347178443461
ACH-000718,-0.5571143529101978
ACH-000720,-0.5123501643737185
ACH-000721,-0.4061726063730168
ACH-000724,-0.4551085265142279
ACH-000725,-0.5109361715404539
ACH-000732,-0.5884899279915391
ACH-000734,-0.2302696182910933
ACH-000735,-0.4358582659299918
ACH-000736,-0.5061397410993175
ACH-000738,-0.5237783103381299
ACH-000746,-0.4565257519039685
ACH-000747,-0.5081390551552922
ACH-000748,-0.569424516561495
ACH-000753,-0.4055801359857473
ACH-000756,-0.4998781523079146
ACH-000757,-0.3829129048346711
ACH-000758,-0.6088609850272808
ACH-000760,-0.5473195774297266
ACH-000762,-0.6589401266368757
ACH-000763,-0.3704964737096405
ACH-000764,-0.2525653691617855
ACH-000765,-0.6388255913182241
ACH-000766,-0.4724820642738885
ACH-000767,-0.4512342503238824
ACH-000768,-0.6014568434022973
ACH-000769,-0.4462942246878491
ACH-000770,-0.6247610757310643
ACH-000771,-0.5902416926632132
ACH-000773,-0.36330734579056895
ACH-000776,-0.4234724575169171
ACH-000777,-0.5067062957934114
ACH-000778,-0.4888747870692921
ACH-000781,-0.4259230296574124
ACH-000782,-0.4849640678307835
ACH-000783,-0.3542330653807008
ACH-000784,-0.5008286676217275
ACH-000785,-0.4127516669383269
ACH-000787,-0.41125450143602266
ACH-000788,-0.6281432327054849
ACH-000791,-0.5639150725483488
ACH-000792,-0.555960180549655
ACH-000794,-0.4037270165703564
ACH-000796,-0.3174323673517684
ACH-000798,-0.9119160048269704
ACH-000799,-0.5891682198199614
ACH-000800,-0.4564486126816682
ACH-000802,-0.6119604361425245
ACH-000804,-0.4175457940589106
ACH-000805,-0.5977166580406359
ACH-000809,-0.4270345175373316
ACH-000810,-0.7873523357414046
ACH-000811,-0.4359650375041812
ACH-000817,-0.5428522299918858
ACH-000819,-0.6277374665105826
ACH-000820,-0.8841263558048519
ACH-000821,-0.5747587050311418
ACH-000822,-0.5544814994612962
ACH-000823,-0.4787871515188014
ACH-000824,-0.367057609987012
ACH-000827,-0.6235424113482722
ACH-000829,-0.5542846751175974
ACH-000831,-0.7035358302085067
ACH-000832,-0.4950885093013506
ACH-000833,-0.5055148708001683
ACH-000834,-0.5078831105406421
ACH-000835,-0.576698772056716
ACH-000836,-0.4185557963262381
ACH-000837,-0.7031711344136711
ACH-000838,-0.5101120558955065
ACH-000839,-0.7403969502515729
ACH-000840,-0.4775714084598754
ACH-000841,-0.547244037807043
ACH-000843,-0.5159094053676032
ACH-000846,-0.6162971739698255
ACH-000847,-0.4016513077944452
ACH-000848,-0.5663039215636929
ACH-000849,-0.3630962328294048
ACH-000851,-0.4574034470285713
ACH-000855,-0.8493794576267717
ACH-000856,-0.5704158152106732
ACH-000858,-0.4874541627922523
ACH-000859,-0.7022124604431897
ACH-000861,-0.3689301294348857
ACH-000862,-0.671362778231249
ACH-000865,-0.3903875290840067
ACH-000866,-0.4633293448241835
ACH-000867,-0.2887390215121022
ACH-000869,-0.4683324849161967
ACH-000872,-0.4078406202018888
ACH-000873,-0.5557282601793816
ACH-000876,-0.6623470815034291
ACH-000878,-0.25842088672665803
ACH-000880,-0.4817501933003525
ACH-000881,-0.6323344154497149
ACH-000882,-0.5097734047745404
ACH-000884,-0.7276633729687344
ACH-000885,-0.6318555063237988
ACH-000887,-0.4676997552091182
ACH-000889,-0.34539636861636713
ACH-000896,-0.5014991563759291
ACH-000898,-0.440386466111131
ACH-000900,-0.5632831690747021
ACH-000901,-0.393335740418814
ACH-000905,-0.351405721986187
ACH-000906,-0.5180139888039937
ACH-000907,-0.7053034375925544
ACH-000910,-0.39825202263128257
ACH-000911,-0.43743039229615777
ACH-000912,-0.4937775112529339
ACH-000913,-0.4637419489562461
ACH-000915,-0.3574562065160033
ACH-000916,-0.6738880136412961
ACH-000917,-0.8843530856688442
ACH-000920,-0.6378566154133903
ACH-000921,-0.6190156094905911
ACH-000924,-0.5145497973979046
ACH-000926,-0.42612885388800026
ACH-000928,-0.5306685215011003
ACH-000929,-0.3150627561611067
ACH-000932,-0.4750527024008303
ACH-000935,-0.759778599857571
ACH-000936,-0.5841652724145683
ACH-000937,-0.30941364264501336
ACH-000938,-0.4955553376618939
ACH-000939,-0.5394117055312674
ACH-000941,-0.4829375334049341
ACH-000943,-0.4574916676987568
ACH-000946,-0.5538419015622694
ACH-000947,-0.3744944254840236
ACH-000948,-0.3551653183745117
ACH-000950,-0.7996692651328332
ACH-000953,-0.3232933040887961
ACH-000954,-0.6492334393706866
ACH-000957,-0.6129279499302246
ACH-000958,-0.7238841329426106
ACH-000960,-0.4780305188919986
ACH-000963,-0.3798065084245773
ACH-000968,-0.6131790226326147
ACH-000969,-0.6450217126158256
ACH-000972,-0.7825603151625826
ACH-000973,-0.7181880788089129
ACH-000974,-0.5711287452279421
ACH-000978,-0.4840500564790883
ACH-000984,-0.6605214008950457
ACH-000986,-0.6208943515042675
ACH-000988,-0.5236499227059208
ACH-000993,-0.5815829630255477
ACH-000994,-0.5684543793911432
ACH-000996,-0.6350005727577893
ACH-001001,-0.4597462547243303
ACH-001020,-0.20975829074581345
ACH-001028,-0.42181713645131735
ACH-001031,-0.4850808963599811
ACH-001038,-0.4377495527690371
ACH-001048,-0.555547441082365
ACH-001050,-0.5578381998745946
ACH-001053,-0.2936365043294304
ACH-001054,-0.5264408869444295
ACH-001061,-0.6445660687964234
ACH-001067,-0.5060558022227187
ACH-001075,-0.3608157215283325
ACH-001096,-0.4520492169391567
ACH-001111,-0.4420557572771234
ACH-001119,-0.5681021968442559
ACH-001128,-0.4611530869218474
ACH-001134,-0.6023418234426182
ACH-001151,-0.4800273078474835
ACH-001163,-0.4609300774079643
ACH-001164,-0.6954102993750796
ACH-001183,-0.4248331965572018
ACH-001192,-0.4842996339247727
ACH-001193,-0.4763379254259884
ACH-001196,-0.5414180757395126
ACH-001197,-0.29764376874907256
ACH-001205,-0.4777206969745575
ACH-001211,-0.4733369603570324
ACH-001212,-0.5988470114522032
ACH-001228,-0.3425729581686123
ACH-001232,-0.7367170216791745
ACH-001239,-0.5035354477883214
ACH-001270,-0.6554304150432421
ACH-001274,-0.5082186525013551
ACH-001275,-0.6393081324013783
ACH-001277,-0.4137050659208425
ACH-001278,-0.6942956867682055
ACH-001280,-0.4128418296150931
ACH-001283,-0.3193103522608761
ACH-001289,-0.8309691039789359
ACH-001300,-0.5218539761165603
ACH-001301,-0.6023846172323148
ACH-001302,-0.5392161632204167
ACH-001306,-0.6107373847732388
ACH-001318,-0.590979980507293
