,DHRS1 (115817)
ACH-000004,-0.15563081354942462
ACH-000005,0.12654034991343968
ACH-000007,-0.04306147082315247
ACH-000009,-0.07063327892944365
ACH-000011,-0.09754358246045088
ACH-000012,-0.14167781078005168
ACH-000013,-0.09558860733347327
ACH-000014,-0.15573497957935098
ACH-000015,-0.05684675159176901
ACH-000017,-0.18948961876122825
ACH-000018,-0.2929369975940311
ACH-000019,-0.04767714293323585
ACH-000021,-0.17312574426232893
ACH-000022,-0.16426345362679398
ACH-000025,-0.06557379027457824
ACH-000028,-0.26654791875936545
ACH-000030,-0.1654543562370675
ACH-000035,-0.09493278646510264
ACH-000036,-0.15565823982135388
ACH-000037,-0.1610498355259004
ACH-000039,-0.2335811565086948
ACH-000040,-0.04893221095104912
ACH-000041,-0.060471546174684025
ACH-000042,-0.144441635716356
ACH-000045,-0.0193433162394749
ACH-000047,-0.1697119945706109
ACH-000052,-0.34238582201495843
ACH-000053,-0.2009666227611536
ACH-000054,-0.3342387575265341
ACH-000055,-0.08890942417397495
ACH-000060,-0.06135414443502968
ACH-000067,-0.10294803944958733
ACH-000070,0.094720198705081
ACH-000075,0.0014989684985657011
ACH-000078,-0.07346626437209483
ACH-000082,-0.1930493721094349
ACH-000085,-0.004267488271024972
ACH-000086,-0.0148495305672726
ACH-000087,-0.19421369020878185
ACH-000092,-0.13892271058910893
ACH-000095,-0.22654785022225504
ACH-000097,-0.2486756809195721
ACH-000098,-0.18614988558380915
ACH-000099,-0.08466626247708726
ACH-000108,-0.038145435323638816
ACH-000113,-0.0793415336621353
ACH-000116,-0.11685401939868033
ACH-000118,-0.3941784249637096
ACH-000120,-0.015370224769855344
ACH-000123,-0.07527460821310633
ACH-000127,-0.1767111504763571
ACH-000128,-0.03113466304104328
ACH-000132,0.009838629736689685
ACH-000133,-0.1795524228301839
ACH-000137,-0.2587641847027751
ACH-000138,-0.1064558701713872
ACH-000142,-0.045680083550303965
ACH-000143,-0.15606901241890522
ACH-000146,-0.08908212605575637
ACH-000148,-0.18343365333071426
ACH-000150,0.0610569632973957
ACH-000152,-0.19135153273854852
ACH-000153,-0.19708337276092694
ACH-000159,-0.2922063596245993
ACH-000160,-0.18878952233092045
ACH-000163,-0.09765937783458607
ACH-000167,-0.40073980767129896
ACH-000168,-0.130435208204025
ACH-000169,-0.027017725306810656
ACH-000178,-0.16073268596300672
ACH-000183,-0.1598372872507786
ACH-000188,-0.04023343437365007
ACH-000189,-0.12777377661790368
ACH-000190,-0.1199158275022702
ACH-000198,-0.06828361248251573
ACH-000203,-0.18062404536680854
ACH-000204,-0.08901956140423192
ACH-000206,-0.3840249817775172
ACH-000207,-0.17917104221341998
ACH-000208,-0.10746814538727444
ACH-000210,-0.00767549054488452
ACH-000211,-0.1702271122898888
ACH-000215,-0.08826065515040864
ACH-000221,-0.06299460011883308
ACH-000222,-0.0082491410740009
ACH-000223,0.014491360406636391
ACH-000226,-0.29196179323699634
ACH-000227,-0.12726234513218454
ACH-000228,0.004059856564520121
ACH-000231,-0.2649197100137758
ACH-000232,-0.08308284825612043
ACH-000233,-0.027184956194757737
ACH-000234,-0.0640716356247235
ACH-000235,-0.06917814596341126
ACH-000237,-0.028654988602005545
ACH-000238,0.051734351783461696
ACH-000242,-0.2891546411843759
ACH-000243,-0.2611741546339947
ACH-000244,-0.1778828644363384
ACH-000246,-0.2185332121949164
ACH-000248,-0.06756345305272607
ACH-000250,-0.17437988217687406
ACH-000251,0.14747663160401026
ACH-000252,-0.13854157994669955
ACH-000253,-0.07942873380394253
ACH-000255,-0.15325098622331196
ACH-000256,-0.024203422196103948
ACH-000257,-0.21635023246480195
