,LPAR2 (9170)
ACH-000004,-0.2582071413491633
ACH-000005,-0.584365107115181
ACH-000007,-0.16000133300692748
ACH-000009,-0.08971887784878753
ACH-000011,-0.08211048410548191
ACH-000012,0.023063721387565368
ACH-000013,-0.3796664255789122
ACH-000014,-0.3508615856677308
ACH-000015,-0.4447178591825209
ACH-000017,-0.5095872359307453
ACH-000018,-0.3646575440538425
ACH-000019,-0.2541418984516904
ACH-000021,-0.3178610717434201
ACH-000022,-0.018688902369739104
ACH-000025,-0.2406130815380522
ACH-000028,-0.16310617885351106
ACH-000030,-0.4615635880113971
ACH-000035,-0.4754270234671238
ACH-000036,-0.28917744112722754
ACH-000037,-0.2386030624460597
ACH-000039,-0.10603432695144886
ACH-000040,-0.3559704177454104
ACH-000041,-0.3350278783874727
ACH-000042,-0.3453929863995361
ACH-000045,-0.3974796774028929
ACH-000047,-0.10082719483798863
ACH-000052,-0.6410739194431198
ACH-000053,-0.19590900375478454
ACH-000054,-0.1862918599738815
ACH-000055,-0.1298774573208126
ACH-000060,-0.5645805486631443
ACH-000067,-0.2472827894984808
ACH-000070,-0.3026455092824111
ACH-000075,-0.24643777768538316
ACH-000078,-0.09294973403868803
ACH-000082,-0.3865139529009144
ACH-000085,-0.2754639875258305
ACH-000086,-0.4414133426400332
ACH-000087,-0.2524329957920065
ACH-000092,-0.2696085356474719
ACH-000095,-0.2488695403151929
ACH-000097,-0.2291689426195434
ACH-000098,-0.3263979368059629
ACH-000099,-0.24834268950811966
ACH-000108,-0.33345111648337994
ACH-000113,-0.3871865370360105
ACH-000116,-0.3631430612052176
ACH-000118,-0.235759835129698
ACH-000120,-0.2454053483175375
ACH-000123,-0.2832981881582672
ACH-000127,-0.18038414713968207
ACH-000128,-0.3205760043548432
ACH-000132,-0.1802229901687128
ACH-000133,-0.11832131008781972
ACH-000137,-0.17580020036175195
ACH-000138,-0.2814681824093028
ACH-000142,-0.4159509774037025
ACH-000143,-0.14608043210681618
ACH-000146,-0.297305164362036
ACH-000148,-0.2876297886059633
ACH-000150,-0.4200926332207416
ACH-000152,-0.2958589269678687
ACH-000153,-0.08210342418557805
ACH-000159,-0.1986003433215494
ACH-000160,-0.19057300116218315
ACH-000163,-0.19399664269327907
ACH-000167,0.09187303711989972
ACH-000168,-0.3407233115614939
ACH-000169,-0.3444763058120361
ACH-000178,-0.4498031097903553
ACH-000183,-0.3445089513001992
ACH-000188,-0.3009637797430592
ACH-000189,-0.6189313536080161
ACH-000190,-0.2047482825139056
ACH-000198,-0.281408178641976
ACH-000203,-0.06717550187080812
ACH-000204,-0.5317997474747085
ACH-000206,-0.05231253647778398
ACH-000207,-0.4798276309326791
ACH-000208,-0.5931659692864921
ACH-000210,-0.1992547925913036
ACH-000211,-0.2998602209356849
ACH-000215,-0.2705547799936026
ACH-000221,-0.36295957140351937
ACH-000222,-0.2377272373912444
ACH-000223,-0.3418447178313374
ACH-000226,-0.2903036948556283
ACH-000227,-0.35377054635376803
ACH-000228,-0.4510957792079574
ACH-000231,-0.1475382553416559
ACH-000232,-0.3628151612117664
ACH-000233,-0.4008700919742856
ACH-000234,-0.4029711184840796
ACH-000235,-0.5428991042076344
ACH-000237,-0.22960955053299384
ACH-000238,-0.13719962708276656
ACH-000242,-0.3597181036303263
ACH-000243,0.04767329440844113
ACH-000244,-0.2756792667736492
ACH-000246,-0.3177434851906391
ACH-000248,-0.6687082434306615
ACH-000250,-0.10054782474328064
