,ERAL1 (26284)
ACH-000004,-0.4295460314985799
ACH-000005,-0.4340756565264627
ACH-000007,-0.3996916509121112
ACH-000009,-0.3958486441618798
ACH-000011,-0.27594839377505986
ACH-000012,-0.436615035960822
ACH-000013,-0.5797111934620497
ACH-000014,-0.5909656114713627
ACH-000015,-0.4695631796217053
ACH-000017,-0.31203644035781525
ACH-000018,-0.2706700293528902
ACH-000019,-0.5610182963165626
ACH-000021,-0.45319399218487205
ACH-000022,-0.606539064412658
ACH-000025,-0.4119218436542949
ACH-000028,-0.5508466558980967
ACH-000030,-0.33856766718211434
ACH-000035,-0.7809278004550648
ACH-000036,-0.2056640437262306
ACH-000037,-0.3513528583248631
ACH-000039,-0.2683707775287111
ACH-000040,-0.4846306815522455
ACH-000041,-0.41760954182129695
ACH-000042,-0.3869433673811225
ACH-000045,-0.4440828951257454
ACH-000047,-0.6284275417910528
ACH-000052,-0.2528558372295658
ACH-000053,-0.32804343773026645
ACH-000054,-0.3781670330720405
ACH-000055,-0.4513743214575962
ACH-000060,-0.3240007744696919
ACH-000067,-0.3237665321963443
ACH-000070,-0.6960922609501933
ACH-000075,-0.30994502881483005
ACH-000078,-0.38995124674881454
ACH-000082,-0.33422991168650323
ACH-000085,-0.4315245559369949
ACH-000086,-0.615399873180259
ACH-000087,-0.4527249358561386
ACH-000092,-0.2120357111210268
ACH-000095,-0.28288455156966713
ACH-000097,-0.4560657737792286
ACH-000098,-0.453388238980721
ACH-000099,-0.3668736287667137
ACH-000108,-0.3637598469178678
ACH-000113,-0.4896137944463531
ACH-000116,-0.4729616453636218
ACH-000118,-0.7687243187743215
ACH-000120,-0.32074526007392057
ACH-000123,-0.5212711663111793
ACH-000127,-0.4634277813059528
ACH-000128,-0.3781761590830337
ACH-000132,-0.38256851948372106
ACH-000133,-0.3210509366966989
ACH-000137,-0.4338514387504012
ACH-000138,-0.34838679181907506
ACH-000142,-0.18078399135504744
ACH-000143,-0.4812390480161064
ACH-000146,-0.35976258108197123
