,KLHDC8B (200942)
ACH-000004,-0.24686939159556215
ACH-000005,-0.0029267912892149387
ACH-000007,-0.0043281264964818034
ACH-000009,0.08099700627907737
ACH-000011,0.000688546826462511
ACH-000012,-0.2458203158608221
ACH-000013,-0.04034406165666243
ACH-000014,-0.05082487842170697
ACH-000015,-0.15532180728619355
ACH-000017,-0.0909850581641172
ACH-000018,-0.15232937956779422
ACH-000019,0.06435984074740915
ACH-000021,-0.08890764443649075
ACH-000022,-0.05396664715850765
ACH-000025,-0.14997503021910527
ACH-000028,-0.0159163548185749
ACH-000030,-0.04794348069127098
ACH-000035,-0.037214777381526634
ACH-000036,-0.10957724323555856
ACH-000037,-0.20396585386533356
ACH-000039,0.06763795238994265
ACH-000040,-0.1293606166594556
ACH-000041,-0.033701941543757045
ACH-000042,-0.10898710027355628
ACH-000045,0.004802676436065096
ACH-000047,-0.06668708528151675
ACH-000052,0.030613413420255264
ACH-000053,-0.10667165986798964
ACH-000054,-0.1546686784609554
ACH-000055,-0.01867994850536821
ACH-000060,-0.16532596819740608
ACH-000067,-0.061873571296162375
ACH-000070,-0.049247607628170986
ACH-000075,-0.00457652420034558
ACH-000078,-0.05577676463176121
ACH-000082,0.0198677360856926
ACH-000085,-0.15583233352989725
ACH-000086,-0.0059390274550415395
ACH-000087,-0.02072559692184299
ACH-000092,-0.08440670842931365
ACH-000095,-0.03633727435145387
ACH-000097,0.01714151363422231
ACH-000098,-0.07191345313808296
ACH-000099,-0.0496884144039424
ACH-000108,-0.1290954823656689
ACH-000113,-0.13177737688431052
ACH-000116,-0.20107010097341504
ACH-000118,-0.20159932693629135
ACH-000120,0.039134415502640005
ACH-000123,-0.08242559345617291
ACH-000127,-0.11590033894837727
ACH-000128,-0.12005808238361232
ACH-000132,0.07319890132174893
ACH-000133,-0.18230716062902208
ACH-000137,0.02013889161091364
ACH-000138,0.025545836002953317
ACH-000142,-0.004114816326050663
ACH-000143,0.008261854626729322
ACH-000146,0.061508802383395
ACH-000148,-0.09299571031240488
ACH-000150,-0.2947636389381982
ACH-000152,-0.15685818207715327
ACH-000153,-0.010702604340985664
ACH-000159,-0.08195170360714497
ACH-000160,-0.10560483144387467
ACH-000163,-0.04417967673250326
ACH-000167,-0.060436565959192626
ACH-000168,-0.0879284301625895
ACH-000169,-0.06017254452310999
ACH-000178,-0.008565316131932794
ACH-000183,-0.015780604243161443
ACH-000188,-0.1199954457160914
ACH-000189,-0.047011924570295606
ACH-000190,-0.015315584891179996
ACH-000198,-0.09644294916750387
ACH-000203,-0.24955310471945966
ACH-000204,0.013543928592009077
ACH-000206,-0.03914391398208193
ACH-000207,-0.2450782981989417
ACH-000208,-0.07242942641592888
ACH-000210,0.1905947066948392
ACH-000211,-0.17209796527674315
ACH-000215,-0.026087661335646304
ACH-000221,-0.282662430535139
ACH-000222,-0.12476043811385665
ACH-000223,-0.05745590453359715
ACH-000226,-0.06979332714720894
ACH-000227,-0.10998308298557152
ACH-000228,0.03603131965858925
ACH-000231,-0.04201289616566985
ACH-000232,-0.03021276005524409
ACH-000233,-0.051707621853597084
ACH-000234,-0.09698070877590173
ACH-000235,-0.048333676350371176
ACH-000237,-0.0634653390547419
ACH-000238,-0.0659702098880611
ACH-000242,-0.038137638488910636
ACH-000243,-0.09779021387650702
ACH-000244,-0.038773932536590616
ACH-000246,-0.11382931221617505
ACH-000248,-0.06459582311998763
ACH-000250,-0.07489363760849753
ACH-000251,-0.16250227428569644
ACH-000252,-0.034875168393414216
ACH-000253,-0.07708897247692445
ACH-000255,-0.08831532708609298
ACH-000256,-0.07562354912385212
ACH-000257,-0.029411670613577582
ACH-000258,-0.08326811529183435
ACH-000259,-0.09132908719840613
ACH-000260,-0.0285975003996369
ACH-000261,-0.013796657217086748
ACH-000262,-0.12208881374844065
ACH-000263,0.10282421507228233
ACH-000264,-0.10167890404772464
ACH-000265,-0.13492049775652068
ACH-000266,-0.04640194888197818
