,NR2E1 (7101)
ACH-000004,-0.11040443287754498
ACH-000005,0.2333113005608777
ACH-000007,0.07637186625338845
ACH-000009,-0.04346641326286426
ACH-000011,-0.16816421078931498
ACH-000012,-0.09338857189038728
ACH-000013,-0.16389362588669554
ACH-000014,-0.12752858683317722
ACH-000015,-0.07232032038845886
ACH-000017,-0.07019178550405784
ACH-000018,-0.2677056740308233
ACH-000019,-0.034396537119004214
ACH-000021,-0.16165583085851132
ACH-000022,0.01351974725802593
ACH-000025,-0.040577259787735936
ACH-000028,0.013286296438793208
ACH-000030,-0.02539651175822056
ACH-000035,-0.1112971443108557
ACH-000036,-0.06412485955575008
ACH-000037,0.10498529034099033
ACH-000039,-0.12658045399053686
ACH-000040,-0.0663360591799412
ACH-000041,-0.03981813193076805
ACH-000042,-0.12442744549200625
ACH-000045,-0.1254683324172803
ACH-000047,-0.062184965502893035
ACH-000052,0.059632339102024715
ACH-000053,-0.11503936258836665
ACH-000054,-0.1474048242325019
ACH-000055,-0.00029674213771514946
ACH-000060,-0.10903166888606376
ACH-000067,-0.06001637465121922
ACH-000070,-0.05118448640138535
ACH-000075,-0.01656999211056441
ACH-000078,0.0006652768781390307
ACH-000082,-0.08506219566721153
ACH-000085,-0.009901491920264613
ACH-000086,-0.12790281700829825
ACH-000087,-0.18298215600355236
ACH-000092,-0.010140659861886982
ACH-000095,-0.014972275245905381
ACH-000097,-0.060257913733462974
ACH-000098,-0.08014677988524498
ACH-000099,0.02728707686172106
ACH-000108,-0.17236541966633515
ACH-000113,-0.08086546178073327
ACH-000116,-0.06217536647180533
ACH-000118,-0.029539747925680187
ACH-000120,0.13956428521994568
ACH-000123,0.09170224697321824
ACH-000127,-0.13153722011692506
ACH-000128,-0.4334458054708167
ACH-000132,-0.1834427078467329
ACH-000133,0.018805011460862768
ACH-000137,-0.07660584539531738
ACH-000138,-0.17514748356459545
ACH-000142,-0.09182383101426037
ACH-000143,0.2025843990993012
ACH-000146,0.015898920166172892
ACH-000148,-0.0664939611927484
ACH-000150,-0.14871098779394806
ACH-000152,0.06481615424553405
ACH-000153,0.02006043798301984
ACH-000159,-0.14050741796763813
ACH-000160,0.035943679187364866
ACH-000163,0.005093613464118865
ACH-000167,0.01433392123756006
ACH-000168,-0.13686018656899046
ACH-000169,-0.047024228477210266
ACH-000178,0.00821235560566747
ACH-000183,-0.10170714822091748
ACH-000188,-0.10646347957052772
ACH-000189,-0.05227566074032609
ACH-000190,0.012333760725404215
ACH-000198,-0.0368323309822484
ACH-000203,-0.5295548202878073
ACH-000204,0.1004813514548168
ACH-000206,0.12177301553279404
ACH-000207,-0.09664299911734762
ACH-000208,0.13577443073647416
ACH-000210,-0.33366108202747075
ACH-000211,0.036619953627910234
ACH-000215,-0.04971202349290466
ACH-000221,-0.1320099588161004
ACH-000222,-0.2640298472665863
ACH-000223,-0.07628418263410308
ACH-000226,-0.10709959619939444
ACH-000227,-0.19213232664372126
ACH-000228,-0.02495804368021393
ACH-000231,-0.1843489094703752
ACH-000232,-0.15734828840139814
ACH-000233,-0.06642403736332192
ACH-000234,-0.033040324295949434
ACH-000235,-0.09088366656280077
ACH-000237,-0.04063712799335431
ACH-000238,-0.12857900092203342
ACH-000242,0.13290131950504466
ACH-000243,-0.0961551703421296
ACH-000244,0.08641641214182719
ACH-000246,-0.06249997890406848
ACH-000248,-0.07603895443112416
ACH-000250,-0.031768116172950916
ACH-000251,-0.03623142870776766
ACH-000252,-0.1190677333688882
ACH-000253,-0.01482253582719305
ACH-000255,-0.020226808124001856
ACH-000256,0.010834737764296509
ACH-000257,-0.12393486284531025
ACH-000258,-0.04099005521349431
ACH-000259,-0.16067268047761166
ACH-000260,0.05187397188726794
ACH-000261,-0.07339331803633163
ACH-000262,-0.24638018140899245
ACH-000263,-0.12815772537585546
ACH-000264,-0.02950309145526878
ACH-000265,-0.06530145206583228
ACH-000266,-0.12855971110341052
ACH-000272,-0.09344160431929167
ACH-000274,-0.10875655626585287
ACH-000277,0.05792538131086944
ACH-000278,0.04981038010003246
ACH-000279,-0.09285303749915558
ACH-000280,-0.08651083126630264
ACH-000281,-0.17452947980621292
ACH-000288,0.0017169030296728515
ACH-000291,-0.08999455110166954
ACH-000293,0.026296113681357116
ACH-000294,-0.032494281034782094
ACH-000295,-0.18850963000349846
ACH-000296,-0.24588472287122426
ACH-000302,0.0008629994618098134
ACH-000304,0.02741849220773441
ACH-000307,-0.07547537531466718
ACH-000308,0.005321588353872417
ACH-000310,0.014395133504586313
ACH-000311,-0.2460704467647805
ACH-000312,-0.10814490628747007
ACH-000315,-0.05739342792136279
ACH-000316,-0.07884720732482155
ACH-000317,-0.11769010548105314
ACH-000318,-0.03173755139510336
ACH-000319,-0.04854036145868775
ACH-000320,-0.3076594667787664
ACH-000322,-0.2568864116841257
ACH-000323,-0.008815634803247869
ACH-000324,0.0004942576803591913
ACH-000329,-0.08102636842746902
ACH-000330,-0.08359938182981849
ACH-000331,-0.037953831182775635
ACH-000332,-0.054557730277914905
ACH-000334,0.03827039354325182
ACH-000335,-0.15381455514487224
ACH-000336,-0.00236301225493141
ACH-000337,0.08489168433300981
ACH-000338,-0.4921444708718983
ACH-000339,-0.05798266728169365
ACH-000341,-0.173945475110628
