,MBD4 (8930)
ACH-000004,-0.14719968634326774
ACH-000005,-0.29284425567206784
ACH-000007,-0.2119775654572917
ACH-000009,-0.20554295893126628
ACH-000011,-0.07258945921561552
ACH-000012,-0.12353654931240945
ACH-000013,-0.18775472522123152
ACH-000014,-0.2525513909373501
ACH-000015,-0.1676105860157489
ACH-000017,-0.11048128028131643
ACH-000018,-0.24186903426501544
ACH-000019,-0.17251788558134967
ACH-000021,-0.17931898184317746
ACH-000022,-0.1901072901624188
ACH-000025,-0.08478174259061001
ACH-000028,-0.2964797162934689
ACH-000030,-0.16633861417868856
ACH-000035,-0.245404726998536
ACH-000036,-0.15791414195664352
ACH-000037,0.004742617850776039
ACH-000039,-0.1321706863190324
ACH-000040,-0.2571300050529169
ACH-000041,-0.2915765156697407
ACH-000042,-0.19022356009411232
ACH-000045,-0.4358787906389839
ACH-000047,-0.22247390708275835
ACH-000052,-0.0706526933096032
ACH-000053,-0.07215763894549149
ACH-000054,-0.15659603287408155
ACH-000055,-0.06773659907336911
ACH-000060,-0.3125939447632332
ACH-000067,-0.1603359195964273
ACH-000070,0.013075745579625646
ACH-000075,-0.2213082029382839
ACH-000078,-0.1132117693872182
ACH-000082,-0.16057162909030925
ACH-000085,-0.19908131417657335
ACH-000086,-0.17797023427721506
ACH-000087,-0.11034713113862067
ACH-000092,-0.2929742977461178
ACH-000095,-0.1925707659190041
ACH-000097,-0.2459013781702435
ACH-000098,-0.14675616295664942
ACH-000099,-0.14019300543570395
ACH-000108,-0.277258352781807
ACH-000113,-0.1926594640200599
ACH-000116,-0.09489528556646028
ACH-000118,-0.1803944697431942
ACH-000120,-0.07346607548027327
ACH-000123,-0.12793501387271985
ACH-000127,-0.1290309623433619
ACH-000128,-0.2068164859380055
ACH-000132,-0.16582543330907654
ACH-000133,-0.2561304582492788
ACH-000137,-0.3982128567899623
ACH-000138,-0.2806648568153449
ACH-000142,-0.2277159785399517
ACH-000143,-0.2381684391852269
ACH-000146,-0.06734401764501599
ACH-000148,-0.20145038366725196
ACH-000150,-0.2127596667372625
ACH-000152,-0.2497242576811944
ACH-000153,-0.15296373299522145
ACH-000159,-0.2519532498762921
ACH-000160,-0.07930769462942135
ACH-000163,-0.14000570686969072
