,HSPA5 (3309)
ACH-000004,-1.0568515552923412
ACH-000005,-1.5387635969596165
ACH-000007,-0.940016150643094
ACH-000009,-0.9727114082342858
ACH-000011,-0.9446469798125832
ACH-000012,-0.9624719634469197
ACH-000013,-1.0132747640315591
ACH-000014,-0.9713752609745274
ACH-000015,-0.9581222432992332
ACH-000017,-0.9839027164363672
ACH-000018,-0.8288059969867271
ACH-000019,-1.2834671111179243
ACH-000021,-1.022131471399287
ACH-000022,-1.0133308977935078
ACH-000025,-0.9558547780138504
ACH-000028,-0.965360318739104
ACH-000030,-1.006611788171105
ACH-000035,-0.9785894151078848
ACH-000036,-1.0545495963411968
ACH-000037,-0.3380424564618239
ACH-000039,-0.8129569011941834
ACH-000040,-0.8754014940862463
ACH-000041,-0.8917212715932502
ACH-000042,-1.1531447476139096
ACH-000045,-1.0395292029554222
ACH-000047,-1.15790181095525
ACH-000052,-1.0006086141960049
ACH-000053,-1.146103087855083
ACH-000054,-0.9702158133470146
ACH-000055,-0.8395381080779899
ACH-000060,-1.0097503322856467
ACH-000067,-0.9923737952846986
ACH-000070,-1.0915284971796129
ACH-000075,-1.1184295796566863
ACH-000078,-0.9912777956067924
ACH-000082,-1.2376317744193237
ACH-000085,-0.9191267801404828
ACH-000086,-0.8182019932789386
ACH-000087,-0.6216709525525522
ACH-000092,-1.0873971850090445
ACH-000095,-1.1324957120790615
ACH-000097,-1.021895766030024
ACH-000098,-1.0202613394221485
ACH-000099,-0.8082021784471429
ACH-000108,-1.0647418881841808
ACH-000113,-1.0797295004647858
ACH-000116,-0.8658122091800522
ACH-000118,-1.164704525445458
ACH-000120,-0.8080867304272559
ACH-000123,-0.9059356545070264
ACH-000127,-1.0265366734857884
ACH-000128,-0.9824321847343788
ACH-000132,-0.8117630315916575
ACH-000133,-1.068439399021845
ACH-000137,-1.0596887971491462
ACH-000138,-1.1148861028857862
ACH-000142,-0.5798377563710183
ACH-000143,-1.2173666788892004
ACH-000146,-1.303389984566468
ACH-000148,-1.0548820959769545
ACH-000150,-0.6706751660922691
ACH-000152,-0.9431363339590848
ACH-000153,-1.0563006462015394
ACH-000159,-1.1011423006910486
ACH-000160,-1.1451095624638603
ACH-000163,-1.0696158736649817
ACH-000167,-1.6496070518185777
ACH-000168,-1.0362801660346936
ACH-000169,-1.0520397626980802
ACH-000178,-0.8682923802318161
ACH-000183,-1.136474731518334
ACH-000188,-0.8968118840312138
ACH-000189,-0.9676015902848628
ACH-000190,-1.3516742247190454
ACH-000198,-1.100721968057219
ACH-000203,-0.7199862768122557
ACH-000204,-0.946426254934755
ACH-000206,-1.3658762285279276
ACH-000207,-1.5611467318057208
ACH-000208,-0.7970144587141714
ACH-000210,-0.7805182659392835
ACH-000211,-0.8971682618213717
ACH-000215,-1.039198472400124
ACH-000221,-1.2701988600250522
ACH-000222,-1.0271370317267683
ACH-000223,-0.9707929022060164
ACH-000226,-0.8204855721089546
ACH-000227,-1.1580324209622652
ACH-000228,-1.0999363924989674
