,LMAN1 (3998)
ACH-000004,0.07717190082700959
ACH-000005,0.4826485633983166
ACH-000007,0.2488406883269123
ACH-000009,0.14490823666045408
ACH-000011,0.2635729931129705
ACH-000012,0.08287672414375978
ACH-000013,0.1650234864891936
ACH-000014,0.20582404773621826
ACH-000015,0.20703185782578967
ACH-000017,0.17115529388708525
ACH-000018,0.1002017483635964
ACH-000019,0.08870479635562946
ACH-000021,0.1958176336101512
ACH-000022,0.1935421439359244
ACH-000025,0.2666709672996693
ACH-000028,0.1854861275778001
ACH-000030,0.13478464249308247
ACH-000035,0.19449688055739345
ACH-000036,0.06945802799684303
ACH-000037,0.06195672259170632
ACH-000039,-0.019783598707178062
ACH-000040,0.19180287095108606
ACH-000041,0.12212008996786253
ACH-000042,0.21921813465154008
ACH-000045,0.28163530677087995
ACH-000047,0.09313136268929724
ACH-000052,0.005323730716864415
ACH-000053,0.21193394908084467
ACH-000054,0.1782705744701551
ACH-000055,0.1827430998006348
ACH-000060,0.10194129306938088
ACH-000067,0.15565357553588618
ACH-000070,0.24460291127923045
ACH-000075,0.09244327452508316
ACH-000078,0.2625690488092842
ACH-000082,0.14558656809039525
ACH-000085,0.1831682639942348
ACH-000086,0.16509457152912824
ACH-000087,0.0485825924462718
ACH-000092,0.1679571603988328
ACH-000095,0.19557144899134205
ACH-000097,0.24248844416142806
ACH-000098,0.2051241340380061
ACH-000099,0.1992434177930701
ACH-000108,0.191366689600094
ACH-000113,0.15354922743440114
ACH-000116,0.15465126753440964
ACH-000118,0.2161713416844903
ACH-000120,0.4073591686062925
ACH-000123,0.28595751030779365
ACH-000127,0.1331028451949197
ACH-000128,0.09147443950460947
ACH-000132,0.1868073738839053
ACH-000133,0.2459214191623066
ACH-000137,0.16886613032073236
ACH-000138,0.09220309392868968
ACH-000142,0.10785968483708888
ACH-000143,0.111973105268484
ACH-000146,0.22112878107716608
ACH-000148,0.2820648352564101
ACH-000150,0.34092876807358863
ACH-000152,0.2002288939166873
ACH-000153,0.06617697313221674
ACH-000159,0.11397534316669546
ACH-000160,0.07507799257327245
ACH-000163,0.2833888546732923
ACH-000167,-0.047177940169934464
ACH-000168,0.0888553475133235
ACH-000169,0.17956469927138466
ACH-000178,0.11154346127547493
ACH-000183,0.2360505518241428
ACH-000188,0.1824994183184778
ACH-000189,0.10330441056894417
ACH-000190,0.062100141067486826
ACH-000198,0.1831961954885785
ACH-000203,0.17737281707959912
ACH-000204,0.4292094999958523
ACH-000206,0.2836549604460577
ACH-000207,0.11754313354220546
ACH-000208,-0.14083977508484502
ACH-000210,0.11092506778731512
ACH-000211,0.15425501514182194
ACH-000215,0.1893282160530552
ACH-000221,0.06981458258091912
ACH-000222,0.08353572645290183
ACH-000223,0.023284480061082264
ACH-000226,0.095479170575832
ACH-000227,0.08831833021906234
ACH-000228,-0.01794751503481647
ACH-000231,0.17267982679209146
ACH-000232,0.19319753894742345
ACH-000233,0.16466356737703672
ACH-000234,0.2133958334910632
ACH-000235,0.10714452913713753
ACH-000237,0.0939883382832157
ACH-000238,0.11413582125260745
ACH-000242,0.11148544256152633
ACH-000243,0.20668109057046813
ACH-000244,0.13217538380814295
ACH-000246,-0.007026228604625421
ACH-000248,0.12762222737686565
ACH-000250,0.16443373779246498
ACH-000251,0.00033191359001520984
ACH-000252,0.16486574266024984
ACH-000253,0.2236642016326672
ACH-000255,0.2876542339948579
ACH-000256,0.2396690278645016
ACH-000257,0.35255944503997305
ACH-000258,0.2045003629048195
