,BPTF (2186)
ACH-000004,-0.2373170538040869
ACH-000005,-0.2174868300549421
ACH-000007,-0.35589827375510913
ACH-000009,-0.4507160182118202
ACH-000011,-0.343394919558676
ACH-000012,-0.2575435590834336
ACH-000013,-0.1681765768520556
ACH-000014,-0.056112617709547515
ACH-000015,-0.3494079185737319
ACH-000017,-0.5388399343946937
ACH-000018,-0.3903654396082031
ACH-000019,-0.545869741644462
ACH-000021,-0.2905298751167853
ACH-000022,-0.07218278895988897
ACH-000025,-0.2452030060736761
ACH-000028,-0.3741484738533348
ACH-000030,-0.2594961166174306
ACH-000035,-0.581908466379196
ACH-000036,-0.3426682335175567
ACH-000037,-0.5316866600196196
ACH-000039,-0.3613871554006248
ACH-000040,-0.4128224381352423
ACH-000041,-0.2038855028488779
ACH-000042,-0.2329134414752889
ACH-000045,-0.5510376329711966
ACH-000047,-0.2935174567440277
ACH-000052,-0.2601715855232146
ACH-000053,-0.33851352417991565
ACH-000054,-0.3436470905551691
ACH-000055,-0.246058419704662
ACH-000060,-0.4672052696344232
ACH-000067,-0.5134967703466763
ACH-000070,-0.3171940797213497
ACH-000075,-0.4180259058237029
ACH-000078,-0.16929548123071045
ACH-000082,-0.4132904341398536
ACH-000085,-0.10806256311531157
ACH-000086,-0.5293220836126802
ACH-000087,-0.4747743356190312
ACH-000092,-0.178874968820531
ACH-000095,-0.2276111521666846
ACH-000097,-0.4952974981420292
ACH-000098,-0.5782417320179809
ACH-000099,-0.18971689759058988
ACH-000108,-0.3151393923599603
ACH-000113,-0.2779962424881787
ACH-000116,-0.38832613452529424
ACH-000118,-0.34473963533167584
ACH-000120,-0.35742689973822983
ACH-000123,-0.5669791632107728
ACH-000127,-0.11854203991104136
ACH-000128,-0.2875008170425889
ACH-000132,-0.4268441761725776
ACH-000133,0.07188868813471634
ACH-000137,-0.4111413245537805
ACH-000138,-0.2315592183778021
ACH-000142,-0.1612071046206507
ACH-000143,-0.4656405163783214
ACH-000146,-0.3417444808988974
ACH-000148,-0.550329809800059
ACH-000150,-0.8295735087183261
ACH-000152,-0.321984932271217
ACH-000153,0.028383765728623837
ACH-000159,-0.3031289192173423
ACH-000160,0.08667328309109985
ACH-000163,-0.6124427059461564
ACH-000167,0.30567121915696266
ACH-000168,-0.416448838248954
ACH-000169,-0.19293470007151614
ACH-000178,-0.3808454003818185
ACH-000183,-0.4325752266631738
ACH-000188,-0.4362553638335359
ACH-000189,-0.109210818546958
ACH-000190,-0.1086066221995944
ACH-000198,-0.25168104575919764
ACH-000203,-0.3537321313437037
ACH-000204,-0.3205945995336916
ACH-000206,-0.5306199941990305
ACH-000207,-0.5770757865423166
ACH-000208,-0.5935297818677412
ACH-000210,-0.2978873593424094
ACH-000211,-0.38427217288079146
ACH-000215,-0.2608960352056015
ACH-000221,-0.5097462176592727
ACH-000222,-0.26603353730555435
ACH-000223,-0.04214234121161698
ACH-000226,-0.1566795832683841
ACH-000227,-0.4482923090424205
ACH-000228,-0.342445422169014
ACH-000231,-0.19554876001747915
ACH-000232,-0.2270541880206369
ACH-000233,-0.18957680743420816
ACH-000234,-0.13342257767922175
ACH-000235,-0.2842948972564868
ACH-000237,-0.3819344761495277
ACH-000238,-0.3615576836371507
ACH-000242,-0.25339855701984365
ACH-000243,-0.27251376157576623
ACH-000244,0.1362651990881425
ACH-000246,0.024322621738928744
ACH-000248,-0.4951516477801747
ACH-000250,-0.14935676130071374
ACH-000251,-0.48357010706064596
ACH-000252,-0.5208778179650283
ACH-000253,-0.2433015541098062
ACH-000255,-0.6204544179505619
