,NOD1 (10392)
ACH-000004,-0.2223449103071812
ACH-000005,-0.04129582043205112
ACH-000007,-0.21458823244937386
ACH-000009,-0.013961674071103151
ACH-000011,0.09951259861973237
ACH-000012,-0.06685706434861634
ACH-000013,-0.03665869579199636
ACH-000014,-0.09527139070544413
ACH-000015,-0.07987607273710087
ACH-000017,0.05556287141188037
ACH-000018,-0.2453189730302592
ACH-000019,-0.2468222412332547
ACH-000021,-0.036661000795352006
ACH-000022,-0.1733660205441
ACH-000025,0.0023164631969374147
ACH-000028,0.0484443429672692
ACH-000030,0.017127794856857774
ACH-000035,-0.23555629252797686
ACH-000036,0.0018790088017544696
ACH-000037,-0.1435837644283138
ACH-000039,-0.18926541137705968
ACH-000040,0.012009385009180279
ACH-000041,-0.007230799325428593
ACH-000042,-0.1216319410226298
ACH-000045,-0.05237163443119724
ACH-000047,-0.2635916597588981
ACH-000052,0.001839891921204416
ACH-000053,-0.10728757491498843
ACH-000054,-0.13948390411275724
ACH-000055,-0.02839675121063706
ACH-000060,-0.04592625613626152
ACH-000067,-0.033252582336040705
ACH-000070,-0.10490899153733617
ACH-000075,-0.09254301760131746
ACH-000078,-0.10417175455730336
ACH-000082,-0.11037072129439032
ACH-000085,-0.28742886382147964
ACH-000086,0.0512824850761316
ACH-000087,0.09346687539741576
ACH-000092,-0.04237106275195197
ACH-000095,-0.12089425056370635
ACH-000097,0.06341317682497143
ACH-000098,-0.022140933148710996
ACH-000099,-0.13344675812074874
ACH-000108,-0.08353458189130722
ACH-000113,-0.008072896909301772
ACH-000116,-0.1989211456398665
ACH-000118,0.005876857349866646
ACH-000120,-0.16718567935076592
ACH-000123,0.002843336453160489
ACH-000127,-0.032624091629076535
ACH-000128,-0.2182892428336348
ACH-000132,0.10401729484898914
ACH-000133,-0.0238377016020578
ACH-000137,-0.07385564445256512
ACH-000138,0.022499957187988983
ACH-000142,0.004612665165544304
ACH-000143,0.002365110451821944
ACH-000146,-0.17800613232543125
ACH-000148,0.01881885428805127
ACH-000150,-0.17325981429420376
ACH-000152,-0.05327281128048088
ACH-000153,0.1624158107022805
ACH-000159,-0.13303209792637244
ACH-000160,-0.09292760947248396
ACH-000163,0.07207834108987339
