,HSP90AA1 (3320)
ACH-000004,-0.2070941970491889
ACH-000005,-0.3350323127457897
ACH-000007,-0.005516783173377723
ACH-000009,-0.08299652391410274
ACH-000011,-0.05610792526528297
ACH-000012,-0.2155407709464508
ACH-000013,-0.08671085185671275
ACH-000014,0.045631519103889885
ACH-000015,0.011895146405715058
ACH-000017,-0.23517990330497995
ACH-000018,-0.13127046982288607
ACH-000019,-0.2051368524956665
ACH-000021,-0.10270774990848316
ACH-000022,-0.18514406926243296
ACH-000025,-0.02985662770015615
ACH-000028,-0.2119871904527026
ACH-000030,0.04989119332717257
ACH-000035,-0.22531743383592695
ACH-000036,-0.1501031834141522
ACH-000037,0.10746286997898677
ACH-000039,-0.07224531703536195
ACH-000040,-0.16948027200113322
ACH-000041,0.006480349129336589
ACH-000042,-0.1773339696717089
ACH-000045,-0.05103977418373007
ACH-000047,-0.2088286068799964
ACH-000052,0.1790341281835733
ACH-000053,-0.06205026057179164
ACH-000054,-0.061698734235879786
ACH-000055,-0.18948506254951067
ACH-000060,-0.10249293149172332
ACH-000067,-0.06315118542083556
ACH-000070,-0.1290804002896399
ACH-000075,-0.07168004286366854
ACH-000078,-0.22400130453883185
ACH-000082,-0.10634622894391213
ACH-000085,-0.1151136692309822
ACH-000086,-0.038754733712782236
ACH-000087,-0.1282889036974637
ACH-000092,-0.09351109602137964
ACH-000095,-0.2057731248601624
ACH-000097,-0.13847233668353828
ACH-000098,-0.08954513053529428
ACH-000099,-0.11363514588836045
ACH-000108,-0.2025540369879988
ACH-000113,0.10707061690466768
ACH-000116,-0.17401245366944765
ACH-000118,-0.12179028462651145
ACH-000120,-0.07354950203963141
ACH-000123,-0.07564571497496733
ACH-000127,-0.1572732727835845
ACH-000128,-0.13796434822817433
ACH-000132,-0.08672905543637616
ACH-000133,-0.3492319233792784
ACH-000137,-0.10919334695910704
ACH-000138,-0.10599183293555717
ACH-000142,0.07766202177301358
ACH-000143,0.13569791558703267
ACH-000146,-0.10108607221814488
ACH-000148,-0.17473812546428058
ACH-000150,-0.022139580083282748
ACH-000152,-0.07463778746837166
ACH-000153,-0.07600390226396629
ACH-000159,0.012310504732689949
ACH-000160,-0.11904538001460338
ACH-000163,-0.24227779870865124
ACH-000167,-0.02263448746191206
ACH-000168,-0.17171993581650236
ACH-000169,-0.3129784372863411
ACH-000178,-0.2002674244127942
ACH-000183,-0.13408421098550471
ACH-000188,-0.10770815991939316
ACH-000189,-0.10354019019320557
ACH-000190,-0.3125209294112347
ACH-000198,-0.0234371493151505
ACH-000203,-0.6747658366944792
ACH-000204,-0.15764030849647045
ACH-000206,-0.13029816721969892
ACH-000207,-0.0970213946750591
ACH-000208,-0.11424810659063026
ACH-000210,-0.21985008772806436
ACH-000211,-0.1545486253602571
