,GRXCR2 (643226)
ACH-000004,0.04906381542676695
ACH-000005,-0.4906156224693082
ACH-000007,-0.040927295908896204
ACH-000009,-0.15660183028207278
ACH-000011,-0.1868087761005128
ACH-000012,-0.105764956626029
ACH-000013,-0.08631556218046013
ACH-000014,-0.012105745522348029
ACH-000015,-0.1576762269891983
ACH-000017,-0.06007672315377158
ACH-000018,-0.3044889088525557
ACH-000019,0.2559901817266727
ACH-000021,-0.1690308456974873
ACH-000022,-0.14262447293406078
ACH-000025,0.006661790282680021
ACH-000028,-0.1232690662747226
ACH-000030,-0.10698082677977136
ACH-000035,-0.07271936658940065
ACH-000036,-0.16152851295066747
ACH-000037,-0.16636792105606182
ACH-000039,-0.05344662541090906
ACH-000040,-0.13406283427166046
ACH-000041,-0.1996699844779303
ACH-000042,-0.15174537971317842
ACH-000045,-0.02538691447514473
ACH-000047,-0.1519249890045415
ACH-000052,-0.1931767223132736
ACH-000053,0.016792899983020068
ACH-000054,-0.09898224617049768
ACH-000055,0.06869964707946287
ACH-000060,-0.1023060319307538
ACH-000067,-0.07367251211551598
ACH-000070,-0.14000168082608144
ACH-000075,-0.20230774875610288
ACH-000078,0.08094279299106674
ACH-000082,-0.12262486170409828
ACH-000085,-0.2788108172331609
ACH-000086,-0.014537227207237291
ACH-000087,0.03360499533559882
ACH-000092,-0.08315412930806737
ACH-000095,-0.12075310077144225
ACH-000097,-0.0496449441833537
ACH-000098,-0.0968136696280852
ACH-000099,-0.016671164309115645
ACH-000108,-0.17124723317552762
ACH-000113,-0.10292244482251434
ACH-000116,-0.0011070766912623282
ACH-000118,-0.0629852869274689
ACH-000120,-0.01290534774470932
ACH-000123,-0.07058306060571508
ACH-000127,-0.08973855219505543
ACH-000128,-0.050569793343797
ACH-000132,0.028694979642782538
ACH-000133,-0.1391190172449049
ACH-000137,0.12668050537850545
ACH-000138,-0.19519720804737856
ACH-000142,-0.06635428883792553
ACH-000143,0.029424212157071188
ACH-000146,-0.199844097510518
ACH-000148,-0.04902334404238008
ACH-000150,-0.15011682892290282
ACH-000152,-0.15366248745275068
ACH-000153,-0.07721366511965326
ACH-000159,-0.06795707396059428
ACH-000160,-0.10798169829015236
ACH-000163,-0.23201539071245905
ACH-000167,-0.19712942295678412
ACH-000168,-0.17303136188969012
ACH-000169,-0.18348017971957173
ACH-000178,-0.10192520793502984
ACH-000183,-0.08667934216317613
ACH-000188,-0.0935533907353436
ACH-000189,-0.06204390848059571
ACH-000190,-0.015557254276963146
ACH-000198,-0.10286758140525762
ACH-000203,-0.23611130718909396
ACH-000204,-0.05417989961960982
ACH-000206,-0.08361644594475172
ACH-000207,-0.09325265844143728
ACH-000208,0.02642968853137819
ACH-000210,-0.20485029082815
ACH-000211,-0.14981623383705944
ACH-000215,-0.06829024350643305
ACH-000221,-0.06621875942535625
ACH-000222,-0.1586028897298173
ACH-000223,-0.108137856829004
ACH-000226,-0.06540690918398177
ACH-000227,-0.1377019312046857
ACH-000228,-0.061734927611618126
ACH-000231,-0.14539416199638727
ACH-000232,-0.1102039776819657
ACH-000233,-0.1329054431789669
ACH-000234,-0.09216730817515588
ACH-000235,-0.19078476451892712
ACH-000237,-0.0722175506313288
ACH-000238,-0.15962298083514273
ACH-000242,-0.08047654240428823
ACH-000243,-0.1270518157523836
ACH-000244,-0.25805764709518136
ACH-000246,0.05170512200061629
ACH-000248,-0.15745634997620664
ACH-000250,-0.012366656585700228
ACH-000251,-0.09566233853329482
ACH-000252,0.2460678708832258
ACH-000253,-0.13583085216663496
ACH-000255,-0.16679649473648894
ACH-000256,-0.08935979392763675
ACH-000257,-0.17679011049815768
ACH-000258,-0.32636261969666697
ACH-000259,-0.0703811560912236
ACH-000260,-0.1891590552317495
ACH-000261,-0.15495547896385434
ACH-000262,-0.18702430014911675
ACH-000263,0.24092499295301115
ACH-000264,-0.07677172561995459
ACH-000265,-0.12517923117637209
ACH-000266,-0.053433893358820435
ACH-000272,-0.13849473982787833
ACH-000274,-0.032846239858627
ACH-000277,-0.09117547680308108
ACH-000278,-0.09271673119414672
ACH-000279,-0.13614608906978168
ACH-000280,-0.0710944647782041
ACH-000281,-0.10676659370001436
ACH-000288,-0.05119170601326254
ACH-000291,-0.21299236486242246
ACH-000293,-0.10572779303577716
ACH-000294,-0.02717426560959131
ACH-000295,-0.2398464073998712
ACH-000296,-0.1229436852218028
ACH-000302,-0.09363001006217364
ACH-000304,-0.1605874647097767
ACH-000307,-0.05832901749099824
ACH-000308,-0.06269460818514852
ACH-000310,-0.14521117817980128
ACH-000311,-0.08288312566195384
ACH-000312,-0.08937544053917691
ACH-000315,-0.1059464466473882
ACH-000316,-0.11905028361188072
ACH-000317,0.07032901018503529
ACH-000318,0.016204646505014103
ACH-000319,0.03675037743574895
ACH-000320,-0.3867884829696996
ACH-000322,-0.13132233925363967
ACH-000323,-0.2339810389749477
ACH-000324,0.00774027460766535
ACH-000329,-0.12981854507547747
