,SLK (9748)
ACH-000004,-0.1416107281106093
ACH-000005,0.07788645926256195
ACH-000007,-0.17072743031779142
ACH-000009,-0.2469285147040944
ACH-000011,-0.11397907195403907
ACH-000012,-0.13841215911582067
ACH-000013,-0.17393842488613448
ACH-000014,-0.15287881362204736
ACH-000015,0.0018468857186490894
ACH-000017,-0.0185149900089214
ACH-000018,-0.14269571509118353
ACH-000019,-0.08624708619023141
ACH-000021,-0.013273726196347013
ACH-000022,-0.05641861317098329
ACH-000025,-0.19129350410264948
ACH-000028,-0.16601984896993344
ACH-000030,-0.15822634548526687
ACH-000035,-0.17821507772911718
ACH-000036,-0.2965127193996234
ACH-000037,-0.048989808473130635
ACH-000039,-0.06892540125849915
ACH-000040,-0.07883757579031357
ACH-000041,-0.14911275017294368
ACH-000042,-0.06516510195040505
ACH-000045,0.0053966228332680746
ACH-000047,-0.18636383940200785
ACH-000052,0.07051860923285973
ACH-000053,-0.10571135056349326
ACH-000054,-0.1857655569624697
ACH-000055,-0.024158569748450383
ACH-000060,0.10948285714559808
ACH-000067,-0.2908472270593911
ACH-000070,-0.21132342518900546
ACH-000075,-0.050325705648882085
ACH-000078,-0.14294673772547745
ACH-000082,-0.07574945787161852
ACH-000085,-0.08922756745967203
ACH-000086,-0.033868559016413835
ACH-000087,-0.11878846735224485
ACH-000092,-0.05492453855751851
ACH-000095,-0.1640823992697284
ACH-000097,-0.03492855458745014
ACH-000098,-0.22437668070650774
ACH-000099,-0.05372964591226676
ACH-000108,-0.19876722344912634
ACH-000113,-0.06422908114560667
ACH-000116,-0.16751033393970624
ACH-000118,-0.15140413548603132
ACH-000120,-0.06745165933321212
ACH-000123,-0.2258982408457428
ACH-000127,-0.058569179275881074
ACH-000128,-0.19900168236868307
ACH-000132,-0.06643770041489643
ACH-000133,-0.10807245733600283
ACH-000137,0.008499009124172063
ACH-000138,-0.12886217711648834
ACH-000142,-0.094932922872684
ACH-000143,-0.1931679886890082
ACH-000146,-0.11109791411749176
ACH-000148,-0.2338928924893979
ACH-000150,-0.02012648900160423
ACH-000152,-0.21780039572287144
ACH-000153,-0.033183257541823365
ACH-000159,-0.1736078282154762
ACH-000160,-0.09096477015575392
ACH-000163,-0.11213384712747827
ACH-000167,-0.23343860841989075
ACH-000168,-0.18006714182305847
ACH-000169,-0.1964127688159555
ACH-000178,-0.11844504842638814
ACH-000183,0.10520375461750807
ACH-000188,-0.1393056928929157
ACH-000189,-0.14641540961304272
ACH-000190,-0.14289129798987632
ACH-000198,0.049864659403812996
ACH-000203,-0.05870825538458145
ACH-000204,-0.037320785499240006
ACH-000206,0.11034010738410127
ACH-000207,-0.15656919286201562
ACH-000208,-0.14821575154748168
ACH-000210,0.02252729980209567
ACH-000211,-0.242263995259388
ACH-000215,-0.07409890219224456
ACH-000221,0.005543319304563712
ACH-000222,-0.06405249435528397
ACH-000223,-0.08910751277678845
ACH-000226,-0.0951391660863714
ACH-000227,-0.12094448972556042
ACH-000228,0.005702154756890526
ACH-000231,-0.1593255053506855
ACH-000232,-0.12914643923890534
ACH-000233,-0.13065807865966195
ACH-000234,-0.17272634985310864
ACH-000235,-0.2055842268858919
ACH-000237,-0.1687888633220179
ACH-000238,-0.25020237179313964
ACH-000242,-0.07909323299637605
ACH-000243,-0.14606539040747932
ACH-000244,-0.16169674659593206
ACH-000246,-0.10180958153275922
ACH-000248,-0.01663111003979874
ACH-000250,-0.13428542576579866
ACH-000251,-0.21269668143923
ACH-000252,-0.23934597007084585
ACH-000253,-0.14207848625687874
ACH-000255,-0.10614232238264204
ACH-000256,-0.09662381136755917
ACH-000257,-0.08359297136107577
ACH-000258,-0.040759491704150004
ACH-000259,-0.09641697740823824
ACH-000260,-0.07062374857964346
ACH-000261,-0.11407568570397457
ACH-000262,-0.22487628234843945
ACH-000263,0.3964868807887793
ACH-000264,-0.037430440292749945
ACH-000265,-0.07226905951255855
ACH-000266,-0.04795215675255778
ACH-000272,-0.06645707412355638
ACH-000274,-0.10267772158271073
ACH-000277,0.08143692046364888
ACH-000278,-0.11170999776390557
ACH-000279,-0.1172579822886346
ACH-000280,-0.07855317056669807
ACH-000281,-0.26425036455606715
ACH-000288,-0.169987400628638
ACH-000291,-0.2928233694610159
ACH-000293,-0.05194841529002636
ACH-000294,-0.10076827128347186
ACH-000295,-0.03282337866466062
ACH-000296,-0.1753834356543297
ACH-000302,-0.04265852823962942
ACH-000304,-0.04882907429981054
ACH-000307,-0.0873500556249745
ACH-000308,-0.09404536835436474
ACH-000310,-0.15255164596042006
ACH-000311,-0.18448677145789952
ACH-000312,0.02456543127550669
ACH-000315,0.002373813065750989
ACH-000316,-0.1279862349300819
ACH-000317,-0.12852284126577335
ACH-000318,-0.065483469759983
ACH-000319,-0.12410254576085705
ACH-000320,-0.12072321267513435
ACH-000322,-0.17185266139262834
ACH-000323,-0.26070121410325786
ACH-000324,-0.19711975208599825
ACH-000329,-0.22405966743923725
ACH-000330,-0.2415319038719733
ACH-000331,-0.19482883367999912
ACH-000332,-0.26448617897314897
ACH-000334,-0.1712130627663673
ACH-000335,0.009182570357073714
ACH-000336,-0.08415280122496807
ACH-000337,-0.2434224256849374
ACH-000338,0.07696158685199941
ACH-000339,-0.047838082511707264
ACH-000341,-0.13571331164239053
ACH-000348,-0.08313412150122418
ACH-000350,-0.25594909952336564
ACH-000352,-0.06306298797701823
ACH-000356,-0.2717555871171828
ACH-000361,0.05465219024939858
ACH-000362,-0.0515126590388446
ACH-000363,-0.05097824207211566
ACH-000364,-0.1831826743889064
ACH-000365,-0.09740667119720997
ACH-000366,-0.07101627147339762
ACH-000368,-0.3150287011606704
ACH-000374,-0.17445970667419633
ACH-000375,-0.10655524909582384
ACH-000376,-0.16682752391787667
ACH-000381,-0.050281261289827135
ACH-000383,-0.31015926383999565
ACH-000387,-0.08393055800249061
ACH-000389,-0.13227487918805392
ACH-000390,-0.10468985467155806
ACH-000393,-0.04730083334545004
ACH-000395,-0.4693954595922964
ACH-000396,-0.3190877366310318
ACH-000397,-0.08515011046903108
ACH-000401,-0.22467316539793
ACH-000402,-0.2001050924899506
ACH-000403,-0.05348656943607253
ACH-000404,0.1533776352784111
ACH-000406,-0.1760698059472167
ACH-000407,-0.18513451751342255
ACH-000408,-0.16318609078722818
ACH-000410,-0.06703522309067199
ACH-000411,-0.1594237999162684
ACH-000414,0.12482825328285314
ACH-000415,-0.1852903768645273
ACH-000416,-0.12983757463780446
ACH-000420,-0.12778139350652434
ACH-000421,-0.18532140951701093
ACH-000424,0.03834808305383041
ACH-000425,-0.10505956618453174
ACH-000426,-0.19420821848902256
ACH-000427,-0.16790885358677066
ACH-000433,-0.22487063824614145
ACH-000435,0.23942436111167595
ACH-000436,-0.05919971336261023
ACH-000444,-0.07627598900840543
ACH-000445,-0.2395227222994106
ACH-000448,-0.060209555381339215
ACH-000450,0.10124012653984768
ACH-000452,-0.053649333681279165
ACH-000454,-0.13214922873224585
ACH-000458,-0.10486426906312236
ACH-000459,0.017366623557635887
ACH-000460,-0.13612098706815706
ACH-000461,-0.03606252255600074
ACH-000463,-0.1643284570715244
ACH-000464,-0.1611802059873652
ACH-000466,0.026110721001995442
ACH-000467,-0.16006215470570478
ACH-000468,-0.11233994548906956
ACH-000469,-0.12642772693238002
ACH-000470,-0.09451619763741263
ACH-000471,-0.002865824031794439
ACH-000472,-0.18934515517095696
ACH-000473,-0.20465929403428687
ACH-000475,-0.06893491124123266
ACH-000476,-0.21942557394216727
ACH-000477,0.005557649007438135
ACH-000479,-0.3143910244180864
ACH-000480,-0.1440013585998236
ACH-000481,-0.1915471116369233
ACH-000483,-0.024114313428352283
ACH-000484,-0.2600898723870692
ACH-000485,-0.11229136701040868
ACH-000486,-0.08661571821964859
ACH-000487,-0.07130684333140541
ACH-000488,-0.25359557578912645
ACH-000490,-0.08374062759152928
ACH-000491,-0.10800035858376927
ACH-000495,-0.17632635914218622
ACH-000496,-0.10690253382175574
ACH-000499,-0.30585440466910546
ACH-000500,-0.5046547824573182
ACH-000502,0.01065609624963102
ACH-000503,-0.1513935750320648
ACH-000505,-0.09970264055453723
ACH-000507,-0.02505287376657273
ACH-000510,-0.15317768356957864
ACH-000511,-0.20677373779234345
ACH-000512,-0.003085954793999406
ACH-000516,-0.032719052214544325
ACH-000517,-0.13196099702839467
ACH-000518,-0.0910968728044456
ACH-000520,-0.21747386394915785
ACH-000521,0.013489452724335963
ACH-000522,0.12128105073051768
ACH-000524,-0.08271513604593922
ACH-000527,-0.2709260853620559
ACH-000528,-0.4066354829998174
ACH-000537,-0.08140118201299107
ACH-000541,-0.05974531164470846
ACH-000542,-0.16881211839999746
ACH-000544,-0.2328905407753078
ACH-000545,-0.1859119655493144
ACH-000547,0.0351034584176977
ACH-000548,-0.10218789505713644
ACH-000549,-0.051956172567027774
ACH-000550,-0.2445010846677272
ACH-000552,-0.22631794258013696
ACH-000556,-0.07675448248183524
ACH-000557,-0.0625070440450811
