,VOPP1 (81552)
ACH-000004,-0.4102970314605988
ACH-000005,-0.397099813033459
ACH-000007,-0.3893695945540164
ACH-000009,-0.44056546482411096
ACH-000011,-0.10727048994975054
ACH-000012,-0.4645118272737655
ACH-000013,-0.24426194038857305
ACH-000014,-0.3858157961168802
ACH-000015,-0.3106375777955802
ACH-000017,-0.2853709681721221
ACH-000018,-0.3298747843956929
ACH-000019,-0.13846908530583735
ACH-000021,-0.18970783944136368
ACH-000022,-0.23116524045952125
ACH-000025,-0.2963521318548799
ACH-000028,-0.22637589588340626
ACH-000030,-0.2084404979572413
ACH-000035,-0.09961686366489593
ACH-000036,-0.2333807294234199
ACH-000037,-0.15037412877577513
ACH-000039,-0.2323987935844255
ACH-000040,-0.280667975233
ACH-000041,-0.1630649002881718
ACH-000042,-0.24724453655142345
ACH-000045,-0.19726886824086048
ACH-000047,-0.24395442163336944
ACH-000052,-0.03123205691412477
ACH-000053,-0.18952272360633
ACH-000054,-0.19866315807591398
ACH-000055,-0.18535700944009129
ACH-000060,-0.19214615379220665
ACH-000067,-0.21848958229622867
ACH-000070,-0.12663431648885412
ACH-000075,-0.2467339115925817
ACH-000078,-0.2468077807141577
ACH-000082,-0.2695958743646831
ACH-000085,-0.14131162313716344
ACH-000086,-0.056896018400651664
ACH-000087,-0.15525334487609446
ACH-000092,-0.1467600376152095
ACH-000095,-0.21501990910128585
ACH-000097,-0.32213594300596105
ACH-000098,-0.30245658853542845
ACH-000099,-0.12456244137609235
ACH-000108,-0.031499474459302006
ACH-000113,-0.17900717053775222
ACH-000116,-0.23263560002570616
ACH-000118,-0.1490790357648875
ACH-000120,-0.2298108449049897
ACH-000123,-0.143299466127952
ACH-000127,-0.26686287118539376
ACH-000128,-0.3078813654757623
ACH-000132,-0.07905934572692963
ACH-000133,-0.3583739855147815
ACH-000137,-0.09133033093854392
ACH-000138,-0.22318879882650214
ACH-000142,-0.17613267227877627
ACH-000143,-0.0981406746025166
ACH-000146,-0.17997994560037814
ACH-000148,-0.2420128672738885
ACH-000150,-0.2315892008373825
ACH-000152,-0.3148719153052875
ACH-000153,-0.16864761672002987
ACH-000159,-0.15128202582256678
ACH-000160,-0.15469509767644976
ACH-000163,-0.10342733166044414
ACH-000167,-0.4140976279520941
ACH-000168,-0.2273070388850203
ACH-000169,0.03085331467434308
ACH-000178,-0.051739853731917064
