,DCLRE1B (64858)
ACH-000004,-0.3964064781019887
ACH-000005,-0.7105971122247507
ACH-000007,-0.9480094803339804
ACH-000009,-0.4953352254677455
ACH-000011,-1.2167713343289237
ACH-000012,-0.6383330567777036
ACH-000013,-0.6166588512666148
ACH-000014,-1.1325171888486314
ACH-000015,-0.7725275611188449
ACH-000017,-0.4458759780885204
ACH-000018,-0.32482352260328984
ACH-000019,-0.8765695566358502
ACH-000021,-0.4562504888528846
ACH-000022,-1.256465789620359
ACH-000025,-0.5357625797270962
ACH-000028,-0.7923118304063448
ACH-000030,-1.2457448300156144
ACH-000035,-0.7816125945664911
ACH-000036,-1.2732346315710426
ACH-000037,-0.7341978344121896
ACH-000039,-0.4983232250775869
ACH-000040,-0.8493742111277793
ACH-000041,-0.5873296776078691
ACH-000042,-0.4077248594753313
ACH-000045,-0.7670389053879717
ACH-000047,-0.3224057435898593
ACH-000052,-0.7547759162098796
ACH-000053,-0.29585977214661474
ACH-000054,-0.8121167357998516
ACH-000055,-0.7056396249964272
ACH-000060,-0.8310255954680017
ACH-000067,-0.8529517636111541
ACH-000070,-0.8582490642352417
ACH-000075,-1.062323073396769
ACH-000078,-0.7959384196453213
ACH-000082,-0.9466889347993924
ACH-000085,-0.5537942119604333
ACH-000086,-0.5816711733505784
ACH-000087,-0.6098461211960956
ACH-000092,-0.7726675726821021
ACH-000095,-0.9582303629578336
ACH-000097,-0.6733828652435182
ACH-000098,-0.7547617302216808
ACH-000099,-1.0800726533788798
ACH-000108,-1.0306386924259727
ACH-000113,-0.4728668039455557
ACH-000116,-0.5474080530668467
ACH-000118,-0.7648551937807009
ACH-000120,-0.8532409640746293
ACH-000123,-0.9401801948400548
ACH-000127,-0.5564670359210707
ACH-000128,-0.4502374695345681
ACH-000132,-0.8858641837818664
ACH-000133,-1.1533031263590354
ACH-000137,-0.560055252697809
ACH-000138,-0.9395870036939856
ACH-000142,-0.546094584398502
ACH-000143,-0.5502632636747311
ACH-000146,-0.4638854328689898
ACH-000148,-0.9095366858270498
ACH-000150,-0.3564180187687393
ACH-000152,-0.9342759156508552
ACH-000153,-0.5913374681788277
ACH-000159,-0.7200464607225703
ACH-000160,-0.1858684523960786
ACH-000163,-0.5042630339303471
ACH-000167,-0.8135399715637954
ACH-000168,-0.4411264032269373
ACH-000169,-0.5590965490867876
ACH-000178,-0.6804945735940932
ACH-000183,-0.2369985710074086
ACH-000188,-1.0455638844583133
ACH-000189,-0.6444426354791595
ACH-000190,-0.9680783479994016
ACH-000198,-0.6794988330276951
ACH-000203,-0.8464769794305976
ACH-000204,-0.6935799360276594
ACH-000206,-0.7471430113552604
ACH-000207,-0.7328394277398569
ACH-000208,-0.7638608641870968
ACH-000210,-0.6445852971502342
ACH-000211,-0.4783177335141695
ACH-000215,-0.7133892702402301
ACH-000221,-0.9583328224217496
ACH-000222,-0.593855775082306
ACH-000223,-0.5032436889100053
ACH-000226,-0.7760092112662397
ACH-000227,-0.7846425970843893
ACH-000228,-1.1231812757443973
ACH-000231,-0.8512692208064607
ACH-000232,-0.6723966977475989
ACH-000233,-0.3979050919042965
ACH-000234,-0.7308312777496413
ACH-000235,-0.6298681973239354
ACH-000237,-0.7531571003013947
ACH-000238,-0.6143788158643699
ACH-000242,-0.7098151786326479
ACH-000243,-0.6071464209199761
ACH-000244,-0.9280291272213176
ACH-000246,-0.760057897432169
ACH-000248,-0.5940775814388666
ACH-000250,-0.7113660613930562
ACH-000251,-1.1151666617922886
ACH-000252,-0.6588993937393772
ACH-000253,-0.5368478412803568
ACH-000255,-0.4971819761878261
ACH-000256,-0.8042022344616258
ACH-000257,-0.6076514175891017
ACH-000258,-0.6417004013281323
ACH-000259,-0.8889400253007905
ACH-000260,-1.0492331210380137
ACH-000261,-0.6838324985799833
ACH-000262,-0.7049925917098553
ACH-000263,-0.3963451281649731
ACH-000264,-0.7725475488810293
ACH-000265,-0.5093772308170809
ACH-000266,-1.0913989847682521
ACH-000272,-0.6692904951171657
ACH-000274,-0.8100748483110616
ACH-000277,-0.5504204596678505
ACH-000278,-0.6397153067260505
ACH-000279,-0.8001034016340198
ACH-000280,-0.4207757547026335
ACH-000281,-0.8621701640694923
ACH-000288,-0.7085428599419368
ACH-000291,-1.0551110510193356
ACH-000293,-0.5728473801050135
ACH-000294,-0.7352313618991965
ACH-000295,-0.4767499554286384
ACH-000296,-0.8021778247180206
ACH-000302,-0.577766205852907
ACH-000304,-0.9538545570856756
ACH-000307,-0.5643311626486872
ACH-000308,-0.6763745780251369
ACH-000310,-0.6479406814065329
ACH-000311,-0.8715133902385028
ACH-000312,-0.5045155146745446
ACH-000315,-0.4464015115578697
ACH-000316,-0.9169934088937866
ACH-000317,-0.6223115527065484
ACH-000318,-0.4260441729619261
ACH-000319,-0.4742055134955054
ACH-000320,-0.579646406432855
