,OTUD7A (161725)
ACH-000004,-0.2350327688946675
ACH-000005,0.3036491460850955
ACH-000007,-0.21980366314629607
ACH-000009,-0.2256200375707797
ACH-000011,-0.01977798693422795
ACH-000012,-0.09167781688806796
ACH-000013,-0.007115699473667466
ACH-000014,0.046309277226910604
ACH-000015,-0.05709763553094535
ACH-000017,0.037245643657157504
ACH-000018,0.07957235629629103
ACH-000019,-0.103344795959964
ACH-000021,0.018967193470508605
ACH-000022,0.0728979876927942
ACH-000025,-0.055234619848219334
ACH-000028,0.08831430011807866
ACH-000030,-0.07533205287337151
ACH-000035,0.01823000964420921
ACH-000036,0.004524464203767036
ACH-000037,0.06900613163309445
ACH-000039,-0.11955507086051358
ACH-000040,0.017034797366830504
ACH-000041,-0.058345639499832326
ACH-000042,-0.02937770699486155
ACH-000045,-0.0036864164340634814
ACH-000047,0.06339578671968246
ACH-000052,0.09625322272323786
ACH-000053,-0.08313191249699158
ACH-000054,0.09381776970861656
ACH-000055,0.12287544765466273
ACH-000060,0.09134960254518616
ACH-000067,-0.046759290206077636
ACH-000070,0.03219047350981626
ACH-000075,0.26867677290206826
ACH-000078,-0.0453236586897553
ACH-000082,-0.018917336003727137
ACH-000085,0.19493716120684496
ACH-000086,-0.05408257655141442
ACH-000087,0.014490736533674244
ACH-000092,-0.059819380616990124
ACH-000095,-0.07386795123674206
ACH-000097,-0.06948592296238654
ACH-000098,0.03327131369421533
ACH-000099,0.013589920331692394
ACH-000108,0.17172877647558024
ACH-000113,-0.05444765746104142
ACH-000116,-0.004448542912832736
ACH-000118,-0.09264973713681554
ACH-000120,-0.224194021826462
ACH-000123,-0.12059786544842865
ACH-000127,-0.04387257969768494
ACH-000128,-0.22010975014507528
ACH-000132,-0.12158994304378055
ACH-000133,-0.09170055167998444
ACH-000137,-0.1021505781256179
ACH-000138,-0.003270365869913425
ACH-000142,0.1325354017849588
ACH-000143,-0.1022354776780192
ACH-000146,0.016660587851188537
ACH-000148,-0.01872902898719056
ACH-000150,0.07755099765819559
ACH-000152,0.02296637721859773
ACH-000153,-0.08883325299952144
ACH-000159,-0.024748424794819028
ACH-000160,-0.11339313327928782
ACH-000163,0.04754905566490681
ACH-000167,0.25691065492397785
ACH-000168,-0.08885698570520201
ACH-000169,0.0217746748994103
ACH-000178,-0.04403326975770997
ACH-000183,-0.1103213379202116
ACH-000188,-0.08047186126793461
