,GAL (51083)
ACH-000004,-0.15816268559193628
ACH-000005,-0.006920330708862023
ACH-000007,-0.4218297383020676
ACH-000009,-0.2281076652095479
ACH-000011,-0.11096401947104427
ACH-000012,-0.28190379032691976
ACH-000013,-0.13944488761804502
ACH-000014,0.033461231450649664
ACH-000015,-0.0695418444424545
ACH-000017,-0.08258224258276241
ACH-000018,-0.37187215584399214
ACH-000019,-0.23739071870954326
ACH-000021,-0.1065546229717912
ACH-000022,-0.19871747866815725
ACH-000025,-0.15596620641371975
ACH-000028,-0.2627607685440839
ACH-000030,-0.21246948291191645
ACH-000035,-0.04694822257722602
ACH-000036,-0.1644374653532948
ACH-000037,-0.24692925403513655
ACH-000039,-0.06921509853627694
ACH-000040,-0.14306954070513278
ACH-000041,-0.14281282809199608
ACH-000042,-0.32054233467346155
ACH-000045,-0.015422884542129497
ACH-000047,-0.047422187464423934
ACH-000052,-0.2466065090667174
ACH-000053,-0.2214993900275652
ACH-000054,-0.18804327424732134
ACH-000055,-0.2901153068777185
ACH-000060,-0.18726737881078373
ACH-000067,-0.11028017059541936
ACH-000070,-0.17361281616954058
ACH-000075,-0.2960586361216465
ACH-000078,-0.09465921420522604
ACH-000082,-0.2261578609521767
ACH-000085,-0.39024452541313576
ACH-000086,-0.2966220120533644
ACH-000087,-0.006242399051856472
ACH-000092,-0.21126917281961946
ACH-000095,-0.17745606196595878
ACH-000097,-0.31900153429688616
ACH-000098,-0.18131031869441588
ACH-000099,-0.16216128891648818
ACH-000108,-0.2363810992399545
ACH-000113,-0.12479434887691394
ACH-000116,-0.2668220347775162
ACH-000118,-0.25026477118796503
ACH-000120,-0.0814938230667005
ACH-000123,-0.0838328752405686
ACH-000127,-0.16765209299406894
ACH-000128,-0.12241470241158008
ACH-000132,-0.21806560148366366
ACH-000133,-0.040487031397676426
ACH-000137,-0.23545855645594685
ACH-000138,-0.1974528801236604
ACH-000142,-0.3306725989893853
ACH-000143,-0.07556232573307604
ACH-000146,-0.15008852995400046
ACH-000148,-0.1662793302872528
ACH-000150,-0.08360584432022869
ACH-000152,-0.0678631683894194
ACH-000153,-0.27342288986651353
ACH-000159,-0.18181931660996686
ACH-000160,-0.4762625008438272
ACH-000163,-0.3073248407809346
ACH-000167,0.029630916064995082
ACH-000168,-0.10353801460796028
ACH-000169,-0.29597703915512746
ACH-000178,-0.22509611813634195
ACH-000183,-0.16087072656735685
ACH-000188,-0.2676136284691318
ACH-000189,-0.06969578403569412
ACH-000190,-0.3569535642925304
ACH-000198,-0.15895352827226228
ACH-000203,-0.1845708972165033
ACH-000204,-0.2112891175772204
ACH-000206,-0.21120792322805432
ACH-000207,-0.28782993759074105
ACH-000208,-0.29125754818660576
ACH-000210,-0.3834868234984253
ACH-000211,-0.1400859321749087
ACH-000215,-0.14082399168475204
ACH-000221,-0.22402996887098908
ACH-000222,-0.29591187497073457
ACH-000223,-0.22899987139751066
ACH-000226,-0.21242667238164387
ACH-000227,-0.18095143766672594
ACH-000228,-0.3173761898583645
ACH-000231,-0.15344925505321874
ACH-000232,-0.2588762575356584
ACH-000233,-0.11192922380954497
ACH-000234,-0.0664028859893263
ACH-000235,-0.18974351690286373
ACH-000237,-0.3108732183790861
ACH-000238,-0.2932051106648022
ACH-000242,-0.5302330797120497
ACH-000243,-0.0976035447791368
ACH-000244,-0.16588158154983915
ACH-000246,-0.08876441554016587
ACH-000248,-0.08796365494386829
ACH-000250,-0.18191909435107015
ACH-000251,-0.14127834401693862
ACH-000252,-0.07402808351134921
ACH-000253,-0.10537866085997877
ACH-000255,-0.3103991254997812
ACH-000256,-0.2951446145374681
ACH-000257,-0.12918470911738558
ACH-000258,-0.07987784861950696
ACH-000259,-0.2399683871894537
ACH-000260,-0.24917966874850245
ACH-000261,-0.10561525958692022
ACH-000262,-0.11442984156498665
ACH-000263,-0.2144100066334722
ACH-000264,-0.1719860881276453
