,UBE2C (11065)
ACH-000004,-0.6455526060637872
ACH-000005,-0.4999135302961633
ACH-000007,-0.43620942067029145
ACH-000009,-0.5645468943084802
ACH-000011,-0.6954415788060846
ACH-000012,-0.4422877753570419
ACH-000013,-0.14235317773625478
ACH-000014,-0.2664050110217768
ACH-000015,-0.5018693223201102
ACH-000017,-0.285928973170676
ACH-000018,-0.4319091129018425
ACH-000019,-0.3628351740810237
ACH-000021,-0.4089085555870749
ACH-000022,-0.6416911181028521
ACH-000025,-0.23136925287307755
ACH-000028,-0.2817881888245461
ACH-000030,-0.6540921698025542
ACH-000035,-0.1585762231960147
ACH-000036,-0.6401953033359188
ACH-000037,-0.8703131745439717
ACH-000039,-0.3603811180558512
ACH-000040,-0.7991436964242248
ACH-000041,-0.5575609230428161
ACH-000042,-0.5975196507447413
ACH-000045,-0.2480568194838077
ACH-000047,-0.07044904633621601
ACH-000052,-0.3774022925477269
ACH-000053,-0.29172081294695523
ACH-000054,-0.26446383030295234
ACH-000055,-0.09329502742570722
ACH-000060,-0.7105388821465657
ACH-000067,-0.7202354681214334
ACH-000070,-0.21566803583539812
ACH-000075,-0.4020876289484425
ACH-000078,-0.2772790248422369
ACH-000082,-0.6572292216111841
ACH-000085,-0.5754338617571136
ACH-000086,-0.328211874582664
ACH-000087,-0.40115835537320793
ACH-000092,-0.3581693250031293
ACH-000095,-0.37361889745856586
ACH-000097,-0.4631441223654934
ACH-000098,-0.44188448199526603
ACH-000099,-0.16943055288376074
ACH-000108,-0.4348673909201812
ACH-000113,-0.3706082496256504
ACH-000116,-0.3769724915221063
ACH-000118,-0.14089374371715566
ACH-000120,-0.5449323785984578
ACH-000123,-0.6028779004113543
ACH-000127,-0.7691100831988598
ACH-000128,-0.3012537110499928
ACH-000132,-0.019029876115773173
ACH-000133,-0.5870111977152099
ACH-000137,-0.2307932573726357
ACH-000138,-0.2416620338968844
ACH-000142,-0.352652007773949
ACH-000143,-0.4806831386474834
ACH-000146,-0.384894486584009
ACH-000148,-0.5206285716490258
ACH-000150,-0.15779740029562955
ACH-000152,-0.21099929392585695
ACH-000153,-0.2204979967101277
