,HTR7 (3363)
ACH-000004,-0.3409504026296905
ACH-000005,-0.2501730057100909
ACH-000007,-0.2558569465753717
ACH-000009,-0.2491517663440684
ACH-000011,-0.3715105791761271
ACH-000012,-0.0780686648411066
ACH-000013,-0.2430341690978423
ACH-000014,-0.17670767963334014
ACH-000015,-0.2310716127132289
ACH-000017,-0.2849852863889559
ACH-000018,-0.09537915880133388
ACH-000019,-0.0863023239843759
ACH-000021,-0.12999527069285904
ACH-000022,-0.1805157109102964
ACH-000025,-0.11778347105599392
ACH-000028,-0.20563671843364995
ACH-000030,-0.28902597763609006
ACH-000035,-0.24480836221285415
ACH-000036,-0.14269133467168146
ACH-000037,-0.15268361515489273
ACH-000039,-0.2818535917380261
ACH-000040,-0.2001660074019628
ACH-000041,-0.2668378155484494
ACH-000042,-0.20815962654196293
ACH-000045,-0.08745490242852633
ACH-000047,-0.3132223087828092
ACH-000052,-0.1329708449514629
ACH-000053,-0.16139630831154156
ACH-000054,-0.24816542027355484
ACH-000055,-0.09377223500889847
ACH-000060,-0.4261963815106189
ACH-000067,-0.14581864409848475
ACH-000070,-0.4933374359816181
ACH-000075,-0.25393499354426474
ACH-000078,-0.36154131332761
ACH-000082,-0.3087522072615067
ACH-000085,-0.4903326146199503
ACH-000086,-0.17000924756687166
ACH-000087,-0.10446879305839178
ACH-000092,-0.2493490906555152
ACH-000095,-0.2893800764186598
ACH-000097,-0.2501893321911098
ACH-000098,-0.2457618096702501
ACH-000099,-0.344878216736575
ACH-000108,-0.11846837837944615
ACH-000113,-0.1923150387098583
ACH-000116,-0.1835605111457691
ACH-000118,-0.09083784275234497
ACH-000120,-0.10090744251148948
ACH-000123,-0.17137251298335116
ACH-000127,-0.21063415867202626
ACH-000128,-0.18343120590243955
ACH-000132,-0.284179470102514
ACH-000133,-0.4482252075380018
ACH-000137,-0.11293959207943036
ACH-000138,-0.0725996072803929
ACH-000142,-0.2635406254686657
ACH-000143,-0.07830383659536468
ACH-000146,-0.18472302747252908
ACH-000148,-0.26314928248577435
ACH-000150,-0.213522137162034
ACH-000152,-0.35632781056018004
ACH-000153,-0.22920431426082755
ACH-000159,-0.3252916138562489
ACH-000160,-0.3182603031419589
ACH-000163,-0.17206821659859556
ACH-000167,-0.4047903211735282
ACH-000168,-0.1445863849829192
ACH-000169,-0.3191943724177047
ACH-000178,-0.16247002464398705
ACH-000183,-0.15907790452766246
ACH-000188,-0.37910511779453293
ACH-000189,-0.1890144458173424
ACH-000190,-0.19387764867202134
ACH-000198,-0.10453081813507653
ACH-000203,-0.6238725013959976
ACH-000204,-0.1116091359454275
ACH-000206,-0.3053479522372837
ACH-000207,-0.31326914899176805
ACH-000208,-0.2812152096081477
ACH-000210,-0.16611461421157167
ACH-000211,-0.2295912041216453
ACH-000215,-0.3653252666461765
ACH-000221,-0.13729433695861865
ACH-000222,-0.21761358059326907
ACH-000223,-0.4159712769982143
ACH-000226,-0.13033418195022015
