,GPATCH2 (55105)
ACH-000004,0.07697770936340449
ACH-000005,0.015309722588996419
ACH-000007,-0.231217994796094
ACH-000009,-0.15494502951401812
ACH-000011,-0.20028561613750645
ACH-000012,-0.1069897567022966
ACH-000013,-0.06312497579257494
ACH-000014,-0.1931765899209316
ACH-000015,-0.1154592794893734
ACH-000017,-0.07071731411235699
ACH-000018,-0.1910789215211316
ACH-000019,-0.07440046476924245
ACH-000021,-0.2184599761760918
ACH-000022,-0.14065591768989408
ACH-000025,-0.11735623525580992
ACH-000028,-0.24649314363993724
ACH-000030,-0.09769710716084157
ACH-000035,0.040687981622253865
ACH-000036,-0.2386956481307088
ACH-000037,-0.038462924253266834
ACH-000039,0.005889359024384764
ACH-000040,-0.2004517354148667
ACH-000041,-0.03799629526394279
ACH-000042,-0.06047729730452489
ACH-000045,-0.07742433444923201
ACH-000047,-0.25054617528011
ACH-000052,-0.1287541152098255
ACH-000053,-0.06524205536144953
ACH-000054,-0.21477824629084796
ACH-000055,-0.21881621581250404
ACH-000060,0.06037890397145462
ACH-000067,-0.13951513120312695
ACH-000070,-0.11789049671459235
ACH-000075,-0.13558679335269974
ACH-000078,-0.06583633335614819
ACH-000082,-0.13520844621575892
ACH-000085,-0.22379041488796086
ACH-000086,-0.14440357119887398
ACH-000087,0.0970412194372668
ACH-000092,-0.2467275141493164
ACH-000095,-0.17187185014936285
ACH-000097,-0.170296526020755
ACH-000098,-0.21053298398148687
ACH-000099,-0.13994329013057127
ACH-000108,-0.17009061181654328
ACH-000113,-0.2773079676118941
ACH-000116,-0.2508525231886339
ACH-000118,-0.036089392804053606
ACH-000120,-0.15257102296981867
ACH-000123,-0.1410365439583784
ACH-000127,-0.13791467505078933
ACH-000128,-0.009301216893838822
ACH-000132,-0.2261470755790043
ACH-000133,-0.1351487798822724
ACH-000137,-0.11900324188803355
ACH-000138,-0.14589071871837686
ACH-000142,-0.0031935206137109953
ACH-000143,-0.1808853449828243
ACH-000146,-0.10143742724122566
ACH-000148,-0.2395275672973822
ACH-000150,0.049564109253829584
ACH-000152,-0.09431586470713596
ACH-000153,-0.3826450360936337
ACH-000159,-0.16461077121827328
ACH-000160,-0.15752284275359152
ACH-000163,-0.0945605549479778
ACH-000167,-0.4358184615003247
ACH-000168,-0.027883435127794558
ACH-000169,-0.031974799066946405
ACH-000178,-0.1444472871798571
ACH-000183,0.03277473898157319
ACH-000188,-0.2283389670212801
ACH-000189,-0.09465656156971136
ACH-000190,-0.09812374435127574
ACH-000198,-0.1534828502910951
ACH-000203,-0.14467283961961033
ACH-000204,-0.04602890938845187
ACH-000206,-0.16419596133204814
ACH-000207,-0.1886477404899144
ACH-000208,-0.059195659862051574
ACH-000210,-0.2681264098562447
ACH-000211,-0.11940326178973175
ACH-000215,-0.09395283419338843
ACH-000221,-0.04114081483917753
ACH-000222,-0.2442313236649521
ACH-000223,-0.17403453582620335
ACH-000226,-0.1405601582658536
ACH-000227,-0.10805201145577553
ACH-000228,-0.06998985544621987
ACH-000231,-0.12483826345195567
ACH-000232,-0.1118238876158624
ACH-000233,-0.10487124776712284
ACH-000234,-0.16946638438211076
ACH-000235,-0.1816235189378562
ACH-000237,-0.04107387389985241
ACH-000238,-0.17547014891132248
ACH-000242,-0.1700779072517292
ACH-000243,-0.1289122442170604
ACH-000244,-0.0324527120627749
ACH-000246,-0.12487087414519504
ACH-000248,-0.028992166872611226
ACH-000250,-0.11971860984986325
ACH-000251,-0.02323136252823709
ACH-000252,-0.2641397916095474
ACH-000253,-0.011101461215664436
ACH-000255,-0.07008174106038681
ACH-000256,-0.029399501741935424
ACH-000257,-0.3333529856287619
ACH-000258,-0.4094468015207293
ACH-000259,-0.16493376154527234
ACH-000260,-0.14031538254480727
ACH-000261,-0.1128544415480736
ACH-000262,-0.2497059208395965
ACH-000263,0.06754520162572614
ACH-000264,-0.06424449991201639
ACH-000265,-0.07748334874955334
ACH-000266,-0.15565298526483853
ACH-000272,-0.1564717816147808
ACH-000274,-0.1134053820255444
ACH-000277,-0.16660087893990494
ACH-000278,-0.06195989758875312
ACH-000279,-0.07027171201788009
ACH-000280,-0.1616669252255508
ACH-000281,-0.26051208937425857
ACH-000288,-0.16975184018523215
ACH-000291,-0.2351617208262895
ACH-000293,-0.17985426898636914
ACH-000294,-0.07834710927502811
ACH-000295,-0.1653406959090475
ACH-000296,-0.0999492545341254
ACH-000302,-0.054713484917248895
ACH-000304,-0.2518146124721093
ACH-000307,-0.16170482400898026
ACH-000308,-0.13341492453594353
ACH-000310,-0.23134358784192896
ACH-000311,-0.1013377651783896
ACH-000312,-0.10869466775923714
ACH-000315,-0.029815336263669383
ACH-000316,-0.08885811888815011
ACH-000317,-0.24478027606435604
ACH-000318,-0.059148327135166476
ACH-000319,-0.1296535447519847
ACH-000320,-0.2338410393797317
ACH-000322,-0.18222259429822407
ACH-000323,-0.2072473676751876
ACH-000324,-0.29323195287770565
ACH-000329,-0.12032410733728445
ACH-000330,-0.2787582141986416
ACH-000331,-0.019762844039020042
ACH-000332,-0.11181014819923307
ACH-000334,-0.18918414024036906
ACH-000335,-0.285601947152079
ACH-000336,-0.34100994986254546
ACH-000337,-0.2701500040406383
ACH-000338,-0.238912435297293
ACH-000339,-0.07773808058471564
ACH-000341,-0.1530113851371234
ACH-000348,-0.06409114941379257
ACH-000350,-0.06033806385447805
ACH-000352,-0.171304060684207
ACH-000356,-0.15976039460436325
ACH-000361,-0.2338463279709972
ACH-000362,-0.017431742122622322
ACH-000363,-0.10188090572121207
ACH-000364,-0.03914031725226756
ACH-000365,-0.13023877541304232
ACH-000366,-0.21430436816715145
ACH-000368,-0.0458972935582908
ACH-000374,-0.1951335975116495
ACH-000375,-0.2415783371155458
ACH-000376,-0.06909239210601924
ACH-000381,-0.12008309762560808
ACH-000383,-0.1590881045063955
ACH-000387,-0.02460080757470301
ACH-000389,-0.11753640310888665
ACH-000390,-0.1781728564820586
ACH-000393,-0.1559597432180167
ACH-000395,-0.059008788715827765
ACH-000396,-0.3071849161510438
ACH-000397,-0.1617612119283943
ACH-000401,-0.17954453567860845
ACH-000402,-0.10915247405844056
ACH-000403,-0.11941999065392835
ACH-000404,-0.07732992872017297
ACH-000406,-0.02484639327877573
ACH-000407,-0.2372759790396464
ACH-000408,-0.04872390266202256
ACH-000410,-0.23202588258582565
ACH-000411,-0.20846366511852385
ACH-000414,-0.10929377424211062
ACH-000415,-0.12456129489502896
ACH-000416,-0.104883012215575
ACH-000420,-0.13046795110523218
ACH-000421,-0.12565658316811407
ACH-000424,-0.07536210363097308
ACH-000425,-0.08124814902567963
ACH-000426,-0.17934249584769968
ACH-000427,-0.10293386051078472
ACH-000433,-0.10357221656353896
ACH-000435,-0.16283279979492127
ACH-000436,-0.058713936642059476
ACH-000444,-0.07584013155740578
ACH-000445,-0.2010382697980459
ACH-000448,-0.2329993398634928
ACH-000450,-0.2374901264124575
ACH-000452,-0.08806288821614387
ACH-000454,0.12663467945778814
ACH-000458,-0.08391994514356424
ACH-000459,-0.14453534711191648
ACH-000460,-0.045167219247325495
ACH-000461,-0.01520636064931962
ACH-000463,-0.33412779081404564
ACH-000464,-0.0633526016150981
ACH-000466,-0.1167588334077834
ACH-000467,-0.1899654414995088
