,VPS4A (27183)
ACH-000004,-0.4472711249376508
ACH-000005,-0.2835077471052564
ACH-000007,-0.07245651003869756
ACH-000009,-0.2813126523956466
ACH-000011,-0.15329951548792256
ACH-000012,-0.34590362010519343
ACH-000013,-0.306409608128875
ACH-000014,-0.09239143822653514
ACH-000015,-0.19267360400469147
ACH-000017,0.08790636613212557
ACH-000018,-0.3773458853778023
ACH-000019,-0.20215418784521327
ACH-000021,-0.10542161051937857
ACH-000022,-0.3004760472656197
ACH-000025,-0.8200569619542211
ACH-000028,-0.12812379536834126
ACH-000030,-0.14408367071792327
ACH-000035,-0.5132184909495656
ACH-000036,-0.6646246062706908
ACH-000037,-0.2447313992892136
ACH-000039,-0.2613429588279636
ACH-000040,-0.19354594000498854
ACH-000041,-0.18547150117552325
ACH-000042,-0.17653526086146296
ACH-000045,-0.07460768678881527
ACH-000047,-0.1518332815121482
ACH-000052,-0.3117675597802418
ACH-000053,-0.15231685087153604
ACH-000054,-0.16236083741942794
ACH-000055,-0.3057209300540548
ACH-000060,-0.2521981173800417
ACH-000067,-0.0788362579587092
ACH-000070,-0.1289918204234256
ACH-000075,-0.2100263056635408
ACH-000078,-0.2264838127043653
ACH-000082,-0.21046985813938776
ACH-000085,-0.34080935073248864
ACH-000086,-0.2439276150394161
ACH-000087,-0.3422931531988829
ACH-000092,-0.2187180125259732
ACH-000095,-0.1465565824671392
ACH-000097,-0.19065789752515516
ACH-000098,-0.6941986793696071
ACH-000099,-0.15962586741986787
ACH-000108,-0.22746776850372724
ACH-000113,-0.30616470718112765
ACH-000116,-0.20791307912995016
ACH-000118,-0.09359496745605504
ACH-000120,-0.2180994197816387
ACH-000123,-0.11534477710762048
ACH-000127,-0.3483219524722275
ACH-000128,-0.22069100005402728
ACH-000132,-0.8839116050393943
ACH-000133,-0.4443542609900531
ACH-000137,-0.16151099780283895
ACH-000138,-0.9080534324874036
ACH-000142,-1.0958122877133851
ACH-000143,-0.08816655103006475
ACH-000146,-0.16241907261809996
ACH-000148,-0.3542525072374788
ACH-000150,-0.4974763557096951
ACH-000152,-0.2757733415523534
ACH-000153,-0.34737143309930124
ACH-000159,-0.4951061007356247
ACH-000160,-0.034426988976234016
ACH-000163,-0.11974261206660852
ACH-000167,-0.4616072700164833
ACH-000168,-0.003307679370510489
ACH-000169,-0.28882999995059233
ACH-000178,-0.5022156390641481
ACH-000183,-0.20905030857472706
ACH-000188,-0.3651569107172616
ACH-000189,-0.21037866833112365
ACH-000190,-1.0952474232054856
ACH-000198,-0.15452700990414814
ACH-000203,-0.5961305388018829
ACH-000204,-0.21357487066085606
ACH-000206,-0.17123749565196242
ACH-000207,-0.1136479343122208
ACH-000208,-0.42280101188971136
ACH-000210,-0.04222532908230794
ACH-000211,-0.1415834570273
ACH-000215,-0.4103492281946047
ACH-000221,-0.38205125724714
ACH-000222,-0.7333633213636823
ACH-000223,-0.9832809975584204
ACH-000226,-0.2704804904878785
ACH-000227,-0.1605222795135886
ACH-000228,-0.1318066141830176
ACH-000231,-0.15607018034648842
ACH-000232,-0.33004292764423804
ACH-000233,-0.3773235315678988
ACH-000234,-0.0999329671660456
ACH-000235,-0.37950525660269774
ACH-000237,-0.5606018514195854
ACH-000238,-0.14730557288271542
ACH-000242,-0.3295125297495052
ACH-000243,-0.4435290499711068
ACH-000244,-0.1955833101686024
ACH-000246,-0.13763766919414466
ACH-000248,-0.19488256408269825
ACH-000250,-0.42033460586805627
ACH-000251,-0.5870077172656816
ACH-000252,-0.29884802383240083
ACH-000253,-0.6946309418580376
ACH-000255,-0.3075100754754739
ACH-000256,-0.33228865603175084
ACH-000257,-0.2004223318531088
ACH-000258,-0.23548370350926584
ACH-000259,-0.1448011488224817
ACH-000260,-0.3206635208745119
ACH-000261,-0.3676764548128577
ACH-000262,-0.3288395109217273
ACH-000263,-0.1606807498061147
ACH-000264,-0.2249054633461292
ACH-000265,-0.16392752220342993
ACH-000266,-1.0644892760594478
ACH-000272,-0.0674187255777877
ACH-000274,-0.16710030555141642
ACH-000277,-0.2381715874830161
ACH-000278,-0.8070043698572311
