,A2ML1 (144568)
ACH-000004,0.013928433723861594
ACH-000005,0.17383724030135514
ACH-000007,0.13478100075854182
ACH-000009,0.05592677266969948
ACH-000011,0.35337515598469554
ACH-000012,0.25557099005133405
ACH-000013,0.15351973734761684
ACH-000014,0.16933390361658165
ACH-000015,0.11619854153268393
ACH-000017,0.0967301570612966
ACH-000018,0.17775080829086068
ACH-000019,0.156129339125362
ACH-000021,0.07177835668274961
ACH-000022,0.03317893988017274
ACH-000025,0.2152794953537048
ACH-000028,0.24747810371826426
ACH-000030,0.18910306558075884
ACH-000035,-0.0007958051518245412
ACH-000036,0.2940704216722284
ACH-000037,0.14430572562253774
ACH-000039,0.432795163860172
ACH-000040,0.028769232401180962
ACH-000041,-0.03225950490481628
ACH-000042,0.19088836115337934
ACH-000045,0.20325042888983186
ACH-000047,0.3235327218595983
ACH-000052,0.16412810449400014
ACH-000053,0.11287449312053342
ACH-000054,0.1106242255494962
ACH-000055,0.26486354681140617
ACH-000060,0.10571634964302283
ACH-000067,0.2461280370506513
ACH-000070,0.2993152175461046
ACH-000075,0.1821874464113509
ACH-000078,0.11235551178949753
ACH-000082,0.1832426322758429
ACH-000085,0.150774872784189
ACH-000086,0.2933996823489483
ACH-000087,0.13273576359291872
ACH-000092,0.22294463883907745
ACH-000095,0.14405295593736595
ACH-000097,0.2069343122851129
ACH-000098,0.11227945624593813
ACH-000099,0.13823000790900966
ACH-000108,0.14182328588510634
ACH-000113,0.2033360531031768
ACH-000116,0.20290717527534705
ACH-000118,0.1384683407742698
ACH-000120,0.14962052109619234
ACH-000123,0.09046507503930963
ACH-000127,0.104177095107985
ACH-000128,0.09168581685749984
ACH-000132,0.21827260698682016
ACH-000133,0.2456983237125576
ACH-000137,0.22114663546788746
ACH-000138,0.03256136997719292
ACH-000142,0.20488921240980415
ACH-000143,0.03248801983836876
ACH-000146,0.2191354729116933
ACH-000148,0.07052483567561336
ACH-000150,0.1900823586456863
ACH-000152,0.1468976149296094
ACH-000153,0.12326174673019995
ACH-000159,0.06405844846692459
ACH-000160,0.14567772059832115
ACH-000163,0.08903281752174216
ACH-000167,-0.2291376662049674
ACH-000168,0.24324115795118306
ACH-000169,0.09720727839657647
ACH-000178,0.18729479378700492
ACH-000183,0.10720314219761934
ACH-000188,0.20304129856917472
ACH-000189,0.2270088000269391
ACH-000190,-0.01357362607074957
ACH-000198,0.13052389883753224
ACH-000203,-0.018498309387809976
ACH-000204,0.19137472962841465
ACH-000206,0.10517606359795173
ACH-000207,0.32486515949973443
ACH-000208,0.4927674985773994
ACH-000210,0.00021339106603839267
ACH-000211,0.11906778422110632
ACH-000215,0.17036034733653174
ACH-000221,0.11345332791486387
ACH-000222,0.04981904766733961
ACH-000223,0.0777310068264739
ACH-000226,0.12870506893686195
ACH-000227,0.03655898507480376
ACH-000228,-0.025894689694738415
ACH-000231,0.15732970556703602
ACH-000232,0.0484441277836921
ACH-000233,0.11784941597923687
ACH-000234,0.13042396167970038
ACH-000235,0.12883803050368495
