,MAP1A (4130)
ACH-000004,-0.10526071791760724
ACH-000005,0.014780874883985802
ACH-000007,-0.010663813628791456
ACH-000009,-0.039809614285873575
ACH-000011,0.17825800335272812
ACH-000012,-0.019610653969241082
ACH-000013,-0.06775449201213765
ACH-000014,0.12129186010003032
ACH-000015,-0.005581812460453192
ACH-000017,0.00747230944528274
ACH-000018,-0.16755602085425958
ACH-000019,-0.06203299450548764
ACH-000021,0.09048545467260076
ACH-000022,0.08067138682894212
ACH-000025,-0.1053242467640258
ACH-000028,0.09808305808539396
ACH-000030,0.03190970360961423
ACH-000035,-0.11628776578793848
ACH-000036,0.0865171138187271
ACH-000037,-0.1263235783394452
ACH-000039,0.09334047746484192
ACH-000040,0.015733894724277372
ACH-000041,0.013202642156046504
ACH-000042,0.059948822757361166
ACH-000045,0.05072029307129302
ACH-000047,-0.013747126805766957
ACH-000052,-0.008504875981678685
ACH-000053,-0.003368532816407077
ACH-000054,0.13929241017373328
ACH-000055,0.019683616714078343
ACH-000060,-0.032217867957822034
ACH-000067,-0.10117282926215307
ACH-000070,-0.10712018532237624
ACH-000075,0.15855247365740194
ACH-000078,0.07315790994328149
ACH-000082,0.056973303393667324
ACH-000085,0.13317860999185266
ACH-000086,0.0312641680444029
ACH-000087,-0.0555151939974634
ACH-000092,0.016685764017452687
ACH-000095,0.09703831638324466
ACH-000097,0.04822061213834705
ACH-000098,-0.0022717272339702267
ACH-000099,0.011782875465801122
ACH-000108,-0.06358285032422605
ACH-000113,0.12873707927278336
ACH-000116,-0.02163912319110909
ACH-000118,0.09995615287545373
ACH-000120,-0.03505835455883671
ACH-000123,0.08340664341989154
ACH-000127,0.050357931092727584
ACH-000128,0.14905654407908878
ACH-000132,-0.08667181719032707
ACH-000133,0.07406128187998003
ACH-000137,-0.035230046184562665
ACH-000138,0.058303675325027386
ACH-000142,0.06144024924027315
ACH-000143,0.04745086246390664
ACH-000146,0.045006886371152965
ACH-000148,0.03406719729987124
ACH-000150,0.016909451036569163
ACH-000152,0.08095434450277539
ACH-000153,-0.10049945607567566
ACH-000159,0.06176774442264257
ACH-000160,-0.09520149805022272
ACH-000163,-0.03454598495378988
ACH-000167,0.252072282440044
ACH-000168,0.1497373454295096
ACH-000169,-0.01065684703464748
ACH-000178,0.007090877467217728
ACH-000183,-0.11523884319901415
ACH-000188,-0.07199882333272098
ACH-000189,0.2555586456876251
ACH-000190,-0.17035499935497095
ACH-000198,0.08607393990464095
ACH-000203,0.14659768151898347
ACH-000204,0.13684613549077426
ACH-000206,-0.1654895672346244
ACH-000207,-0.07062659693530406
ACH-000208,-0.3029369938512288
ACH-000210,0.1578237409232036
ACH-000211,0.12196717909498775
ACH-000215,0.07353208432983001
ACH-000221,-0.03334495310225325
ACH-000222,0.06347905112604117
ACH-000223,0.04599286455447274
ACH-000226,0.013834638451378356
ACH-000227,-0.04446408412363999
ACH-000228,0.003535535958457565
ACH-000231,-0.06332963009793835
ACH-000232,0.13066001688503656
ACH-000233,0.07957160525386373
ACH-000234,0.047714922141995283
ACH-000235,0.0032095264241121893
ACH-000237,0.0821860938853651
ACH-000238,0.14181953858699256
ACH-000242,-0.09092097036304124
ACH-000243,-0.03576380238449905
ACH-000244,0.04189009663795013
ACH-000246,0.07551593752257155
ACH-000248,-0.008408180565078489
ACH-000250,-0.010162759914484114
ACH-000251,-0.04963860119886938
ACH-000252,-0.14743245335402513
ACH-000253,-0.0014365032464562207
ACH-000255,-0.08102111293416579
ACH-000256,-0.13997805407323638
ACH-000257,-0.057473808385988485
ACH-000258,0.02976026702757185
ACH-000259,0.01753553958688197
ACH-000260,-0.08306482643513792
ACH-000261,0.02275397758662205
ACH-000262,0.12703265578574566
ACH-000263,-0.17923126563357425
ACH-000264,-0.04596123543263097
ACH-000265,-0.15710667771525175
ACH-000266,0.007188372074683114
ACH-000272,-0.050032806167156725
ACH-000274,-0.005952707692849646
ACH-000277,-0.07170525391380743
ACH-000278,0.013949664040968222
ACH-000279,-0.061898262733011765
ACH-000280,0.13007075442161006
ACH-000281,0.08173598237917429
ACH-000288,0.025167033956613082
ACH-000291,-0.04918372126420501
ACH-000293,0.07643730721024139
ACH-000294,-0.10778294388510813
ACH-000295,-0.04742509537626097
ACH-000296,0.10575603720572166
ACH-000302,-0.006566647403877877
ACH-000304,0.22006569550067134
ACH-000307,-0.0898138656531856
ACH-000308,0.023770405346096757
ACH-000310,0.2056685292051843
ACH-000311,0.07518464389905377
ACH-000312,-0.0317805393824617
ACH-000315,0.006937996417414316
ACH-000316,-0.0018274398109053415
ACH-000317,0.3627545034856314
ACH-000318,0.02725470252502715
ACH-000319,-0.024126953236828348
