,DNLZ (728489)
ACH-000004,-0.5562669910543478
ACH-000005,-0.5757315819328446
ACH-000007,-0.4037930516444702
ACH-000009,-0.6014506176243409
ACH-000011,-0.3531816054435404
ACH-000012,-0.4701272193615706
ACH-000013,-0.4745487016440295
ACH-000014,-0.7106402037443484
ACH-000015,-0.5690037480922279
ACH-000017,-0.3761237382666192
ACH-000018,-0.6210780507066996
ACH-000019,-0.061576484261354314
ACH-000021,-0.4681388623379646
ACH-000022,-0.5852541592867841
ACH-000025,-0.5029557138466028
ACH-000028,-0.3809445575706594
ACH-000030,-0.5514964140600875
ACH-000035,-0.34514982628849017
ACH-000036,-0.3519275872129927
ACH-000037,-0.3992784557633656
ACH-000039,-0.5331723414148286
ACH-000040,-0.5849580542254017
ACH-000041,-0.5159822571152255
ACH-000042,-0.3187262925370132
ACH-000045,-0.4958508098238079
ACH-000047,-0.4332365504548296
ACH-000052,-0.593288949138766
ACH-000053,-0.3077916267692426
ACH-000054,-0.2519047667384905
ACH-000055,-0.17239509217749366
ACH-000060,-0.3585611433112137
ACH-000067,-0.2776183984440369
ACH-000070,-0.036560719659508856
ACH-000075,-0.4048255405710173
ACH-000078,-0.2737276440152119
ACH-000082,-0.24948198796541146
ACH-000085,-0.14969324871776854
ACH-000086,-0.5537829406104295
ACH-000087,-0.22392698456628732
ACH-000092,-0.24675993375660885
ACH-000095,-0.4557862859528799
ACH-000097,-0.2362366121132456
ACH-000098,-0.4526087345157238
ACH-000099,-0.2724268729929709
ACH-000108,-0.4578947379124302
ACH-000113,-0.3990327932174053
ACH-000116,-0.20358438849117436
ACH-000118,-0.4022216604755359
ACH-000120,-0.37365691090609693
ACH-000123,-0.3980628932951933
ACH-000127,-0.5348513054958765
ACH-000128,-0.26864966721730354
ACH-000132,-0.2023561831294461
ACH-000133,-0.5564487591044772
ACH-000137,-0.4356200132433948
ACH-000138,-0.4738504420711749
ACH-000142,-0.8213034183766421
ACH-000143,-0.2927872043032909
ACH-000146,-0.30422449751814223
ACH-000148,-0.7308030230376908
ACH-000150,-0.329090739056537
ACH-000152,-0.4345146801155516
ACH-000153,-0.3425265629154611
ACH-000159,-0.3735530494903744
ACH-000160,-0.4580953129411514
ACH-000163,-0.5273717166935671
ACH-000167,-0.2375940404348006
ACH-000168,-0.3400546996350383
ACH-000169,-0.4970428076653868
ACH-000178,-0.24336920521582275
ACH-000183,-0.5375437640486704
ACH-000188,-0.4023857295236858
ACH-000189,-0.6214675228580129
ACH-000190,-0.8163312568249237
ACH-000198,-0.3542565820829576
ACH-000203,-0.9019830128918188
ACH-000204,-0.6635660561576838
ACH-000206,-0.7012403729649848
ACH-000207,-0.6088944848495293
