,SLCO4C1 (353189)
ACH-000004,0.08828741319954199
ACH-000005,-0.08091719970868037
ACH-000007,0.04433084326735443
ACH-000009,0.05353890846640611
ACH-000011,0.016287943705078238
ACH-000012,0.11642562403197028
ACH-000013,0.08874068737063484
ACH-000014,0.07439378636890724
ACH-000015,-0.16515365091178472
ACH-000017,0.049608723593631804
ACH-000018,0.08294640244935265
ACH-000019,0.112675146910221
ACH-000021,-0.005551369986800257
ACH-000022,0.13187799786967258
ACH-000025,0.07573364142111949
ACH-000028,0.024298581988696742
ACH-000030,0.08507265754800415
ACH-000035,0.11406558317240476
ACH-000036,0.06891515231345557
ACH-000037,0.0969952010387092
ACH-000039,0.0261051217365246
ACH-000040,0.07106969942001874
ACH-000041,0.1710026086251106
ACH-000042,0.06113493704312625
ACH-000045,0.03156341065263996
ACH-000047,0.049166481159778036
ACH-000052,-0.15775171454365308
ACH-000053,0.0058292304064275656
ACH-000054,0.04728413914131455
ACH-000055,0.0687188928432078
ACH-000060,-0.022471762131736208
ACH-000067,0.1190488459081232
ACH-000070,0.038709851563509534
ACH-000075,0.002709082080048179
ACH-000078,0.1111328502261386
ACH-000082,0.09627458025674096
ACH-000085,-0.09743939125117274
ACH-000086,0.009761988567799244
ACH-000087,0.011015920449293221
ACH-000092,0.011292966634753656
ACH-000095,0.024188063576747444
ACH-000097,0.07206352164560903
ACH-000098,0.07808022768745622
ACH-000099,-0.022772911505334646
ACH-000108,0.057455859846118014
ACH-000113,0.032318347200400666
ACH-000116,0.03933013883627393
ACH-000118,0.06329670335743452
ACH-000120,0.14418391646934098
ACH-000123,0.055788360870092084
ACH-000127,0.017169696143932794
ACH-000128,0.03276263652371273
ACH-000132,-0.02356518028534661
ACH-000133,-0.007318218854625181
ACH-000137,-0.0350902488847226
ACH-000138,-0.03252220937233282
ACH-000142,-0.028751429828712156
ACH-000143,0.0754330063611931
ACH-000146,0.03840036546206193
ACH-000148,0.04235535357001818
ACH-000150,0.1425571596332755
ACH-000152,0.08790039974974301
ACH-000153,0.2497829656258533
ACH-000159,0.004907360200199018
ACH-000160,0.16569513921576245
ACH-000163,0.05695634371341422
ACH-000167,-0.16495023158852726
ACH-000168,0.2044263414614815
ACH-000169,0.012953055418981741
ACH-000178,-0.10246822306602467
ACH-000183,0.033157636315097536
ACH-000188,-0.06257621081330987
ACH-000189,0.1747532264938884
ACH-000190,0.0909805784576945
ACH-000198,0.10804602922073192
ACH-000203,0.01869199497625947
ACH-000204,-0.056104395705290674
ACH-000206,0.07065749482134066
ACH-000207,0.07793946807806203
ACH-000208,-0.04339080011516625
ACH-000210,-0.10210958902913027
