,COX5A (9377)
ACH-000004,-0.3674456698368207
ACH-000005,-0.4826381900170928
ACH-000007,-0.5301351250761706
ACH-000009,-0.6196129647553996
ACH-000011,-0.4471779960363309
ACH-000012,-0.6163982495243786
ACH-000013,-0.4870871420970124
ACH-000014,-0.6326304816552792
ACH-000015,-0.4433518669327629
ACH-000017,-0.5087335648858068
ACH-000018,-0.5001695776232754
ACH-000019,-0.5201815598201441
ACH-000021,-0.4346679222001432
ACH-000022,-0.3721156514169482
ACH-000025,-0.6096386091392135
ACH-000028,-0.3594854278393476
ACH-000030,-0.5802628834996115
ACH-000035,-0.4693052616762773
ACH-000036,-0.3832671782508936
ACH-000037,-0.5743855674045781
ACH-000039,-0.6783794050250452
ACH-000040,-0.4908521840701648
ACH-000041,-0.5006729345833564
ACH-000042,-0.46245394332635403
ACH-000045,-0.4677556997264711
ACH-000047,-0.6667868661972276
ACH-000052,-0.6190827877799981
ACH-000053,-0.4502026482696254
ACH-000054,-0.4989514663565497
ACH-000055,-0.469079371737789
ACH-000060,-0.5172239072738828
ACH-000067,-0.5105312171401137
ACH-000070,-0.3806026970308574
ACH-000075,-0.3521865176966228
ACH-000078,-0.6820795362473104
ACH-000082,-0.5958599740914305
ACH-000085,-0.3876692700085693
ACH-000086,-0.4407651095078972
ACH-000087,-0.7680266496317278
ACH-000092,-0.6753186790111225
ACH-000095,-0.5997782351857491
ACH-000097,-0.5108286283326723
ACH-000098,-0.4087994585272244
ACH-000099,-0.6006364685416604
ACH-000108,-0.4788332081274834
ACH-000113,-0.5395948959786634
ACH-000116,-0.6600597763379384
ACH-000118,-0.7100212710781243
ACH-000120,-0.4272461666619392
ACH-000123,-0.5899034735827037
ACH-000127,-0.6449030619257741
ACH-000128,-0.5954510183415614
ACH-000132,-0.6051518887012837
ACH-000133,-0.3836100260775413
ACH-000137,-0.6380977281333199
ACH-000138,-0.4666453839181317
ACH-000142,-0.40650999660006304
ACH-000143,-0.5738126547367739
ACH-000146,-0.6277066131995024
ACH-000148,-0.6058396508514975
ACH-000150,-0.5608659074354202
ACH-000152,-0.5283191496953313
ACH-000153,-0.3904719852229613
ACH-000159,-0.4617113669580139
ACH-000160,-0.604168395728554
ACH-000163,-0.4405829193260295
ACH-000167,-0.5462466894066837
ACH-000168,-0.4486180688654761
ACH-000169,-0.6208278884962151
ACH-000178,-0.4762899856908189
ACH-000183,-0.4660415309738522
ACH-000188,-0.3883812723539645
ACH-000189,-0.3897668985361519
ACH-000190,-0.5290590701242079
ACH-000198,-0.5737501032027545
ACH-000203,-0.3390388000523393
ACH-000204,-0.5828289969892474
ACH-000206,-0.5231888656559684
ACH-000207,-0.3722555145961455
ACH-000208,-0.4502457755688509
ACH-000210,-0.6756320934715985
ACH-000211,-0.506356084207101
ACH-000215,-0.46711109747506
ACH-000221,-0.4976129783329088
ACH-000222,-0.3617184931009242
ACH-000223,-0.7172614840064995
ACH-000226,-0.6640144287749793
ACH-000227,-0.5263574714819975
ACH-000228,-0.520922220070742
ACH-000231,-0.4007620952969976
ACH-000232,-0.4893003806883119
ACH-000233,-0.5234653937403116
ACH-000234,-0.5600023443756038
ACH-000235,-0.480288770231737
ACH-000237,-0.31331805364613113
ACH-000238,-0.5878941008034836
ACH-000242,-0.6677240845855158
ACH-000243,-0.5478674226507805
ACH-000244,-0.5284431483644428
ACH-000246,-0.6110961127056862
ACH-000248,-0.6699779886197494
ACH-000250,-0.3905551517289115
ACH-000251,-0.7676624597091989
ACH-000252,-0.4208328234524005
ACH-000253,-0.5178810743798412
ACH-000255,-0.480989761522593
ACH-000256,-0.545046004737631
ACH-000257,-0.7406207882683424
ACH-000258,-0.7089424157591291
ACH-000259,-0.4308258256920337
ACH-000260,-0.4665185457206416
ACH-000261,-0.5599446408777746
ACH-000262,-0.5621679962846503
ACH-000263,-0.4486770593654066
ACH-000264,-0.583301490544611
ACH-000265,-0.6226259657635541
ACH-000266,-0.4953410825497458
ACH-000272,-0.5175327246862227
ACH-000274,-0.6100431557446535
ACH-000277,-0.7748612387350308
ACH-000278,-0.5499298793368833
ACH-000279,-0.5191671650445102
ACH-000280,-0.41841680426086897
ACH-000281,-0.502494384301058
ACH-000288,-0.5539049342645983
ACH-000291,-0.4639070496248378
ACH-000293,-0.5675934428612848
ACH-000294,-0.2723119956304203
ACH-000295,-0.5732245259955812
ACH-000296,-0.4039999429135816
ACH-000302,-0.4989755243996789
ACH-000304,-0.7661075044871409
ACH-000307,-0.5733571221617026
ACH-000308,-0.4157661451434427
ACH-000310,-0.5454117669344364
ACH-000311,-0.2673906479245268
ACH-000312,-0.6857233417793086
ACH-000315,-0.5204132921009049
ACH-000316,-0.6612171974799228
ACH-000317,-0.6388439974887506
ACH-000318,-0.4381226957783133
ACH-000319,-0.5478055879143183
ACH-000320,-0.5676385300535953
ACH-000322,-0.6441703167187341
ACH-000323,-0.5460224940536951
ACH-000324,-0.4073037066835581
ACH-000329,-0.5977398827328749
ACH-000330,-0.39185002888162573
ACH-000331,-0.4732025641837371
ACH-000332,-0.3614573615226146
ACH-000334,-0.4876731975658796
ACH-000335,-0.4736430407664062
ACH-000336,-0.6085060355302397
ACH-000337,-0.4794618091642789
ACH-000338,-0.6353166051868689
ACH-000339,-0.5780021459289543
ACH-000341,-0.5561271314917313
ACH-000348,-0.4191117853581627
ACH-000350,-0.543630288827986
ACH-000352,-0.5284513361637301
ACH-000356,-0.3050215040194533
ACH-000361,-0.5442850606677433
ACH-000362,-0.5196115048092773
ACH-000363,-0.573013076270173
ACH-000364,-0.7415577095334484
ACH-000365,-0.4009999483544534
ACH-000366,-0.4752683344370174
ACH-000368,-0.5692891532795772
ACH-000374,-0.631295247818784
ACH-000375,-0.6475203078157604
ACH-000376,-0.6138057601961013
ACH-000381,-0.56046087033433
ACH-000383,-0.4781441691528467
ACH-000387,-0.4866370775743662
ACH-000389,-0.26415083186092064
ACH-000390,-0.5109260690877304
ACH-000393,-0.428303993447622
ACH-000395,-0.2786288913774338
ACH-000396,-0.5098422053112449
ACH-000397,-0.4235143508899339
ACH-000401,-0.5698427537375567
ACH-000402,-0.6397060178838624
ACH-000403,-0.696486983087652
ACH-000404,-0.540557898504779
ACH-000406,-0.40638174152462986
ACH-000407,-0.41066291202911137
ACH-000408,-0.4214282190651582
ACH-000410,-0.5727330513021557
ACH-000411,-0.4979218839816226
ACH-000414,-0.5852341698539878
ACH-000415,-0.4576430422973925
ACH-000416,-0.5418125987862638
ACH-000420,-0.4534118830541411
ACH-000421,-0.4648497143297319
ACH-000424,-0.6178819903928329
ACH-000425,-0.4664309039130487
ACH-000426,-0.4219761582572372
ACH-000427,-0.736664039906206
ACH-000433,-0.475209091492614
ACH-000435,-0.7306639097296265
ACH-000436,-0.40670703009751735
ACH-000444,-0.5719386148985088
ACH-000445,-0.4842807248235464
ACH-000448,-0.5150325972339398
ACH-000450,-0.7245936947919523
ACH-000452,-0.4257861653733269
ACH-000454,-0.4089648015074404
ACH-000458,-0.4179874629326809
ACH-000459,-0.6258555367830181
ACH-000460,-0.4678779672729729
ACH-000461,-0.5368513258820607
ACH-000463,-0.5366176111967237
ACH-000464,-0.6179483246385555
ACH-000466,-0.38052917855063695
ACH-000467,-0.6830718253347966
ACH-000468,-0.4097960609690857
ACH-000469,-0.6707068663506668
ACH-000470,-0.4159500226291853
ACH-000471,-0.4855860592523541
ACH-000472,-0.4719730929746109
ACH-000473,-0.5240270599684734
ACH-000475,-0.5016092106149124
ACH-000476,-0.7735425300103305
ACH-000477,-0.5349276988496419
ACH-000479,-0.7298032703766857
ACH-000480,-0.6686212827202627
ACH-000481,-0.5241075855837724
ACH-000483,-0.6328465647407114
ACH-000484,-0.36941114443275
ACH-000485,-0.6183430987669691
ACH-000486,-0.5859505421232495
ACH-000487,-0.4724031981570906
ACH-000488,-0.6020183972561225
ACH-000490,-0.43772788882109065
ACH-000491,-0.6392844452523482
ACH-000495,-0.5531225583026957
ACH-000496,-0.5282266326397111
ACH-000499,-0.22573919827900146
ACH-000500,-0.666507737183224
ACH-000502,-0.3877458643221832
ACH-000503,-0.9762275962439259
ACH-000505,-0.5164060653341237
ACH-000507,-0.6342527699137058
ACH-000510,-0.4853561860645363
ACH-000511,-0.5065721664205198
ACH-000512,-0.4083638898917341
ACH-000516,-0.5844062136345067
ACH-000517,-0.5564877399459377
ACH-000518,-0.4426603725435827
ACH-000520,-0.6187265299237545
ACH-000521,-0.4348586021839776
ACH-000522,-0.5290316819350412
ACH-000524,-0.661690646908513
ACH-000527,-0.5410401346256697
ACH-000528,-0.6379981859900132
ACH-000537,-0.4875823070735407
ACH-000541,-0.5144305075410904
ACH-000542,-0.5566440760007549
ACH-000544,-0.5234929634549884
ACH-000545,-0.6261192945675725
ACH-000547,-0.5345999631525772
ACH-000548,-0.40817861257023935
ACH-000549,-0.5219006791228411
ACH-000550,-0.5177927223335945
ACH-000552,-0.587522705604926
ACH-000556,-0.5572871510393892
ACH-000557,-0.44407808220674827
ACH-000569,-0.3814735285983105
ACH-000570,-0.6597216997876431
ACH-000571,-0.5895785244402821
ACH-000573,-0.5757210608582402
ACH-000576,-0.4340731708820183
ACH-000579,-0.7303835436412811
ACH-000580,-0.3478318025286983
ACH-000584,-0.4325626839105485
ACH-000585,-0.5036312429981125
ACH-000588,-0.7222145815956708
ACH-000589,-0.5065293402736184
ACH-000591,-0.5938527210699809
ACH-000593,-0.619844035167789
ACH-000600,-0.6130062323250852
