,NELFB (25920)
ACH-000004,-1.367225705672657
ACH-000005,-1.3572444234826762
ACH-000007,-1.0954180928488126
ACH-000009,-1.4463810130535055
ACH-000011,-1.3230008340132715
ACH-000012,-0.9676089658841974
ACH-000013,-0.9175134073868108
ACH-000014,-1.4486442605165588
ACH-000015,-1.436359880317836
ACH-000017,-1.2037563733304777
ACH-000018,-1.356002092457276
ACH-000019,-0.6428561425010255
ACH-000021,-0.9478149464544894
ACH-000022,-1.1788397828338997
ACH-000025,-1.120531797590642
ACH-000028,-1.1984149546663658
ACH-000030,-1.2353832511369505
ACH-000035,-1.2727105680863595
ACH-000036,-1.2451594272806492
ACH-000037,-0.6538765171015466
ACH-000039,-1.2625950712231409
ACH-000040,-1.1342320916237272
ACH-000041,-0.9783473524366234
ACH-000042,-0.9842914057312872
ACH-000045,-1.0315870976396804
ACH-000047,-1.1250890054209648
ACH-000052,-1.4038786288431833
ACH-000053,-1.1842641076532063
ACH-000054,-1.0893700955309151
ACH-000055,-1.300766451619512
ACH-000060,-1.406523647096508
ACH-000067,-1.3114521549337248
ACH-000070,-1.1302259866318545
ACH-000075,-1.2100964035235238
ACH-000078,-1.1024481705265066
ACH-000082,-0.7120768385497672
ACH-000085,-1.1746219608964723
ACH-000086,-1.138720452834836
ACH-000087,-1.3507903241231232
ACH-000092,-1.0776584017594344
ACH-000095,-1.0234177415331631
ACH-000097,-1.1430448302008982
ACH-000098,-1.1089430344177835
ACH-000099,-1.0883715002935301
ACH-000108,-1.14669023513493
ACH-000113,-1.058146705639324
ACH-000116,-0.8422809718138813
ACH-000118,-1.0252419089705394
ACH-000120,-1.315879737926146
ACH-000123,-1.1899323451221318
ACH-000127,-1.2008768872337603
ACH-000128,-1.4723101210328202
ACH-000132,-1.0313923424339726
ACH-000133,-1.1020560298800564
ACH-000137,-1.3228455097681786
ACH-000138,-1.2849662414368146
ACH-000142,-1.117642209869322
ACH-000143,-1.2258688201224546
ACH-000146,-0.5413742282239217
ACH-000148,-1.4432016104985477
ACH-000150,-1.3150742146294294
ACH-000152,-1.2467190897587082
ACH-000153,-1.3590717649053263
ACH-000159,-0.9277474475470898
ACH-000160,-0.8691809342524505
ACH-000163,-1.1814557524000378
ACH-000167,-1.0173257346987348
ACH-000168,-1.1211988092639713
ACH-000169,-1.0826422064615129
ACH-000178,-1.3031706243742265
ACH-000183,-1.3849868228788609
ACH-000188,-1.1221160016179208
ACH-000189,-1.0367092245658849
ACH-000190,-0.9409698186397104
ACH-000198,-1.0863386570820175
ACH-000203,-1.1602973693556673
ACH-000204,-1.3742540931686236
ACH-000206,-1.4718087749166275
ACH-000207,-1.1550367368636645
ACH-000208,-1.0824348848307224
ACH-000210,-1.2467559331496034
ACH-000211,-1.367592247900722
ACH-000215,-1.4787676137467591
ACH-000221,-1.337977465109164
ACH-000222,-1.2750691544961756
ACH-000223,-1.0439267675512185
ACH-000226,-0.9430158787506144
ACH-000227,-0.8386790970411688
ACH-000228,-1.1608700480801566
ACH-000231,-1.3238788869753129
ACH-000232,-1.2754824331881345
ACH-000233,-1.2831211199458272
ACH-000234,-0.8697596531634589
ACH-000235,-0.9747464553440056
ACH-000237,-1.1650846234888486
ACH-000238,-1.1638044509243015
ACH-000242,-1.0686421998585078
ACH-000243,-1.213452141937676
ACH-000244,-1.1653089912949524
ACH-000246,-1.1499151741594311
ACH-000248,-1.4223237064518792
ACH-000250,-1.0428165569220869
ACH-000251,-1.1274772735453211
ACH-000252,-1.4289856885075143
ACH-000253,-0.9303220532318388
ACH-000255,-1.2688158061505157
ACH-000256,-0.9654673506230388
ACH-000257,-1.2542440295315864
ACH-000258,-0.9369374405096806
ACH-000259,-1.2199730989502826
ACH-000260,-1.1959021915351309
ACH-000261,-1.1535515548842794
ACH-000262,-1.0284161973392714
ACH-000263,-1.2233955299734145
ACH-000264,-0.9839677550528816
ACH-000265,-1.2477370627307078
ACH-000266,-1.2332455902449426
ACH-000272,-0.865376802257812
ACH-000274,-0.8590674829031519
ACH-000277,-0.8230103793160194
ACH-000278,-1.1246215292252375
ACH-000279,-1.1954532516601135
ACH-000280,-1.30940688974831
ACH-000281,-1.2548998637480906
ACH-000288,-1.3342866186077451
ACH-000291,-1.081686157050169
ACH-000293,-1.2908243923903335
ACH-000294,-1.6143570409084802
ACH-000295,-1.2935729278006474
ACH-000296,-1.0635928826987209
ACH-000302,-1.030712227256207
ACH-000304,-1.3307805351401745
ACH-000307,-1.3880556575291731
ACH-000308,-1.1810934882530348
ACH-000310,-0.7755187600023515
ACH-000311,-1.2169805503097475
ACH-000312,-1.2598792895043636
ACH-000315,-1.2764936090465375
ACH-000316,-1.442517440957008
ACH-000317,-1.450004193459676
ACH-000318,-1.3769700655425234
ACH-000319,-1.1508886302362835
ACH-000320,-1.3876885783830508
ACH-000322,-1.1685128621329497
ACH-000323,-1.3348950419530594
ACH-000324,-1.1768608447901
ACH-000329,-0.9603740308913328
ACH-000330,-1.2039350824879878
ACH-000331,-1.1738505599673774
ACH-000332,-1.1490425532305637
ACH-000334,-1.0361146909062062
ACH-000335,-1.1980174571533038
ACH-000336,-1.197902528602597
ACH-000337,-1.1479290097510708
ACH-000338,-0.7821858815511135
ACH-000339,-1.3198259422068106
ACH-000341,-0.9531586479946376
ACH-000348,-1.1895942334677634
