,MMS22L (253714)
ACH-000004,-1.5481346267764584
ACH-000005,-1.5490745147976839
ACH-000007,-1.3498233219603584
ACH-000009,-1.1768454007623077
ACH-000011,-1.3480793919632974
ACH-000012,-1.2457347535202177
ACH-000013,-1.4812309178119718
ACH-000014,-1.4373490684646109
ACH-000015,-1.1836941384108124
ACH-000017,-1.2390055737011847
ACH-000018,-1.2283283891396997
ACH-000019,-1.1172820610447418
ACH-000021,-1.2145631997003516
ACH-000022,-1.253113689261646
ACH-000025,-1.2933541580756074
ACH-000028,-1.3548765140637749
ACH-000030,-1.4514846379780495
ACH-000035,-1.3072192095457258
ACH-000036,-1.2660720475791536
ACH-000037,-1.2717962608172584
ACH-000039,-1.5145792753660996
ACH-000040,-1.357187210748179
ACH-000041,-1.5051430103867562
ACH-000042,-1.5592783961903876
ACH-000045,-1.0136297270406016
ACH-000047,-1.60754634649421
ACH-000052,-1.116286113574348
ACH-000053,-1.4497770680038158
ACH-000054,-1.15096224839531
ACH-000055,-1.3074360631306563
ACH-000060,-1.4492272164848983
ACH-000067,-1.3385058092693831
ACH-000070,-1.3023943792078336
ACH-000075,-1.1917910486739072
ACH-000078,-1.3088049938982418
ACH-000082,-1.2012763276016427
ACH-000085,-1.3291453619973248
ACH-000086,-1.3858480281748762
ACH-000087,-1.4985517703709093
ACH-000092,-1.4012468082993348
ACH-000095,-1.115661824143698
ACH-000097,-1.513521705392855
ACH-000098,-1.2127860263037238
ACH-000099,-1.0818086664833926
ACH-000108,-1.4948334117311617
ACH-000113,-1.0516717402349771
ACH-000116,-1.695174983637795
ACH-000118,-1.4362477341985167
ACH-000120,-1.304317642945476
ACH-000123,-1.3148180254627857
ACH-000127,-1.2877943274671284
ACH-000128,-1.1984694517515304
ACH-000132,-1.2937396788842142
ACH-000133,-1.4977925171152942
ACH-000137,-1.3817607119249429
ACH-000138,-1.4003052603757806
ACH-000142,-1.274616222309814
ACH-000143,-1.412428814975501
ACH-000146,-1.276834896834666
ACH-000148,-1.714409133987135
ACH-000150,-1.3432337553422329
ACH-000152,-1.3234683888812646
ACH-000153,-1.366138077902593
ACH-000159,-1.2083943442280245
ACH-000160,-1.5615892214038547
ACH-000163,-1.4359932607110981
ACH-000167,-1.7343341343585346
ACH-000168,-1.1957870688554
ACH-000169,-1.2536581413118386
ACH-000178,-1.2893927441965154
ACH-000183,-1.3815134537775258
ACH-000188,-1.312600285392303
ACH-000189,-1.2713363727269904
ACH-000190,-1.3793150973475956
ACH-000198,-1.109219961012094
ACH-000203,-2.1653043054910968
ACH-000204,-1.5216089486430662
ACH-000206,-1.0452856806692041
ACH-000207,-1.4141999161778205
ACH-000208,-0.9569593887082912
ACH-000210,-1.4512913458090235
ACH-000211,-1.2375685013148807
ACH-000215,-1.4262933574818175
ACH-000221,-1.547875699862561
ACH-000222,-1.259900329702229
ACH-000223,-1.1751816585546804
ACH-000226,-1.193246430202259
ACH-000227,-1.4756239184227389
ACH-000228,-1.4143091274500483
ACH-000231,-1.3880723386351008
ACH-000232,-1.2344231806807051
ACH-000233,-1.579518380001489
ACH-000234,-1.244882756269917
ACH-000235,-1.1396491554657833
ACH-000237,-1.4967918750830465
ACH-000238,-1.203071467719899
ACH-000242,-1.2309992897824156
ACH-000243,-1.283506343306175
ACH-000244,-1.257140703394688
ACH-000246,-1.4011038069852388
ACH-000248,-1.2077678648156274
ACH-000250,-1.2522176699532388
ACH-000251,-1.5470311341290888
ACH-000252,-1.2419968862209347
ACH-000253,-1.6446580808743525
ACH-000255,-1.2999317190372164
ACH-000256,-1.3148541385603838
ACH-000257,-1.4954384675001928
ACH-000258,-1.5725456235691433
ACH-000259,-1.2446623821481009
ACH-000260,-1.2940907122694134
ACH-000261,-1.1227999516103468
ACH-000262,-1.3378349462525254
ACH-000263,-1.2540260786330135
ACH-000264,-1.261309328345973
ACH-000265,-1.330533457745593
ACH-000266,-1.181119688597061
ACH-000272,-0.9869817591839966
ACH-000274,-1.4372286939662615
ACH-000277,-1.2468493792907278
ACH-000278,-1.8223314406627864
ACH-000279,-1.4942967360333446
ACH-000280,-1.5702408089324098
ACH-000281,-1.6072679812844326
ACH-000288,-1.3558983448418307
ACH-000291,-1.2554293045826723
ACH-000293,-1.3290406963502182
ACH-000294,-1.7224392655904943
ACH-000295,-1.2935726039774489
ACH-000296,-1.6246712485809385
ACH-000302,-1.1801244212912718
ACH-000304,-1.481676779692453
ACH-000307,-1.4136359678818566
ACH-000308,-1.3288130219464327
ACH-000310,-1.2711722294746717
ACH-000311,-1.0700685397253291
ACH-000312,-1.2550505108786
ACH-000315,-1.3535299090917603
ACH-000316,-1.288701884720447
ACH-000317,-1.6078786305081043
ACH-000318,-1.4394801946343756
ACH-000319,-1.4807652868147398
ACH-000320,-1.4551717416408505
ACH-000322,-1.127086637452394
ACH-000323,-1.3743488895281375
ACH-000324,-1.3118118331343769
ACH-000329,-1.2343584104681713
ACH-000330,-1.3156362498899277
ACH-000331,-1.5112540734484092
ACH-000332,-1.3302551558328886
ACH-000334,-1.6897290841079116
ACH-000335,-1.2632960977526215
ACH-000336,-1.3070607879248008
ACH-000337,-0.8615201594453082
ACH-000338,-1.1308787673571226
ACH-000339,-1.3967253560818071
ACH-000341,-1.284872838387078
ACH-000348,-1.1834092116722026
ACH-000350,-1.6490116860384374
ACH-000352,-1.4326435805029507
ACH-000356,-1.3283151254372711
ACH-000361,-1.0145396042438612
ACH-000362,-1.0768565569531916
ACH-000363,-1.3867318717665034
ACH-000364,-1.05587739661513
ACH-000365,-1.3143223197768883
ACH-000366,-1.25691937707452
ACH-000368,-1.5434617021857204
ACH-000374,-1.3932233501427769
ACH-000375,-1.3289721988315155
ACH-000376,-1.319366284351804
ACH-000381,-1.1691793405933395
ACH-000383,-1.0503563506280431
ACH-000387,-1.3926205452907177
ACH-000389,-1.4588805253478874
ACH-000390,-0.9227484257884184
ACH-000393,-1.0568780365976975
ACH-000395,-0.9745894852779852
ACH-000396,-1.2529958850997824
ACH-000397,-1.574416828535721
ACH-000401,-1.29216681899274
ACH-000402,-1.3603176323000454
ACH-000403,-1.1917910556818232
ACH-000404,-1.6166185841239828
ACH-000406,-1.4797174405723998
ACH-000407,-1.5880112328628981
ACH-000408,-1.3688852515706074
ACH-000410,-1.513918140853992
ACH-000411,-1.2640510042538744
ACH-000414,-1.3936252341353388
ACH-000415,-1.5048397760770338
ACH-000416,-1.4200054447538697
ACH-000420,-1.2354420166593578
ACH-000421,-1.5163126783220693
ACH-000424,-1.426336859523868
ACH-000425,-1.1779516805152586
ACH-000426,-1.2871092924951804
ACH-000427,-1.2884460206900423
ACH-000433,-1.1641206577459196
ACH-000435,-1.7558321266586139
ACH-000436,-1.0437345661010509
ACH-000444,-1.3741337920959908
ACH-000445,-1.2687393794663837
ACH-000448,-1.0867242390537546
ACH-000450,-1.302085976994796
ACH-000452,-1.1267393086568278
ACH-000454,-1.4452155056395342
ACH-000458,-1.3671793224859428
ACH-000459,-0.9417109889971048
ACH-000460,-1.175576199863141
ACH-000461,-1.1996646189182951
ACH-000463,-1.5357077191579658
ACH-000464,-1.3671109549016358
ACH-000466,-1.600018886033428
ACH-000467,-1.4762138201805617
ACH-000468,-1.3155884267952254
ACH-000469,-1.2625422361987753
ACH-000470,-1.4549219904122177
ACH-000471,-1.076592059805371
ACH-000472,-1.248185823827891
ACH-000473,-1.3621603905777229
ACH-000475,-1.378135747711082
ACH-000476,-1.1852160225440873
ACH-000477,-1.5398386793297243
ACH-000479,-1.1650047645735608
ACH-000480,-1.2617789344852628
ACH-000481,-1.5301477138236956
ACH-000483,-1.6317278575413507
ACH-000484,-1.3289365460709257
ACH-000485,-1.291442938504168
ACH-000486,-1.178878893694574
ACH-000487,-1.0199380530479307
ACH-000488,-1.3986656229927472
ACH-000490,-1.2275935119137886
ACH-000491,-1.446412487228372
ACH-000495,-1.2199464276626542
ACH-000496,-1.4417557546650734
ACH-000499,-1.3990833165651853
ACH-000500,-0.9232680466995796
ACH-000502,-1.4501403704676925
ACH-000503,-1.4753596969834808
ACH-000505,-1.164481405436664
ACH-000507,-1.3053861111110523
ACH-000510,-1.0882055938069437
ACH-000511,-1.432760412794911
ACH-000512,-1.0060200518449296
ACH-000516,-1.4714435134400496
ACH-000517,-1.2564814375436069
