,PPWD1 (23398)
ACH-000004,-1.5724400930277096
ACH-000005,-1.4398217030040232
ACH-000007,-1.1150851661350032
ACH-000009,-1.1805449951625948
ACH-000011,-1.4272927796847852
ACH-000012,-1.4042101016212218
ACH-000013,-1.4328227328655412
ACH-000014,-1.5395936487887167
ACH-000015,-1.3160442002624506
ACH-000017,-1.4398647011458232
ACH-000018,-1.4513994751393695
ACH-000019,-0.953709972770826
ACH-000021,-1.2174203788322158
ACH-000022,-1.1130154389813458
ACH-000025,-1.2324719679350338
ACH-000028,-1.220634478073254
ACH-000030,-1.3696364379327934
ACH-000035,-1.2417535501778458
ACH-000036,-1.3641043566752042
ACH-000037,-1.5064484157193463
ACH-000039,-1.3511607219754616
ACH-000040,-1.3419100711300995
ACH-000041,-1.5972818928387236
ACH-000042,-1.3844612647342935
ACH-000045,-1.1846821856547984
ACH-000047,-1.3992028178084406
ACH-000052,-1.0637294501794272
ACH-000053,-1.3202258972963077
ACH-000054,-1.183994210820143
ACH-000055,-1.3686770443257117
ACH-000060,-1.337988492188821
ACH-000067,-1.27446165227309
ACH-000070,-1.5573053860221722
ACH-000075,-1.0319732550619978
ACH-000078,-1.4113769991002436
ACH-000082,-1.306501598499882
ACH-000085,-1.4503371087243428
ACH-000086,-1.2197431791200088
ACH-000087,-1.2190076806236738
ACH-000092,-1.2637950150619115
ACH-000095,-1.2886173097737823
ACH-000097,-1.0776602964056088
ACH-000098,-1.2853080207041143
ACH-000099,-1.1315521016177634
ACH-000108,-1.4066111419797742
ACH-000113,-1.028646807821345
ACH-000116,-1.4043635464459887
ACH-000118,-1.2523291770916534
ACH-000120,-1.194450565056792
ACH-000123,-1.3400948555965932
ACH-000127,-1.3657393261287132
ACH-000128,-1.2576824989717943
ACH-000132,-1.053841092462211
ACH-000133,-1.4189903662304575
ACH-000137,-1.5018824053889546
ACH-000138,-1.2976185880828095
ACH-000142,-1.3829947584582007
ACH-000143,-1.3663546021817046
ACH-000146,-1.3758607318183256
ACH-000148,-1.5576511375413646
ACH-000150,-1.549401688250002
ACH-000152,-1.237925656958943
ACH-000153,-1.4670293003450567
ACH-000159,-1.0420193465726355
ACH-000160,-1.7767409610069578
ACH-000163,-1.2960604625753425
ACH-000167,-1.834111847727772
ACH-000168,-1.1720703528662066
ACH-000169,-1.3107870394855263
ACH-000178,-1.352421306418126
ACH-000183,-1.3019313268993822
ACH-000188,-1.2540295640000243
ACH-000189,-1.063388821896248
ACH-000190,-1.5580206827481322
ACH-000198,-1.2649389253745824
ACH-000203,-1.3709466070451652
ACH-000204,-1.1013142541038292
ACH-000206,-1.067718844587779
ACH-000207,-1.3268285456935789
ACH-000208,-1.480955679545038
ACH-000210,-1.3937581471921936
ACH-000211,-1.315887690913865
ACH-000215,-1.348354438928822
ACH-000221,-1.4580518774290776
ACH-000222,-1.4236927764003136
ACH-000223,-1.1340593933997003
ACH-000226,-1.1731407649704435
ACH-000227,-1.1227513910934284
ACH-000228,-1.2163692837636508
ACH-000231,-1.3301859957430373
ACH-000232,-1.3764295142265557
ACH-000233,-1.237720871240744
ACH-000234,-0.8664681822225972
ACH-000235,-1.2527455569074522
ACH-000237,-1.4398617128511741
ACH-000238,-1.7367759037407402
ACH-000242,-1.060643722137517
ACH-000243,-1.3543651301163402
ACH-000244,-1.2358290952923463
ACH-000246,-1.2551548416894878
ACH-000248,-1.3534242728493735
ACH-000250,-1.2322783934787505
ACH-000251,-1.2714538251476288
ACH-000252,-1.3040674379306179
