,RGS7BP (401190)
ACH-000341,-0.04735930107554971
ACH-000348,0.0073935358207923765
ACH-000350,-0.08017022311590717
ACH-000352,-0.0005077201478033221
ACH-000356,-0.04854497892045052
ACH-000361,0.054805919853852136
ACH-000362,0.11732503077865435
ACH-000363,0.05409421316465609
ACH-000364,0.02542405904081306
ACH-000365,-0.039171057804122764
ACH-000366,-0.009876101914427593
ACH-000368,-0.02931404809559733
ACH-000374,-0.1433423415208368
ACH-000375,-0.05990825094627585
ACH-000376,-0.026207510374745804
ACH-000381,0.09567440718557343
ACH-000383,-0.06806918707186746
ACH-000387,0.058597966210799185
ACH-000389,0.01694431426773886
ACH-000390,-0.03869021620738118
ACH-000393,-0.05324943007132473
ACH-000395,0.09020041048541558
ACH-000396,-0.05879467658157371
ACH-000397,-0.024204034887301933
ACH-000401,0.02806029681183345
ACH-000402,0.14865543610917556
ACH-000403,0.048607831277003084
ACH-000404,0.040635803701068084
ACH-000406,0.044025341824603985
ACH-000407,-0.06621513792648255
ACH-000408,0.015788621231074492
ACH-000410,-0.035579982882731634
ACH-000411,0.07411066946222344
ACH-000414,0.003729204414277865
ACH-000415,0.010005579210482552
ACH-000416,0.018720493623054463
ACH-000420,-0.21670517409869125
ACH-000421,0.011942331596633113
ACH-000424,0.0640845755040203
ACH-000425,-0.0905382423061542
ACH-000426,-0.04543327239336853
ACH-000427,-0.04162966280253808
ACH-000433,0.16033263924240368
ACH-000435,-0.14706801870095956
ACH-000436,-0.012783189591408162
ACH-000444,-0.08650291727017098
ACH-000445,0.013402187803735477
ACH-000448,-0.04200514667781112
ACH-000450,0.056671209271882066
ACH-000452,0.051625102212455615
ACH-000454,0.028417174210773357
ACH-000458,0.03242801329856239
ACH-000459,-0.1022523264601224
ACH-000460,-0.020938813926074218
ACH-000461,-0.1790909262935161
ACH-000463,-0.057469791350085925
ACH-000464,-0.011971504019677712
ACH-000466,0.0033079374771806964
ACH-000467,-0.10515181433872213
ACH-000468,0.07751015299144806
ACH-000469,0.2777194386935134
ACH-000470,-0.0879894662185043
ACH-000471,0.0097508940433788
ACH-000472,0.014959305243769438
ACH-000473,0.17008656094652122
ACH-000475,0.020511434316877637
ACH-000476,-0.05575937303119894
ACH-000477,0.02031412996034836
ACH-000479,0.20431001606253374
ACH-000480,0.06778942936287746
ACH-000481,0.009688272671381608
ACH-000483,0.08674391763641401
ACH-000484,-0.1595347859141485
ACH-000485,0.13162243248424088
ACH-000486,0.0033054370337134657
ACH-000487,-0.08762032996024234
ACH-000488,-0.0566584774982953
ACH-000490,-0.05032298914319308
ACH-000491,-0.18092680897026772
ACH-000495,0.1039077937070752
ACH-000496,0.023578081549509286
ACH-000499,0.0507401678507281
ACH-000500,0.29747984079193884
ACH-000502,0.04733735985055542
ACH-000503,-0.10519422653864828
ACH-000505,0.03241898837934525
ACH-000507,0.04724350003929958
ACH-000510,-0.06692354516323233
ACH-000511,-0.030548546225676487
ACH-000512,-0.10166891472014443
ACH-000516,0.06689383042297793
ACH-000517,0.057167252811038176
ACH-000518,4.072527989092634e-05
ACH-000520,0.008828831280818844
ACH-000521,0.07252202560271985
ACH-000522,-0.043534249881267306
ACH-000524,0.03345920432917905
ACH-000527,0.08206945122352068
ACH-000528,0.03284815392109953
ACH-000537,0.02806999367840271
ACH-000541,0.01847278426780649
ACH-000542,-0.10844665895676113
ACH-000544,0.12234983841170037
ACH-000545,-0.10711801475413933
ACH-000547,-0.19490968067972086
ACH-000548,0.021183365865878184
ACH-000549,-0.07356871749692409
ACH-000550,-0.10343868945314408
ACH-000552,-0.014252736653794448
ACH-000556,-0.05971883355742023
ACH-000557,0.00536914210930837
ACH-000569,0.19232585109717146
ACH-000570,0.08668999631273963
ACH-000571,0.04328000424212198
ACH-000573,-0.008440978080167996
ACH-000576,0.11057122171746224
ACH-000579,-0.10889662443625643
ACH-000580,0.044059945329352264
ACH-000584,0.028784208495633474
ACH-000585,0.055148603323717564
ACH-000588,0.04662197639821626
ACH-000589,0.12246135579307275
ACH-000591,0.02733409346282792
ACH-000593,0.008065952431082359
ACH-000600,0.21388037591608453
ACH-000601,-0.017832516239346684
ACH-000605,-0.08455217442123801
ACH-000606,0.1025038878329114
ACH-000608,0.07842800677358093
ACH-000614,0.0012246102203894368
ACH-000616,0.031045397634822176
ACH-000618,0.02247367801154483
ACH-000619,0.0021888941947161137
ACH-000620,-0.07285284422810519
ACH-000621,0.04800816971365502
ACH-000622,-0.03845922640429955
ACH-000623,-0.02597145510411893
ACH-000624,0.000792278981889552
ACH-000627,0.01310647079500997
ACH-000630,-0.0755693043419137
ACH-000631,-0.30692582019679504
ACH-000632,0.03569353352716091
ACH-000633,0.09453902344172196
ACH-000637,0.059930985384495664
ACH-000638,0.041155023357890966
ACH-000646,0.10724777427243133
ACH-000647,-0.06793698923730403
ACH-000648,0.057676466805509585
ACH-000649,-0.02032557242201989
ACH-000651,-0.01782227555263431
ACH-000652,-0.01430980738173449
ACH-000653,-0.034791358554483204
ACH-000657,0.07007334873611369
ACH-000658,-0.02479420626055509
ACH-000661,-0.008246787186698367
ACH-000662,0.05258229382661954
ACH-000663,-0.14466558821138575
ACH-000665,-0.11235521428410283
ACH-000671,-0.04924980446266901
ACH-000672,0.11849697088610475
ACH-000673,-0.02347472699942101
ACH-000676,0.010002561012888959
ACH-000677,-0.11691815940780804
ACH-000681,0.028173199920472694
ACH-000683,-0.015871927405335634
ACH-000684,0.1124077428627384
ACH-000688,-0.12227797075198958
ACH-000693,-0.07702404463369293
ACH-000694,0.0006084443699282229
ACH-000695,0.19129808834835074
ACH-000696,-0.002747538858718765
ACH-000697,-0.2689391072825336
ACH-000699,0.004290902993228477
ACH-000701,0.02713864731330384
ACH-000706,-0.07109045047161734
ACH-000711,0.04461976486975481
ACH-000713,-0.0396554445580318
ACH-000714,-0.2487130927044058
ACH-000718,0.10024251333375073
ACH-000720,0.0988908415639218
ACH-000721,-0.0595495060183975
ACH-000724,0.08815588149230208
ACH-000725,0.03154389847472732
ACH-000732,-0.04036758287700445
ACH-000734,-0.04001983097944109
ACH-000735,0.032282809372184036
ACH-000736,0.1426504862593729
ACH-000738,0.0007921169671458466
ACH-000746,0.01922114855407028
ACH-000747,-0.006472102341048364
ACH-000748,0.14714235489432154
ACH-000753,-0.05077597383084783
ACH-000756,0.05423420027950613
ACH-000757,-0.0982365328881429
ACH-000758,-0.2096306191562912
ACH-000760,0.04742285130449979
ACH-000762,-0.054239512089597805
