,HLA-C (3107)
ACH-000004,-0.683347140801125
ACH-000005,-0.3286052802583885
ACH-000007,-0.6931384618206834
ACH-000009,-0.4722271496747444
ACH-000011,-0.3220258090928366
ACH-000012,-0.6766333282901767
ACH-000013,-0.5004836440662119
ACH-000014,-0.7729916993398644
ACH-000015,-0.4871000183417766
ACH-000017,-0.4999468824053498
ACH-000018,-0.4871279575428618
ACH-000019,-0.3003762732728934
ACH-000021,-0.5904995286688417
ACH-000022,-0.5289320933398305
ACH-000025,-0.5414638091826752
ACH-000028,-0.21605852248029853
ACH-000030,-0.6361234300675821
ACH-000035,-0.538231524012453
ACH-000036,-0.7292552621078525
ACH-000037,-0.7387630261642709
ACH-000039,-0.6067652161370121
ACH-000040,-0.7896196793306507
ACH-000041,-0.4395016114084345
ACH-000042,-0.4994293029880966
ACH-000045,-0.44631040272660577
ACH-000047,-0.6144498451614262
ACH-000052,-0.5221832477602854
ACH-000053,-0.7360076751075263
ACH-000054,-0.6369281707823334
ACH-000055,-0.4107871816026582
ACH-000060,-0.711152084585908
ACH-000067,-0.6224480579897174
ACH-000070,-0.5492271011872687
ACH-000075,-0.4999998352456986
ACH-000078,-0.6153770077415691
ACH-000082,-0.7201050454797231
ACH-000085,-0.6427293922074886
ACH-000086,-0.3627765551335714
ACH-000087,-0.5632802639497043
ACH-000092,-0.5051041049502774
ACH-000095,-0.6977994395500525
ACH-000097,-0.41092827778612573
ACH-000098,-0.5608824837047574
ACH-000099,-0.5523835857225874
ACH-000108,-0.5319440560626666
ACH-000113,-0.5908789127385359
ACH-000116,-0.6044446633322349
ACH-000118,-0.4252282755203279
ACH-000120,-0.6623399014515062
ACH-000123,-0.4381008933492442
ACH-000127,-0.5811060804526854
ACH-000128,-0.7628288515394489
ACH-000132,-0.35818309157488204
ACH-000133,-0.5529663210123679
ACH-000137,-0.7154698679209788
ACH-000138,-0.5351205347149618
ACH-000142,-0.6183703760748244
ACH-000143,-0.5241139243534562
ACH-000146,-0.4623339949594391
ACH-000148,-0.4313868907931944
ACH-000150,-0.5141579509621861
ACH-000152,-0.6321912399422873
ACH-000153,-0.6099583569504566
ACH-000159,-0.5234724912745637
ACH-000160,-0.4134556123399004
ACH-000163,-0.4305879395477962
ACH-000167,-0.8191096413875735
ACH-000168,-0.7218578866181727
ACH-000169,-0.6341302847114657
ACH-000178,-0.5640786704903297
ACH-000183,-0.5335518042049402
ACH-000188,-0.5213704063557066
ACH-000189,-0.7105984544203194
ACH-000190,-0.521273196262732
ACH-000198,-0.6501573412654092
ACH-000203,-0.04436996637679176
ACH-000204,-0.4253032934528336
ACH-000206,-0.7201772780431442
ACH-000207,-0.6275556852326013
ACH-000208,-0.4521172099871448
ACH-000210,-0.43086270783666136
ACH-000211,-0.5359532488570964
ACH-000215,-0.5603280480535655
ACH-000221,-0.6752245250534882
ACH-000222,-0.6008989942604872
ACH-000223,-0.6945821101893598
ACH-000226,-0.6385544995395492
ACH-000227,-0.6265260376797105
ACH-000228,-0.8010256642720243
ACH-000231,-0.7053625328673623
ACH-000232,-0.7039075720736752
ACH-000233,-0.6714067708684769
ACH-000234,-0.6187131518576697
ACH-000235,-0.5564871217180511
ACH-000237,-0.5928409707345881
ACH-000238,-0.6626195709752156
ACH-000242,-0.7512756633808636
ACH-000243,-0.588103068482619
ACH-000244,-0.7232768482143016
ACH-000246,-0.45929494219443606
ACH-000248,-0.490873767541459
ACH-000250,-0.6505402480218272
ACH-000251,-0.7492022388474212
ACH-000252,-0.9144432161812284
