,TRAPPC6A (79090)
ACH-000004,-0.20495378724230856
ACH-000005,-0.24812377747019276
ACH-000007,-0.14869930502233106
ACH-000009,-0.17850539085675246
ACH-000011,-0.1454224076688221
ACH-000012,-0.1882693766763347
ACH-000013,-0.44173018456580615
ACH-000014,-0.25465999191246563
ACH-000015,-0.3009749596707397
ACH-000017,-0.07443401101509975
ACH-000018,-0.20941618479198174
ACH-000019,-0.04743907950998635
ACH-000021,-0.1798396211327971
ACH-000022,-0.30831408446494984
ACH-000025,0.08437674991191421
ACH-000028,-0.2265611837826222
ACH-000030,-0.16493536897453245
ACH-000035,-0.2491808620030068
ACH-000036,-0.2128798769285991
ACH-000037,-0.16772456479255976
ACH-000039,-0.10771241938174
ACH-000040,-0.12895259704284673
ACH-000041,-0.2758023084510308
ACH-000042,-0.12917944022278088
ACH-000045,-0.21021777059839455
ACH-000047,-0.1496073725956801
ACH-000052,-0.36147486067506857
ACH-000053,-0.34604593462230115
ACH-000054,-0.19067168433859172
ACH-000055,-0.2677429270092691
ACH-000060,-0.17980276263592185
ACH-000067,-0.20352117584676346
ACH-000070,-0.17741309698459284
ACH-000075,-0.09507359879332336
ACH-000078,-0.08990320167953736
ACH-000082,-0.27925809317801265
ACH-000085,-0.14320820198648845
ACH-000086,-0.22528514970590366
ACH-000087,-0.11530784550597732
ACH-000092,-0.2981130222629258
ACH-000095,-0.1103521456089328
ACH-000097,-0.26562984451034105
ACH-000098,-0.29862280630367705
ACH-000099,-0.2469626522574264
ACH-000108,-0.36905559468581856
ACH-000113,-0.2814438647488609
ACH-000116,-0.13364189703798046
ACH-000118,-0.18700161933224485
ACH-000120,-0.275356900985195
ACH-000123,-0.17051855855276213
ACH-000127,-0.201295781783658
ACH-000128,-0.04558445165148279
ACH-000132,-0.13086346552249667
ACH-000133,-0.20226048543586567
ACH-000137,-0.2829569965294444
ACH-000138,-0.16042571383104098
ACH-000142,-0.3599135419218887
ACH-000143,-0.24432404291505866
ACH-000146,-0.15548970138093776
ACH-000148,-0.18320186734094454
ACH-000150,-0.3466086002612739
ACH-000152,-0.3824651173875249
ACH-000153,-0.25319462619890154
ACH-000159,-0.2796595155002022
ACH-000160,-0.3912427204477559
ACH-000163,-0.08645038334757411
ACH-000167,-0.3804048177633003
ACH-000168,-0.020283367689163133
ACH-000169,-0.29498348674422165
ACH-000178,-0.08311987693256882
ACH-000183,-0.28384805325900603
ACH-000188,-0.1688500222969335
ACH-000189,-0.3618215428115332
ACH-000190,-0.3036413618564732
ACH-000198,-0.20704576091290333
ACH-000203,-0.3134188106508632
ACH-000204,-0.189624143119727
ACH-000206,-0.009123708278851908
ACH-000207,-0.22098830524141755
ACH-000208,-0.45481839350202
ACH-000210,-0.050004520719577485
ACH-000211,-0.2154496770980664
ACH-000215,-0.18940004705093216
ACH-000221,-0.2655447726892731
ACH-000222,-0.3071901475562118
ACH-000223,-0.18414941822921527
ACH-000226,-0.21065452350045696
ACH-000227,-0.2868901778606989
ACH-000228,-0.1799333735760422
ACH-000231,-0.1224859353149962
ACH-000232,-0.16582814096970927
ACH-000233,-0.3195132917547528
ACH-000234,-0.13698414497679418
ACH-000235,-0.20411346635376826
ACH-000237,-0.24896257044346756
ACH-000238,-0.10386159042752034
ACH-000242,-0.05914408037218773
ACH-000243,-0.20901764294221628
ACH-000244,-0.28752102432551524
ACH-000246,-0.2710947274365674
ACH-000248,-0.2828646908631193
ACH-000250,-0.256362629846962
ACH-000251,-0.34459025540953564
ACH-000252,0.14032282657627992
ACH-000253,-0.2434631708391218
ACH-000255,-0.32836557873573896
ACH-000256,-0.34348920094811525
ACH-000257,-0.05641105016288697
ACH-000258,-0.16487526407424805
ACH-000259,-0.26291318268396696
ACH-000260,-0.18815174535946086
ACH-000261,-0.19040168106668864
ACH-000262,-0.1911547301908612
ACH-000263,0.07528749203666787
ACH-000264,-0.06660492805135447
ACH-000265,-0.19776904873426635
ACH-000266,-0.19396032382481865
ACH-000272,-0.2817047512608166
ACH-000274,-0.19076440471940787
ACH-000277,-0.08013615805947533
ACH-000278,-0.2449413746712105
ACH-000279,-0.2032271842130112
ACH-000280,-0.19051203655905816
ACH-000281,-0.2691969349122811
ACH-000288,-0.12222271459413775
ACH-000291,-0.30973010289489644
ACH-000293,-0.3085764099532977
ACH-000294,-0.2189778757519978
ACH-000295,-0.2806866926627043
ACH-000296,-0.17287967863988546
ACH-000302,-0.3749075856025189
ACH-000304,-0.5112261684806311
ACH-000307,-0.05737608175956415
ACH-000308,-0.3042331010510216
ACH-000310,-0.33189858567146996
ACH-000311,-0.3454951534212098
ACH-000312,-0.2659734347948353
ACH-000315,-0.2309065722403336
ACH-000316,-0.10828433404166947
ACH-000317,-0.042921572328607376
ACH-000318,-0.3811287059262389
ACH-000319,-0.19541494390807573
ACH-000320,-0.1871284103124071
ACH-000322,0.052838042951107465
ACH-000323,-0.2820007410533385
ACH-000324,-0.2345850738616618
ACH-000329,-0.20357963983943148
ACH-000330,-0.1597751204591605
ACH-000331,-0.0796863797002776
ACH-000332,-0.2963761401430621
ACH-000334,-0.2135195162976748
ACH-000335,-0.23994587097096726
ACH-000336,-0.3844491111616932
ACH-000337,-0.2183093528451805
ACH-000338,-0.11166173732561054
ACH-000339,-0.2998399969226334
ACH-000341,-0.4683925070308991
ACH-000348,-0.13447165507976455
ACH-000350,-0.2737711982239823
ACH-000352,-0.10834810498202793
ACH-000356,-0.18519001983689648
ACH-000361,-0.06826164695471985
ACH-000362,-0.22601140957841195
ACH-000363,-0.12914479036025486
ACH-000364,-0.4280943775051695
ACH-000365,-0.20804059455016602
ACH-000366,-0.33398671352706216
ACH-000368,-0.3148042948943611
ACH-000374,-0.17340152277745938
ACH-000375,-0.5292591133325356
ACH-000376,-0.03900894990564965
ACH-000381,-0.27504915047618383
ACH-000383,-0.2436351604079469
ACH-000387,-0.05491223757577796
ACH-000389,-0.30354472845644936
ACH-000390,-0.1580544172950832
ACH-000393,-0.33914290588083273
ACH-000395,-0.2506944940712441
ACH-000396,-0.2513471240140292
ACH-000397,-0.2937049573597553
ACH-000401,-0.3083894773872723
ACH-000402,0.03468718182974352
ACH-000403,-0.11395029460553735
ACH-000404,-0.25833602691842245
ACH-000406,-0.1766854939481837
ACH-000407,-0.12491888692026233
ACH-000408,-0.20814847571009715
ACH-000410,-0.0954370549637636
ACH-000411,-0.22738695274773324
ACH-000414,-0.21408931837327533
ACH-000415,-0.2056741027197388
ACH-000416,-0.2000893731803069
ACH-000420,-0.04988805329406112
ACH-000421,-0.18040640049031867
ACH-000424,-0.3133000517362524
ACH-000425,-0.12221608917571622
ACH-000426,-0.3070149519595031
ACH-000427,-0.18170999952567465
ACH-000433,-0.2113257718152774
ACH-000435,-0.5365251219417912
ACH-000436,-0.23451819813549898
ACH-000444,-0.2503612225048105
ACH-000445,-0.39480868466862107
ACH-000448,-0.2338197165009363
ACH-000450,-0.21134277938593
ACH-000452,-0.18045660665558025
ACH-000454,-0.2958663970873782
ACH-000458,-0.2602703750288386
ACH-000459,-0.1097682602316162
ACH-000460,-0.2878420071635108
ACH-000461,-0.2501831929193814
ACH-000463,-0.2550449262927792
ACH-000464,-0.294125788207262
ACH-000466,-0.15042238813082726
ACH-000467,-0.2361613433007285
ACH-000468,-0.14871809502375793
ACH-000469,-0.15416718358617484
ACH-000470,-0.2674865786051376
ACH-000471,-0.21897341734873207
ACH-000472,-0.3013144365102505
ACH-000473,-0.17772679967418345
ACH-000475,-0.20909185307981493
ACH-000476,-0.25354448863993045
ACH-000477,-0.2689195963332784
ACH-000479,0.016750693207072277
ACH-000480,-0.1932534319014957
ACH-000481,-0.12088310897333256
ACH-000483,-0.3222903161739573
ACH-000484,-0.4416410415225134
ACH-000485,-0.16912509139442078
ACH-000486,-0.3637494093660644
ACH-000487,-0.15266722758048565
ACH-000488,-0.28401041797608795
ACH-000490,-0.263457866518022
ACH-000491,-0.2273737419682064
ACH-000495,-0.17628105738742172
ACH-000496,-0.16445364418532965
ACH-000499,-0.3240339431048551
ACH-000500,-0.21063007266987285
ACH-000502,-0.2898441937330889
ACH-000503,-0.23754173433446746
ACH-000505,-0.16364320622618314
ACH-000507,-0.3024576965847361
ACH-000510,-0.33008544866915923
ACH-000511,-0.17082062673341314
ACH-000512,-0.07180012516379547
ACH-000516,-0.241348629847212
ACH-000517,-0.2843691707105017
ACH-000518,-0.1578450012140516
ACH-000520,-0.37427264734446863
ACH-000521,-0.15854709438667422
ACH-000522,-0.13087868606896194
ACH-000524,-0.21063460279643886
ACH-000527,-0.22066755697284765
