,GLT8D1 (55830)
ACH-000004,-0.2582107531995862
ACH-000005,-0.16250697194889754
ACH-000007,-0.2561226535334141
ACH-000009,-0.0928453557517296
ACH-000011,-0.1523186407028267
ACH-000012,-0.308095306452265
ACH-000013,-0.12213564363547445
ACH-000014,-0.2437723766511381
ACH-000015,-0.19083400450670573
ACH-000017,-0.10297424155387293
ACH-000018,-0.0098450796835278
ACH-000019,-0.24225074226029294
ACH-000021,-0.11721319147458993
ACH-000022,-0.0011478013273655905
ACH-000025,-0.06836169341570728
ACH-000028,-0.2179347996852536
ACH-000030,-0.07780192868332103
ACH-000035,-0.023599137770468712
ACH-000036,-0.13469320490527806
ACH-000037,-0.060886811084680616
ACH-000039,-0.13509668167100006
ACH-000040,-0.15405510348531626
ACH-000041,-0.05318458339152838
ACH-000042,-0.23985385487607824
ACH-000045,-0.030182083870354582
ACH-000047,-0.2674800766817951
ACH-000052,-0.04963451778831221
ACH-000053,-0.1937482561992997
ACH-000054,-0.1237466425215347
ACH-000055,-0.2276647320730456
ACH-000060,-0.2645575514428441
ACH-000067,-0.15545388403402896
ACH-000070,-0.1277323946327394
ACH-000075,-0.033248188159022016
ACH-000078,-0.09353679856377074
ACH-000082,-0.12932120026975125
ACH-000085,-0.3741945136260027
ACH-000086,-0.11171802870136273
ACH-000087,-0.3008038770010601
ACH-000092,-0.21157956566996491
ACH-000095,-0.11987240080862535
ACH-000097,-0.11185567813559423
ACH-000098,-0.2100076008959496
ACH-000099,-0.09380256955774427
ACH-000108,-0.12563511899110855
ACH-000113,-0.14165367215816502
ACH-000116,-0.13034908537664158
ACH-000118,-0.2221238279631943
ACH-000120,-0.08407352565705839
ACH-000123,-0.0756840355370411
ACH-000127,-0.2002023272605382
ACH-000128,-0.21310065703736328
ACH-000132,-0.05932157373494675
ACH-000133,-0.16921283840660187
ACH-000137,-0.12007179631553525
ACH-000138,-0.16410843997109253
ACH-000142,-0.05091972102141932
ACH-000143,-0.09050026453112116
ACH-000146,-0.1512156232823864
ACH-000148,0.0002951852804026524
ACH-000150,-0.44444219678592456
ACH-000152,-0.10014939768681096
ACH-000153,-0.02822786162229741
ACH-000159,-0.1182358096308394
ACH-000160,-0.1874251720679335
ACH-000163,-0.2391596213004497
ACH-000167,-0.38331794387424817
ACH-000168,-0.14256314245226154
ACH-000169,-0.19122095640757272
ACH-000178,-0.06279381357457015
ACH-000183,-0.00324988693443063
ACH-000188,-0.0886805680189506
ACH-000189,-0.2467223645179437
ACH-000190,-0.09303321559574307
ACH-000198,0.030892905006198606
ACH-000203,-0.26777155855378304
ACH-000204,-0.019137288463368284
ACH-000206,-0.0016599351525480894
ACH-000207,-0.2720739514561666
ACH-000208,-0.4186353118251915
ACH-000210,-0.20501737502599027
ACH-000211,-0.20738546228357074
ACH-000215,-0.1255805643904372
ACH-000221,-0.040330598706040166
ACH-000222,0.1675333453653596
ACH-000223,-0.13963270847617248
ACH-000226,0.0826701721841765
ACH-000227,-0.2474285953002296
ACH-000228,-0.11582436170588792
ACH-000231,-0.1699219341792079
ACH-000232,-0.1149837180169306
ACH-000233,-0.17645880239596498
ACH-000234,-0.17090148043095402
ACH-000235,-0.10822469220191178
ACH-000237,-0.2346770873548523
ACH-000238,-0.2822568134497993
ACH-000242,-0.1515280141093397
ACH-000243,-0.11449754867888393
ACH-000244,-0.2090569575243024
ACH-000246,-0.08719981092840895
ACH-000248,-0.03690421962242247
ACH-000250,-0.0592654682116795
ACH-000251,-0.11744245627159515
ACH-000252,-0.3336922094588126
ACH-000253,-0.11184083824461456
ACH-000255,-0.10503041376112036
ACH-000256,-0.2671437933832781
ACH-000257,0.0016634856540635348
ACH-000258,0.020482374351119933
ACH-000259,-0.16853025169999478
ACH-000260,-0.19586266442396788
ACH-000261,-0.17872547261580454
ACH-000262,-0.18922738614491103
ACH-000263,-0.2784728668626748
ACH-000264,-0.2294045654241471
ACH-000265,-0.19200293729411672
ACH-000266,-0.15311182529812462
ACH-000272,-0.06993636908333542
ACH-000274,-0.17082514794720033
ACH-000277,-0.09898561495166178
ACH-000278,-0.15301051766120807
ACH-000279,-0.0695899359027762
ACH-000280,-0.2498187558789889
ACH-000281,-0.08413869288221333
ACH-000288,-0.048441897129732334
ACH-000291,-0.17928195871955238
ACH-000293,-0.2453259142287907
ACH-000294,0.0005668983705606735
ACH-000295,-0.2892623278255433
ACH-000296,-0.15414600204096446
ACH-000302,-0.19699616326151664
ACH-000304,-0.1427729142931065
ACH-000307,-0.13817717540441682
ACH-000308,-0.1540876439799507
ACH-000310,-0.10400383335353157
ACH-000311,-0.01578836610808631
ACH-000312,-0.07150508803630977
ACH-000315,-0.06853031950698843
ACH-000316,-0.1469826975388026
ACH-000317,-0.025723786049481303
ACH-000318,-0.04049224728483598
ACH-000319,-0.19351754464022508
ACH-000320,-0.05601696646258606
ACH-000322,-0.3299532108525691
ACH-000323,-0.0947348200956069
ACH-000324,-0.04554633130509144
ACH-000329,-0.12744364423076446
ACH-000330,-0.17540133486574594
ACH-000331,-0.03573012176144673
ACH-000332,-0.18315075738738787
ACH-000334,0.2106240025360126
ACH-000335,-0.13971030732981987
ACH-000336,-0.21290073089355185
ACH-000337,-0.11286751555203282
ACH-000338,0.10293010258712353
ACH-000339,-0.12798325518475906
ACH-000341,-0.07811715912916257
ACH-000348,-0.10327361055058128
ACH-000350,-0.19606756092952687
ACH-000352,-0.11769023676782757
ACH-000356,-0.18472851659663173
ACH-000361,-0.0009926257324419554
ACH-000362,-0.19610863062851908
ACH-000363,-0.09304691049633694
ACH-000364,-0.22128078473327914
ACH-000365,-0.08170524869195972
ACH-000366,-0.15037538801223305
ACH-000368,-0.12601917038804333
ACH-000374,-0.16317744000645246
ACH-000375,0.03683986748091375
ACH-000376,-0.20546960777174506
ACH-000381,-0.2828221712381629
ACH-000383,-0.19559383555042284
ACH-000387,-0.2810966370514442
ACH-000389,-0.13180354384315332
