,DEDD (9191)
ACH-000004,0.0583162315842127
ACH-000005,-0.10041498585376434
ACH-000007,-0.0646077406236269
ACH-000009,-0.2728494549716587
ACH-000011,-0.24228100899345545
ACH-000012,-0.13202456128506646
ACH-000013,-0.08590587920595713
ACH-000014,-0.0903391077409933
ACH-000015,-0.17715314501807294
ACH-000017,-0.1416469345686185
ACH-000018,-0.111429726556484
ACH-000019,0.14528035586024132
ACH-000021,-0.051501442263338734
ACH-000022,-0.18459167048975328
ACH-000025,-0.2480920782495705
ACH-000028,-0.022753949689474803
ACH-000030,-0.13872957193582516
ACH-000035,-0.12461742246787195
ACH-000036,-0.06898276405156566
ACH-000037,-0.11808718182409865
ACH-000039,-0.07325697147903087
ACH-000040,-0.0187642948173293
ACH-000041,-0.021273860886687108
ACH-000042,-0.011742298403914829
ACH-000045,-0.16265610121589785
ACH-000047,-0.12488031190016324
ACH-000052,-0.23187516154035645
ACH-000053,-0.13823327631079502
ACH-000054,-0.1821280869901281
ACH-000055,-0.0434171137781222
ACH-000060,0.03674915469245655
ACH-000067,-0.13391990505201606
ACH-000070,0.03599113712614325
ACH-000075,-0.13649762114630734
ACH-000078,-0.016865201764322945
ACH-000082,-0.09025135217987153
ACH-000085,-0.2521959928444861
ACH-000086,-0.1894332365912093
ACH-000087,0.021035340849512217
ACH-000092,-0.14429433490976473
ACH-000095,-0.0828816463721368
ACH-000097,-0.031322753842341115
ACH-000098,-0.11326012923898768
ACH-000099,0.09063076027505253
ACH-000108,0.034866961606496945
ACH-000113,-0.16273624834879266
ACH-000116,-0.0992012394796211
ACH-000118,-0.04094347751747265
ACH-000120,-0.13036329680523362
ACH-000123,-0.05171466243339674
ACH-000127,-0.15688546242323212
ACH-000128,0.053853098106422456
ACH-000132,-0.06549214429581282
ACH-000133,-0.1883940170008969
ACH-000137,-0.0848627971374147
ACH-000138,-0.08416003987691334
ACH-000142,-0.23960438272523216
ACH-000143,0.041366369318520335
ACH-000146,-0.06835282564554218
ACH-000148,-0.16961559165549597
ACH-000150,0.047005736076651115
ACH-000152,0.14573234654684408
ACH-000153,-0.3470362201574351
ACH-000159,-0.10933041215091836
ACH-000160,-0.09590932468385817
ACH-000163,-0.22399090260654986
ACH-000167,0.02957716998922973
ACH-000168,0.08220919748717449
ACH-000169,-0.05710556508556164
ACH-000178,-0.13524838228960176
ACH-000183,-0.17956837670111864
ACH-000188,-0.08699916540301654
ACH-000189,-0.09072759566563736
ACH-000190,0.004872986494949611
ACH-000198,-0.08342242553292263
ACH-000203,-0.3610556673394408
ACH-000204,-0.37271176852031707
ACH-000206,-0.1501756159099074
ACH-000207,-0.0697039280869446
ACH-000208,0.02092439308046333
ACH-000210,0.13107719736770196
ACH-000211,-0.21426004102100332
ACH-000215,-0.17589611196426125
ACH-000221,-0.2574605183341017
ACH-000222,-0.11373331015859
ACH-000223,-0.18680445724238512
ACH-000226,-0.20542319495695155
ACH-000227,0.05520056583397773
ACH-000228,-0.1145610568278575
ACH-000231,-0.021204313233714408
ACH-000232,-0.12307842144013778
ACH-000233,-0.18462344275642015
ACH-000234,-0.12217698076268375
ACH-000235,-0.09562670811268903
ACH-000237,-0.03195553908667024
ACH-000238,0.024180571720366664
ACH-000242,-0.15673084616533062
ACH-000243,-0.10311340768411087
