,SNED1 (25992)
ACH-000004,-0.3545804361986291
ACH-000005,-0.23279563350950125
ACH-000007,-0.008013643003388205
ACH-000009,-0.14562597941194072
ACH-000011,-0.17701165385149398
ACH-000012,0.024329038989871002
ACH-000013,-0.19075374039337856
ACH-000014,-0.13662129835428555
ACH-000015,-0.17585293124310455
ACH-000017,-0.09415604296731116
ACH-000018,-0.10951469238270092
ACH-000019,-0.20205749296339745
ACH-000021,-0.20226002854994735
ACH-000022,-0.19217845569597994
ACH-000025,-0.08179707552767577
ACH-000028,-0.08584798299927725
ACH-000030,-0.027773877650368813
ACH-000035,-0.11722314348137568
ACH-000036,-0.2544752440628347
ACH-000037,-0.31574139070693724
ACH-000039,-0.16144163033122733
ACH-000040,-0.20886194103214434
ACH-000041,-0.08567195103590379
ACH-000042,-0.3766087915986427
ACH-000045,-0.14569178830382187
ACH-000047,-0.18322859921635032
ACH-000052,-0.4040645665027517
ACH-000053,-0.2363902257249095
ACH-000054,-0.2104478022404819
ACH-000055,-0.19652191919448603
ACH-000060,-0.2331503538934939
ACH-000067,-0.2377073416388212
ACH-000070,-0.1971049882920068
ACH-000075,-0.12706616006885774
ACH-000078,-0.33701883714234915
ACH-000082,-0.2147269453098282
ACH-000085,-0.2473275217337987
ACH-000086,-0.15372074461482385
ACH-000087,-0.3902642639593777
ACH-000092,-0.19709063253492035
ACH-000095,-0.2904549124856265
ACH-000097,-0.12080472039821935
ACH-000098,-0.23231689931961155
ACH-000099,-0.32885776378758497
ACH-000108,-0.3441253667009626
ACH-000113,-0.1822350569323584
ACH-000116,-0.17465465173694053
ACH-000118,-0.17184402298990512
ACH-000120,-0.4170420848642534
ACH-000123,-0.10830926907072493
ACH-000127,-0.1868027180013666
ACH-000128,-0.1719085754831346
ACH-000132,-0.22474322789881573
ACH-000133,-0.2894400508989983
ACH-000137,-0.3429900844183633
ACH-000138,-0.2086659009523396
ACH-000142,-0.3309963584250877
ACH-000143,-0.3579586753538949
ACH-000146,-0.21692323035897554
ACH-000148,-0.3050617557690292
ACH-000150,-0.5898085418959687
ACH-000152,-0.1912741315218467
ACH-000153,0.007875273673532903
ACH-000159,-0.19296881245549044
ACH-000160,-0.1329825943017034
ACH-000163,-0.2224300348697032
ACH-000167,-0.2952135917548812
ACH-000168,-0.38985007103726416
ACH-000169,-0.12123404611552245
ACH-000178,-0.2888563289840356
ACH-000183,-0.1630752899648404
ACH-000188,-0.20924349507027168
ACH-000189,-0.09241767036881544
ACH-000190,-0.20201834231164525
ACH-000198,-0.19561116425060115
ACH-000203,-0.618107315043333
ACH-000204,-0.25539495149595703
ACH-000206,-0.10043570857582854
ACH-000207,-0.028761341606990638
ACH-000208,0.04379924564939998
ACH-000210,-0.056259908759216916
ACH-000211,-0.17753972117187555
ACH-000215,-0.1889568770889579
ACH-000221,-0.2674778405650681
ACH-000222,-0.25209428263997763
ACH-000223,-0.2391264042361913
ACH-000226,-0.08889945918219946
ACH-000227,-0.2825024571223955
ACH-000228,-0.3691140688020317
ACH-000231,-0.1357584043216228
ACH-000232,-0.15138175768755094
ACH-000233,-0.2320198220374444
ACH-000234,-0.14071675597930286
ACH-000235,-0.2227717046679583
ACH-000237,-0.41448264717183225
ACH-000238,0.02961607284183387
ACH-000242,-0.18377115528852966
ACH-000243,-0.19100032419493398
ACH-000244,-0.3597786625874553
ACH-000246,-0.17174446696313597
ACH-000248,-0.2798381269336822
ACH-000250,-0.2833851175754025
ACH-000251,-0.198378671557166
ACH-000252,-0.4202186681002191
ACH-000253,-0.17705923509425414
ACH-000255,-0.12045865584724225
ACH-000256,-0.26280852963594536
ACH-000257,-0.35612790957527085
ACH-000258,-0.1403824005909375
ACH-000259,-0.2292462865426404
ACH-000260,-0.24818697492418196
ACH-000261,-0.13130757525093945
