,B3GNT3 (10331)
ACH-000004,-0.28744662616853384
ACH-000005,-0.4137311133640529
ACH-000007,-0.21073141820870975
ACH-000009,-0.1213793669377301
ACH-000011,-0.19735197308897626
ACH-000012,-0.3063276531691709
ACH-000013,-0.27549416967085155
ACH-000014,-0.15114231861359126
ACH-000015,-0.32706615813226
ACH-000017,-0.17528362669938846
ACH-000018,-0.4708784387763557
ACH-000019,-0.367315918573266
ACH-000021,-0.39125234676665904
ACH-000022,-0.2528530549078991
ACH-000025,-0.3405297938102784
ACH-000028,-0.2989899012234697
ACH-000030,-0.2960850165957825
ACH-000035,-0.5146928829041383
ACH-000036,-0.21188199244088932
ACH-000037,-0.2542828043855295
ACH-000039,-0.4084705788920978
ACH-000040,-0.26889457572335584
ACH-000041,-0.32042692294120434
ACH-000042,-0.33624662736031097
ACH-000045,-0.2687017063570737
ACH-000047,-0.2553055906893148
ACH-000052,-0.3844066541087608
ACH-000053,-0.25189658952467625
ACH-000054,-0.21919401323400625
ACH-000055,-0.418231092280648
ACH-000060,-0.2780670727567774
ACH-000067,-0.2617438774545235
ACH-000070,-0.29453913923065345
ACH-000075,-0.3094892968158237
ACH-000078,-0.27716500518381354
ACH-000082,-0.21834437245276286
ACH-000085,-0.4213815474345182
ACH-000086,-0.3608425592206648
ACH-000087,-0.09014198654647762
ACH-000092,-0.3027078831805161
ACH-000095,-0.2917016141377253
ACH-000097,-0.37667426275287536
ACH-000098,-0.25365592642012186
ACH-000099,-0.26632027137847586
ACH-000108,-0.25374185927193954
ACH-000113,-0.2893381994656064
ACH-000116,-0.5489754906368616
ACH-000118,-0.2286335882865691
ACH-000120,-0.3024699341263536
ACH-000123,-0.284771303425779
ACH-000127,-0.3762415373400395
ACH-000128,-0.34088297769325515
ACH-000132,-0.26571856894455176
ACH-000133,-0.22974429334066834
ACH-000137,-0.3494922543738524
ACH-000138,-0.2654029099120029
ACH-000142,-0.1593931552334975
ACH-000143,-0.2058022499196729
ACH-000146,-0.31459907471199816
ACH-000148,-0.2480459317531409
ACH-000150,-0.44410669018497295
ACH-000152,-0.438859575026318
ACH-000153,-0.2371011291166669
ACH-000159,-0.2791721167475776
ACH-000160,-0.1923658222792528
ACH-000163,-0.3725455559392089
ACH-000167,-0.4039512313700096
ACH-000168,-0.3952904188233063
ACH-000169,-0.23999301094884745
ACH-000178,-0.30476735153261664
ACH-000183,-0.23913384405651655
ACH-000188,-0.4213015504300982
ACH-000189,-0.27134872883639705
ACH-000190,-0.1137042364871324
ACH-000198,-0.10349003238990344
ACH-000203,-0.637112324150052
ACH-000204,-0.3607479844790704
ACH-000206,-0.3102912208000297
ACH-000207,-0.4268757889826098
ACH-000208,-0.5113695159618874
ACH-000210,-0.2011208055277448
ACH-000211,-0.3173114283653837
ACH-000215,-0.2780071350918269
ACH-000221,-0.37955821464392736
ACH-000222,-0.06794596000670833
ACH-000223,-0.3178143491170466
ACH-000226,-0.3587916753650122
ACH-000227,-0.3320230024414955
ACH-000228,-0.38835071286291056
ACH-000231,-0.2101785825064561
ACH-000232,-0.2877053378462385
ACH-000233,-0.3429645333619695
ACH-000234,-0.3852564719278561
ACH-000235,-0.354118244144112
ACH-000237,-0.3084001390651791
ACH-000238,-0.07547780476799819
ACH-000242,-0.25438652635878234
ACH-000243,-0.5655723857312148
ACH-000244,-0.31263158249156275
ACH-000246,-0.18636162714493906
ACH-000248,-0.3243002500473248
ACH-000250,-0.31283981602669203
ACH-000251,-0.3386091768385715
ACH-000252,-0.2838484467328027
ACH-000253,-0.2796581415131431
ACH-000255,-0.292977599803902
ACH-000256,-0.2527434049884783
ACH-000257,-0.3811726668493463
ACH-000258,-0.22926732698657
ACH-000259,-0.36032233341450864
ACH-000260,-0.32446273492767297
ACH-000261,-0.35532124753521194
ACH-000262,-0.4287787282704673
ACH-000263,-0.3924605227397135
ACH-000264,-0.19505818124277766
ACH-000265,-0.22095247389576675
ACH-000266,-0.21995157759500447
ACH-000272,-0.2395132664535891
ACH-000274,-0.3023459272854308
ACH-000277,-0.06355378583669921
ACH-000278,-0.3001513687479225
ACH-000279,-0.2415051748746491
ACH-000280,-0.1971383475305137
ACH-000281,-0.12463821689178695
ACH-000288,-0.21545419677472044
ACH-000291,-0.2523942187736176
ACH-000293,-0.32239982778932025
ACH-000294,-0.2987224971413989
ACH-000295,0.0476980102473327
ACH-000296,-0.3811272279751965
ACH-000302,-0.4419495102595333
ACH-000304,-0.13905084077813545
ACH-000307,-0.3313356427096816
ACH-000308,-0.24210002859772956
ACH-000310,-0.44315855367818857
ACH-000311,-0.038448437015312684
ACH-000312,-0.15850665907183395
ACH-000315,-0.33746753073467345
ACH-000316,-0.12505633194765586
ACH-000317,-0.3197691087934381
ACH-000318,-0.4222204179928576
ACH-000319,-0.06424738028143348
ACH-000320,-0.4289162765340913
ACH-000322,-0.11132571637245567
ACH-000323,-0.2028904931342964
ACH-000324,-0.18777900886144952
ACH-000329,-0.301931598592461
ACH-000330,-0.23536376549567964
ACH-000331,-0.44671401059509797
ACH-000332,-0.2996265681171221
ACH-000334,-0.3653407034998668
ACH-000335,-0.32820406578133265
ACH-000336,-0.2600939291217614
ACH-000337,-0.3862201987678591
ACH-000338,-0.13308395505585358
ACH-000339,-0.3746633465081407
ACH-000341,-0.4540161674707442
ACH-000348,-0.2574693706530577
ACH-000350,-0.15592008737516064
ACH-000352,-0.3402156666065981
ACH-000356,-0.17069680986164426
ACH-000361,-0.08385436141695364
ACH-000362,-0.3194314133468344
ACH-000363,-0.3039013907083532
ACH-000364,-0.2660063765819847
ACH-000365,-0.16223967047378615
ACH-000366,-0.24205213559153504
ACH-000368,-0.21982028029319525
ACH-000374,-0.4605957597330285
ACH-000375,-0.34074426886848186
ACH-000376,-0.20719936223171406
ACH-000381,-0.17783730632867256
ACH-000383,-0.28689871994498994
ACH-000387,-0.2735499833045465
ACH-000389,-0.31738612126392296
ACH-000390,-0.3895846654701019
ACH-000393,-0.4544374987155325
ACH-000395,-0.7190270031274146
ACH-000396,-0.019897470992209447
ACH-000397,-0.13963341449012795
