,LAPTM4A (9741)
ACH-000004,-0.15981447998362353
ACH-000005,0.41807019110173976
ACH-000007,-0.10147206893314274
ACH-000009,-0.04578289817639343
ACH-000011,-0.011333224923678685
ACH-000012,0.02855876929576146
ACH-000013,0.04310829020823153
ACH-000014,0.08459658636193254
ACH-000015,-0.03236256848083602
ACH-000017,-0.06739318257797458
ACH-000018,-0.05839340089154984
ACH-000019,0.01633222734660203
ACH-000021,-0.012132108998267251
ACH-000022,-0.10977866507637457
ACH-000025,0.014088937305019481
ACH-000028,-0.013985815426408563
ACH-000030,-0.05317998840400364
ACH-000035,0.11754293296589978
ACH-000036,-0.19483692581203854
ACH-000037,-0.18458118581908128
ACH-000039,0.01972077053717012
ACH-000040,0.0038112755499233
ACH-000041,-0.07429222528432251
ACH-000042,0.028409517500130436
ACH-000045,0.014425358652865703
ACH-000047,0.03440098633963105
ACH-000052,0.06453293620010296
ACH-000053,-0.04720399344414241
ACH-000054,-0.08628687925726412
ACH-000055,0.02920605917433675
ACH-000060,0.10614270101328896
ACH-000067,-0.16727343234559908
ACH-000070,0.06764056680252914
ACH-000075,-0.05758190774473751
ACH-000078,-0.03151362991338192
ACH-000082,0.021669777206163712
ACH-000085,-0.019357842065222185
ACH-000086,-0.0726519087123657
ACH-000087,-0.13180281357949122
ACH-000092,-0.1780031266152009
ACH-000095,0.005543557877710371
ACH-000097,-0.026776296670642085
ACH-000098,0.00943884289255752
ACH-000099,-0.0739132009801191
ACH-000108,-0.15291570166166707
ACH-000113,-0.005052239809063276
ACH-000116,0.07173980592832888
ACH-000118,-0.04573708441092041
ACH-000120,0.043523655695551916
ACH-000123,-0.1706773573138352
ACH-000127,-0.02283938493916028
ACH-000128,0.03810935197305885
ACH-000132,-0.05778598301505233
ACH-000133,-0.12213473163117615
ACH-000137,-0.020434882954056
ACH-000138,-0.0072710985702467736
ACH-000142,-0.01588099892444108
ACH-000143,-0.006811420915337424
ACH-000146,-0.030150869678949074
ACH-000148,-0.019599657587754837
ACH-000150,0.1168198158720912
ACH-000152,-0.014600042281905503
ACH-000153,-0.08748166930618176
ACH-000159,-0.013787410610891362
ACH-000160,-0.12734327444509855
ACH-000163,-0.039910932540015584
ACH-000167,-0.16071706451393886
ACH-000168,-0.10032115972634087
ACH-000169,0.07276819339400377
ACH-000178,0.004215028894195222
ACH-000183,-0.1332352995155388
ACH-000188,0.08425283736840299
ACH-000189,-0.2306492163761985
ACH-000190,-0.17591244898135106
ACH-000198,-0.050796060849484063
ACH-000203,-0.4724676617370311
ACH-000204,-0.043466722545980885
ACH-000206,0.023792182496362342
ACH-000207,-0.11342099316770395
ACH-000208,-0.15756064995792415
ACH-000210,-0.07235640829619149
ACH-000211,0.021117776021289274
ACH-000215,-0.0338786645241436
ACH-000221,0.006052971653341731
ACH-000222,0.1527980826226134
ACH-000223,-0.05069506902241636
ACH-000226,-0.0433460432061617
ACH-000227,-0.06344444569223677
ACH-000228,-0.05109544421706658
ACH-000231,-0.05387963857145519
ACH-000232,-0.044069172717283216
ACH-000233,-0.052130287292505385
ACH-000234,-0.2734063712433515
ACH-000235,0.032832432110831734
ACH-000237,-0.029286171536271232
ACH-000238,0.009107663073190171
ACH-000242,-0.0943441637399282
ACH-000243,-0.08788286886083423
ACH-000244,-0.2354129022451796
ACH-000246,-0.04234473886151149
ACH-000248,0.0021721621609222808
ACH-000250,-0.12917393040207034
