,PLGLB2 (5342)
ACH-000004,-0.4653987216104697
ACH-000005,-0.482812027792931
ACH-000007,-0.2861543685529132
ACH-000009,-0.30198589413240945
ACH-000011,-0.23813235133282756
ACH-000012,-0.24953012577264366
ACH-000013,-0.20989617976867986
ACH-000014,-0.2864054884665631
ACH-000015,-0.4373694306488354
ACH-000017,-0.1981269004244208
ACH-000018,-0.3738790648729386
ACH-000019,-0.2459197905165728
ACH-000021,-0.4803817002173567
ACH-000022,-0.3174273610158251
ACH-000025,-0.2530166731086954
ACH-000028,-0.22178434491060775
ACH-000030,-0.31500485230179104
ACH-000035,-0.2683987144106234
ACH-000036,-0.2473169396692491
ACH-000037,-0.3897435144636782
ACH-000039,-0.3535353203863925
ACH-000040,-0.3421814184007547
ACH-000041,-0.20734938412222848
ACH-000042,-0.3023057860482692
ACH-000045,-0.3609069123299799
ACH-000047,-0.2439707730850621
ACH-000052,-0.3273822867639816
ACH-000053,-0.3709258157510256
ACH-000054,-0.3899029623784163
ACH-000055,-0.3585542869361967
ACH-000060,-0.20978201323044016
ACH-000067,-0.22215408738108253
ACH-000070,-0.3457673198833968
ACH-000075,-0.27187557550150376
ACH-000078,-0.40738560635350346
ACH-000082,-0.11869616639417167
ACH-000085,-0.2454864700963965
ACH-000086,-0.2935910664942745
ACH-000087,-0.2391660677301088
ACH-000092,-0.2868161404054293
ACH-000095,-0.296629780629782
ACH-000097,-0.210635665011858
ACH-000098,-0.290319108137903
ACH-000099,-0.3398877600312949
ACH-000108,-0.2681497975375242
ACH-000113,-0.3891263835967693
ACH-000116,-0.28718882932193873
ACH-000118,-0.22245025190828335
ACH-000120,-0.2464996982372448
ACH-000123,-0.353535027631945
ACH-000127,-0.3156893715619529
ACH-000128,-0.2877655727662009
ACH-000132,-0.2739401641896092
ACH-000133,-0.2989586284210324
ACH-000137,-0.31116323016199376
ACH-000138,-0.25367543077344235
ACH-000142,-0.2407572244675178
ACH-000143,-0.289223432587387
ACH-000146,-0.3384732532534557
ACH-000148,-0.2681398032600544
ACH-000150,-0.37992054331888
ACH-000152,-0.3085705243252365
ACH-000153,-0.4235488722118763
ACH-000159,-0.3067593889656083
ACH-000160,-0.4384828545443599
ACH-000163,-0.3796757466457465
ACH-000167,-0.475943347976912
ACH-000168,-0.20465863830662803
ACH-000169,-0.3002590187294536
ACH-000178,-0.3192415225106847
ACH-000183,-0.24005569448329614
ACH-000188,-0.3132368040793649
ACH-000189,-0.3249341644039612
ACH-000190,-0.34297359474835176
ACH-000198,-0.3826333814165708
ACH-000203,-0.4335081405696163
ACH-000204,-0.2260334879109976
ACH-000206,-0.14228197884835134
ACH-000207,-0.3134579891742795
ACH-000208,-0.2883976920905076
ACH-000210,-0.2436244655598895
ACH-000211,-0.3424378624283121
ACH-000215,-0.2476202942404376
ACH-000221,-0.3773844881464757
ACH-000222,-0.3721993507681248
ACH-000223,-0.2460672631914812
ACH-000226,-0.22018373985819809
ACH-000227,-0.2616590795433092
ACH-000228,-0.4228626865124453
ACH-000231,-0.2719195028710764
ACH-000232,-0.2742812926480517
ACH-000233,-0.3078730328721386
ACH-000234,-0.1966026988626573
ACH-000235,-0.2673442901076338
ACH-000237,-0.2987915220893604
ACH-000238,-0.4212014104696216
ACH-000242,-0.3707856346888628
ACH-000243,-0.3302647833111401
ACH-000244,-0.4038603689428703
ACH-000246,-0.3690678658305858
ACH-000248,-0.29263389785484223
ACH-000250,-0.29955842050369463
ACH-000251,-0.23296075315419346
ACH-000252,-0.3982770712524736
ACH-000253,-0.269382917446859
ACH-000255,-0.31182079685839703
ACH-000256,-0.29138843981299833
ACH-000257,-0.2650680393562066
ACH-000258,-0.28900581000949915
ACH-000259,-0.20862944284491275
ACH-000260,-0.3553535790483371
ACH-000261,-0.3969847757015621
ACH-000262,-0.3076891433410578
ACH-000263,-0.3845543443200458
ACH-000264,-0.17557976456760718
ACH-000265,-0.3835250785380031
ACH-000266,-0.3156382091041497
ACH-000272,-0.3215569211490089
ACH-000274,-0.28772263654986263
ACH-000277,-0.1449297924642646
ACH-000278,-0.2344838645554521
ACH-000279,-0.33280391874804344
ACH-000280,-0.3039951139650386
ACH-000281,-0.2408296337252021
ACH-000288,-0.2964979939481661
ACH-000291,-0.32725697156915123
ACH-000293,-0.3271969756134693
ACH-000294,-0.4771522154565537
ACH-000295,-0.3921428191520645
ACH-000296,-0.2501863996632305
ACH-000302,-0.2072215195120682
ACH-000304,-0.3562134884604906
ACH-000307,-0.2271159088640801
ACH-000308,-0.2433538929244459
ACH-000310,-0.2421081808100647
ACH-000311,-0.1554888045491103
ACH-000312,-0.21938075224865614
ACH-000315,-0.2796343087230499
ACH-000316,-0.3210977851703803
ACH-000317,-0.508436176762466
ACH-000318,-0.3770572857950225
ACH-000319,-0.3760434975259983
ACH-000320,-0.19960356406550714
ACH-000322,-0.25076659309207605
ACH-000323,-0.23158971070731355
ACH-000324,-0.4603505016245923
ACH-000329,-0.33571841970475264
ACH-000330,-0.4129040062288637
ACH-000331,-0.2377576800142093
ACH-000332,-0.280150610918753
ACH-000334,-0.3819610816374663
ACH-000335,-0.2248730498009973
ACH-000336,-0.34947425427681084
ACH-000337,-0.1474102618547957
ACH-000338,-0.4513973591580941
ACH-000339,-0.1521313024728791
ACH-000341,-0.3709251990625107
ACH-000348,-0.30888238964504483
ACH-000350,-0.1605158110707638
ACH-000352,-0.320575706653284
ACH-000356,-0.23614368940082905
ACH-000361,-0.4687039906236998
ACH-000362,-0.3686337822455761
ACH-000363,-0.25962783413563656
ACH-000364,-0.3338943487793031
ACH-000365,-0.23454566647395345
ACH-000366,-0.43644822877692796
ACH-000368,-0.36816447286251097
ACH-000374,-0.29859109490256835
ACH-000375,-0.19374690713215714
ACH-000376,-0.3720672954008239
ACH-000381,-0.3747822955479059
ACH-000383,-0.25167529904649555
ACH-000387,-0.25989140186457155
ACH-000389,-0.20849915066106145
ACH-000390,-0.3525492404067684
ACH-000393,-0.35989734977000765
ACH-000395,-0.2333461968104806
ACH-000396,-0.5369284327695818
ACH-000397,-0.2626025846112283
ACH-000401,-0.2966490936062127
ACH-000402,-0.5154058101574978
ACH-000403,-0.41478898966174105
ACH-000404,-0.40672184621890295
ACH-000406,-0.3602581398707964
ACH-000407,-0.29492029130255715
