,UBA52 (7311)
ACH-000004,-0.3202411786234867
ACH-000005,-0.6241464236464991
ACH-000007,-0.6621663737483333
ACH-000009,-0.4567790478761252
ACH-000011,-0.5590991385211765
ACH-000012,-0.7334399041795133
ACH-000013,-0.3981356697561768
ACH-000014,-0.23746186093944685
ACH-000015,-0.6506379598534535
ACH-000017,-0.20588269441796755
ACH-000018,-0.8126598591926804
ACH-000019,-0.5489434017105218
ACH-000021,-0.5439688860573967
ACH-000022,-0.34497006406290426
ACH-000025,-0.4040237570932261
ACH-000028,-0.3836840564342967
ACH-000030,-0.6365110259670684
ACH-000035,-0.466273264532476
ACH-000036,-0.4984141193720265
ACH-000037,-0.1794935735564839
ACH-000039,-0.3277233316192211
ACH-000040,-0.4295568974149577
ACH-000041,-0.4649830532491901
ACH-000042,-0.3748498650973345
ACH-000045,-0.2859802141261188
ACH-000047,-0.5323225101793105
ACH-000052,-0.283005164141166
ACH-000053,-0.4309549697061926
ACH-000054,-0.6587779739422206
ACH-000055,-0.2996179946389809
ACH-000060,-0.6465928607855537
ACH-000067,-0.4763131950250486
ACH-000070,-0.4945697372742948
ACH-000075,-0.3952570375649964
ACH-000078,-0.5787855355757267
ACH-000082,-0.2289500787617117
ACH-000085,-0.5570212423780388
ACH-000086,-0.5928304185856687
ACH-000087,-0.464549840874059
ACH-000092,-0.3817736386141332
ACH-000095,-0.4643199861203247
ACH-000097,-0.6590338453677306
ACH-000098,-0.5692795234345729
ACH-000099,-0.5139621932048002
ACH-000108,-0.6148835905776534
ACH-000113,-0.5211596577015009
ACH-000116,-0.29823949771525404
ACH-000118,-0.4165891129359411
ACH-000120,-0.4045562646012503
ACH-000123,-0.6927309690052739
ACH-000127,-0.4614608806832075
ACH-000128,-0.5234826184171332
ACH-000132,-0.1332695136637225
ACH-000133,-0.2390945905377851
ACH-000137,-0.4021973040028761
ACH-000138,-0.4532289785562307
ACH-000142,-0.7521597063844158
ACH-000143,-0.5888899497660196
ACH-000146,-0.22221489872369016
ACH-000148,-0.3248528679078663
ACH-000150,-0.7666574094008586
ACH-000152,-0.3151369152195165
ACH-000153,-0.19078030849003846
ACH-000159,-0.5875424610943495
ACH-000160,-0.45825234959004707
ACH-000163,-0.4720951933550751
ACH-000167,4.974864778639851
ACH-000168,-0.25428048093626954
ACH-000169,-0.4166549818873999
ACH-000178,-0.5027608764496425
ACH-000183,-0.14346177576153907
ACH-000188,-0.5760045125438565
ACH-000189,-0.27377967311113555
ACH-000190,-0.583880450310323
ACH-000198,-0.3226247319167689
ACH-000203,-0.9174276861537622
ACH-000204,-0.5046482092689211
ACH-000206,-0.6694645971466883
ACH-000207,-0.2954474659712569
ACH-000208,-0.24677250268779535
ACH-000210,-0.4247533383149053
ACH-000211,-0.36175489150729984
ACH-000215,-0.3494415070402772
ACH-000221,-0.546189556842731
ACH-000222,-0.4103647540476665
ACH-000223,-0.2832881104844328
ACH-000226,-0.4298396080412677
ACH-000227,-0.3676283714961284
ACH-000228,-0.4823976890086739
ACH-000231,-0.2059034219050263
ACH-000232,-0.5188321465752721
ACH-000233,-0.3656671553995639
ACH-000234,-0.4578595424343204
ACH-000235,-0.4224559209100842
ACH-000237,-0.4752984663540117
ACH-000238,-0.4096415151634943
ACH-000242,-0.7662313239981539
ACH-000243,-0.39076614285728223
ACH-000244,-0.2465377925342028
ACH-000246,-0.5322490086876343
ACH-000248,-0.4212325797754375
ACH-000250,-0.7903020215185154
ACH-000251,-0.18842889952018504
ACH-000252,-0.6514241184457729
ACH-000253,-0.4072062391645603
ACH-000255,-0.5746376387711107
ACH-000256,-0.5352769390681202
ACH-000257,-0.4228650813777368
ACH-000258,-0.4422220931211825
ACH-000259,-0.432309343324652
ACH-000260,-0.5759293160590849
ACH-000261,-0.4491067728114724
ACH-000262,-0.5179657193899954
ACH-000263,-0.4991513117847346
ACH-000264,-0.3222816254382098
ACH-000265,-0.6158855663903141
ACH-000266,-0.3668405806152133
ACH-000272,-0.3930370214060749
ACH-000274,-0.3893626473490368
ACH-000277,-0.26686062495073515
ACH-000278,-0.1945287586264364
ACH-000279,-0.25949274724254723
ACH-000280,-0.8195094607168757
ACH-000281,-0.5709571204289202
ACH-000288,-0.3913130394103012
ACH-000291,-0.6343027826657003
ACH-000293,-0.5031459790126688
ACH-000294,-0.1951713742774876
ACH-000295,-0.2958841416764145
ACH-000296,-0.347370857755246
ACH-000302,-0.5032003335469509
ACH-000304,-0.4995201404710848
ACH-000307,-0.584468779675119
ACH-000308,-0.2899565578689324
ACH-000310,-0.43891261866113795
ACH-000311,-0.5751389993067776
ACH-000312,-0.3624355358162006
ACH-000315,-0.5731415820634059
ACH-000316,-0.3193269961336916
ACH-000317,-0.2752493491901953
ACH-000318,-0.3087276732843481
ACH-000319,-0.4546045860036539
ACH-000320,-0.42980930799989536
ACH-000322,-0.5128267519075537
ACH-000323,-0.4047967505399966
ACH-000324,-0.4997438455733129
ACH-000329,-0.23910356159873905
ACH-000330,-0.6001460272204514
ACH-000331,-0.6455459178013753
ACH-000332,-0.4665960388469298
ACH-000334,-0.1447349894655629
ACH-000335,-0.7184784883722973
ACH-000336,-0.4828152652203783
ACH-000337,-0.7328733858618143
