,ATP6V1B2 (526)
ACH-000004,-1.7184268466062511
ACH-000005,-1.7563105505760657
ACH-000007,-1.3635819451416566
ACH-000009,-1.3478360073369091
ACH-000011,-1.3289516963012389
ACH-000012,-1.4079081757232748
ACH-000013,-1.0034349606415771
ACH-000014,-1.6149511437040438
ACH-000015,-1.5301225744663502
ACH-000017,-0.15059036633464148
ACH-000018,-1.5365826389189199
ACH-000019,-1.13376595776777
ACH-000021,-1.0289806175905918
ACH-000022,-1.301715940061437
ACH-000025,-1.5514016415643337
ACH-000028,-1.423041713110415
ACH-000030,-1.4520023976656462
ACH-000035,-1.5444845463447114
ACH-000036,-1.3277101257125616
ACH-000037,-0.6477583333353575
ACH-000039,-1.4165238407825929
ACH-000040,-1.2530931881456244
ACH-000041,-1.0889309673686864
ACH-000042,-0.9252041281992988
ACH-000045,-1.2584627494757528
ACH-000047,-1.4641911572146462
ACH-000052,-1.2436411545933364
ACH-000053,-1.3967342740162474
ACH-000054,-1.467963677101805
ACH-000055,-1.4043907340508777
ACH-000060,-1.2883936996346743
ACH-000067,-1.3061549577871274
ACH-000070,-1.5244088988669058
ACH-000075,-1.2954364389166524
ACH-000078,-1.284165601973554
ACH-000082,-1.0861715094496844
ACH-000085,-1.5045062730110526
ACH-000086,-1.3022112699185482
ACH-000087,-1.3789334283797106
ACH-000092,-1.4841039745448632
ACH-000095,-1.2361492447898086
ACH-000097,-0.4621442526402084
ACH-000098,-1.2841539677480778
ACH-000099,-1.1373647159536715
ACH-000108,-1.4654593326325125
ACH-000113,-1.2665089912349516
ACH-000116,-0.4692253599890033
ACH-000118,-1.4574853461620223
ACH-000120,-1.204307001353498
ACH-000123,-1.4595945367572123
ACH-000127,-1.4572829275256831
ACH-000128,-1.4913879863579045
ACH-000132,-1.49195839499325
ACH-000133,-1.3824273905134377
ACH-000137,-1.3195488148254362
ACH-000138,-1.551707018793158
ACH-000142,-1.2514701934393664
ACH-000143,-1.4374933075460292
ACH-000146,-1.4533065601046935
ACH-000148,-1.260042987039223
ACH-000150,-1.4761659231791435
ACH-000152,-1.0658054905618668
ACH-000153,-1.7914243039277
ACH-000159,-1.3169917814132095
ACH-000160,-0.8487422142203596
ACH-000163,-0.9708379480504409
ACH-000167,-1.7786709601930206
ACH-000168,-1.1943216348289267
ACH-000169,-1.4706118066474714
ACH-000178,-1.3831241311655778
ACH-000183,-1.4212191857044678
ACH-000188,-1.2631971203740129
ACH-000189,-1.2280469877078053
ACH-000190,-1.3837447437272148
ACH-000198,-1.4606899002756824
ACH-000203,-1.2938734944394978
ACH-000204,-1.32141587940974
ACH-000206,-1.3450124486718693
ACH-000207,-1.2714573987810085
ACH-000208,-1.4077678124543729
ACH-000210,-1.2170038419035805
ACH-000211,-1.2201391867832672
ACH-000215,-1.413476821198453
ACH-000221,-1.4656867010960233
ACH-000222,-1.4540573147411529
ACH-000223,-1.1672337315921861
ACH-000226,-1.3673763548793456
ACH-000227,-1.1230944761582196
ACH-000228,-0.7893179357064845
ACH-000231,-1.2544473797585518
ACH-000232,-1.3870930749168116
ACH-000233,-1.480270135609649
ACH-000234,-1.273704701027871
ACH-000235,-1.3327351382756367
ACH-000237,-1.352986280073316
ACH-000238,-1.2269969540604997
ACH-000242,-1.206746565480383
ACH-000243,-1.5069040510750478
ACH-000244,-1.3943583763785603
ACH-000246,-1.3018719353670982
ACH-000248,-0.7293192780753838
ACH-000250,-1.2158248665873148
ACH-000251,-1.318515853214682
ACH-000252,-1.5910934965703467
ACH-000253,-1.2960696283309387
ACH-000255,-1.257383506556009
ACH-000256,-1.4795104917228188
ACH-000257,-1.2557175671056913
ACH-000258,-1.3993305949822619
ACH-000259,-1.5437236133377708
ACH-000260,-1.135532985409134
ACH-000261,-1.4398456468216645
ACH-000262,-1.6538359670080376
ACH-000263,-1.4281205063498086
ACH-000264,-1.5304114911546145
ACH-000265,-1.2849309206883477
ACH-000266,-1.3910983425623784
ACH-000272,-1.4117522170118668
ACH-000274,-1.153943291513928
ACH-000277,-1.6592038855205322
ACH-000278,-1.6878973140275564
ACH-000279,-1.2938277499752262
ACH-000280,-1.108179676473283
ACH-000281,-1.4570513216702012
ACH-000288,-1.3038034907856664
ACH-000291,-1.284745326827162
ACH-000293,-1.0507043273919412
ACH-000294,-1.5239041964960158
ACH-000295,-1.5465148647840763
ACH-000296,-1.2613743327516551
ACH-000302,-1.216620180425084
ACH-000304,-2.4720616818054033
ACH-000307,-1.393433488593783
ACH-000308,-1.5543323920366905
ACH-000310,-1.2442707011523868
ACH-000311,-1.1911612783933179
ACH-000312,-1.3479875836175976
ACH-000315,-1.1648417018832509
ACH-000316,-1.1971078178016814
ACH-000317,-1.738193549976525
ACH-000318,-1.509835527285029
ACH-000319,-1.3858869991274023
ACH-000320,-1.4836470882379602
ACH-000322,-1.5873559838977878
ACH-000323,-0.2744172031230102
ACH-000324,-1.1640995447708633
ACH-000329,-1.2784275029454772
ACH-000330,-0.8621182825146839
ACH-000331,-1.0849313908855112
ACH-000332,-1.4176682122299682
ACH-000334,-1.641152600693938
ACH-000335,-1.4877740364183865
ACH-000336,-1.4580147696669945
ACH-000337,-1.2982507303485051
ACH-000338,-1.6587239424171754
ACH-000339,-1.4130862529178845
ACH-000341,-0.9755728709263808
ACH-000348,-1.9089936999966255
ACH-000350,-1.298720785527753
ACH-000352,-0.5630242543095931
ACH-000356,-1.3855957854396346
ACH-000361,-1.6163489625600884
ACH-000362,-1.1448059968176938
ACH-000363,-1.4603414685014109
ACH-000364,-1.4223312725105268
ACH-000365,-1.4336830746640137
ACH-000366,-1.320673917879171
ACH-000368,-1.3134138699064817
ACH-000374,-1.6290861761955084
ACH-000375,-1.3882952864457645
ACH-000376,-1.1833078956584095
ACH-000381,-1.2780844493935046
ACH-000383,-1.5419987676656417
ACH-000387,-1.7246659079401712
ACH-000389,-1.495635724329616
ACH-000390,-1.3741952551693963
ACH-000393,-1.2732780273591535
ACH-000395,-1.3173594970900786
ACH-000396,-2.009366630019054
ACH-000397,-1.5799180291780712
ACH-000401,-1.4226648822986243
ACH-000402,-1.514361228579281
ACH-000403,-1.6210488504811429
ACH-000404,-1.7473778690552564
ACH-000406,-1.3471452243163808
ACH-000407,-1.4619585569727762
ACH-000408,-1.2524296623774822
ACH-000410,-1.3773903424562346
ACH-000411,-1.298602981247576
ACH-000414,-1.456711214132385
ACH-000415,-1.1902726358918407
ACH-000416,-1.3588492170817883
ACH-000420,-1.3232971044373758
ACH-000421,-1.5420038694403653
ACH-000424,-1.2818290724251231
ACH-000425,-1.4937050081904495
ACH-000426,-1.299794671410833
ACH-000427,-0.9465846168597258
ACH-000433,-1.2619442200359643
ACH-000435,-1.7252968473778114
ACH-000436,-1.5743339601905282
ACH-000444,-1.439239770977876
ACH-000445,-1.2376856814200672
ACH-000448,-1.3444349404102345
ACH-000450,-1.5542514731859098
ACH-000452,-1.3710716166788657
ACH-000454,-1.1795832707062657
ACH-000458,-1.1885055882661617
ACH-000459,-2.0139296488850618
ACH-000460,-1.4808886089757465
ACH-000461,-1.4481893547816702
ACH-000463,-1.2769792550120571
ACH-000464,-1.3846895853786274
ACH-000466,-1.6473639069567168
ACH-000467,-1.6571402898193797
ACH-000468,-1.496379369134061
ACH-000469,-1.4705211664778732
ACH-000470,-1.7164238904890168
ACH-000471,-1.3598820834637948
ACH-000472,-1.4084507701565716
ACH-000473,-1.3934178991452086
ACH-000475,-1.5131404526221683
ACH-000476,-1.580888988751314
ACH-000477,-2.1519089176480217
ACH-000479,-1.3955968689406821
ACH-000480,-1.2269513708152675
