,RAPH1 (65059)
ACH-000004,-0.14281986058520788
ACH-000005,0.011433284229937076
ACH-000007,-0.22620895962507506
ACH-000009,-0.3273852021537865
ACH-000011,-0.07171882765139459
ACH-000012,0.004096138674024488
ACH-000013,-0.11079144334781638
ACH-000014,-0.22146346266300448
ACH-000015,-0.19711834742508375
ACH-000017,-0.14726253289742652
ACH-000018,-0.3147024530733717
ACH-000019,-0.1081673179113494
ACH-000021,0.04111343846363949
ACH-000022,-0.10091401534729004
ACH-000025,-0.2939874651170777
ACH-000028,-0.14144567135293987
ACH-000030,-0.08274692537465278
ACH-000035,0.2454230164098205
ACH-000036,-0.20247929643491394
ACH-000037,-0.1199949282201232
ACH-000039,-0.19817724801344092
ACH-000040,-0.12380636234763635
ACH-000041,-0.03121696313012425
ACH-000042,-0.08634864927231939
ACH-000045,-0.13114324676839434
ACH-000047,-0.03169861623006478
ACH-000052,-0.05080594338503612
ACH-000053,-0.04130872036506799
ACH-000054,-0.27892539268200384
ACH-000055,-0.1812877701343015
ACH-000060,-0.23947690781371084
ACH-000067,-0.38131442998893933
ACH-000070,-0.08765101532809895
ACH-000075,-0.3025951650995175
ACH-000078,-0.13629535161957915
ACH-000082,-0.07838993050115405
ACH-000085,-0.0882388056582187
ACH-000086,-0.10728351667021364
ACH-000087,-0.23233040596588914
ACH-000092,-0.2386677703787364
ACH-000095,-0.07258961013681726
ACH-000097,-0.06586036746929813
ACH-000098,-0.31236342020886737
ACH-000099,-0.23808702874901885
ACH-000108,-0.31951754546427863
ACH-000113,-0.2682854300023734
ACH-000116,-0.15313425663970162
ACH-000118,-0.19442319160742208
ACH-000120,-0.21130912332569174
ACH-000123,-0.07425520384830392
ACH-000127,-0.16022880278424306
ACH-000128,-0.08280996682520624
ACH-000132,-0.2912705901968011
ACH-000133,-0.3032940892301053
ACH-000137,-0.23470225712114634
ACH-000138,-0.22654022568378376
ACH-000142,-0.0778319932299883
ACH-000143,-0.2322188057068345
ACH-000146,-0.07691918764464402
ACH-000148,-0.09384239110174067
ACH-000150,-0.24549527300826385
ACH-000152,-0.226235806628736
ACH-000153,-0.2920515458274265
ACH-000159,-0.0929239524297566
ACH-000160,-0.12752079460422114
ACH-000163,-0.10589447336105946
ACH-000167,-0.3555817216698028
ACH-000168,-0.09544361871743434
ACH-000169,-0.2020502128323996
ACH-000178,-0.4358306398979093
ACH-000183,-0.15429754195594042
ACH-000188,-0.062333777284487676
ACH-000189,-0.08839016181342113
ACH-000190,-0.28657484169901365
ACH-000198,-0.16101079841589105
ACH-000203,-0.644895373672077
ACH-000204,-0.1392384979824448
ACH-000206,-0.07580262932246619
ACH-000207,-0.08193257843529199
ACH-000208,-0.3253167344034035
ACH-000210,-0.19719271326828347
ACH-000211,-0.2580889351040748
ACH-000215,-0.10416230683009688
ACH-000221,-0.0637489134558639
ACH-000222,0.04569803361560392
ACH-000223,-0.23164952360896665
ACH-000226,0.02165968616245136
ACH-000227,-0.04867219557308199
ACH-000228,-0.07083644158847657
ACH-000231,-0.10392716312063398
ACH-000232,-0.2658121487148049
ACH-000233,-0.14497151196927024
ACH-000234,-0.184497631427888
ACH-000235,-0.0679344254069384
ACH-000237,-0.19897734062177547
ACH-000238,-0.0692440945248616
ACH-000242,-0.20177701618304397
ACH-000243,-0.14000971493866485
ACH-000244,-0.334923321710022
ACH-000246,-0.07720744940421022
ACH-000248,-0.07991789738614985
ACH-000250,-0.12006756790688752
ACH-000251,-0.3621579748408413
ACH-000252,-0.18301105922519412
ACH-000253,-0.07094145897923271
ACH-000255,-0.08494755730083893
ACH-000256,-0.0560399455437318
ACH-000257,-0.19275984989016856
ACH-000258,-0.21343289484776867
ACH-000259,-0.09193823283106252
ACH-000260,-0.1309074174152263
ACH-000261,-0.1246008261363336
ACH-000262,-0.2850878003531173
ACH-000263,-0.2619539963317357
ACH-000264,-0.0720544526653003
ACH-000265,-0.1131954227123331
ACH-000266,-0.18047953482336465
