,CYP11B1 (1584)
ACH-000004,0.027786446067279803
ACH-000005,-0.0849876907356044
ACH-000007,0.02264943427972309
ACH-000009,0.07766785907217688
ACH-000011,0.0661843453000112
ACH-000012,0.024433184023865327
ACH-000013,0.2065515892971352
ACH-000014,-0.14577019604243222
ACH-000015,0.13404777570902054
ACH-000017,0.1232704239967986
ACH-000018,0.18771589035603226
ACH-000019,0.013550052052398431
ACH-000021,0.0601581683411771
ACH-000022,0.008563390284730259
ACH-000025,0.12720736680736336
ACH-000028,-0.03083096284019572
ACH-000030,0.1074843199259358
ACH-000035,0.21756542620883693
ACH-000036,0.06659684769010604
ACH-000037,0.1352823798281144
ACH-000039,0.10039354404949688
ACH-000040,-0.034229623329333214
ACH-000041,0.2384485314198608
ACH-000042,0.08030385517800838
ACH-000045,0.08338495335454674
ACH-000047,-0.0765713566837365
ACH-000052,0.02770772309156896
ACH-000053,0.21033677619666652
ACH-000054,-0.010507186789695649
ACH-000055,0.16986855665441367
ACH-000060,0.0038964188520438313
ACH-000067,0.014492503343952419
ACH-000070,0.2223258877696504
ACH-000075,-0.01209082747626702
ACH-000078,0.06074116820261406
ACH-000082,0.04444052847511073
ACH-000085,0.11701288229265892
ACH-000086,0.034141781584822985
ACH-000087,-0.006726241016936676
ACH-000092,-0.0036472168394134814
ACH-000095,-0.03186619899422044
ACH-000097,-0.03796244174223768
ACH-000098,0.15147797098183075
ACH-000099,0.07325500500446712
ACH-000108,-0.01150469599625747
ACH-000113,0.13176112133789428
ACH-000116,0.016719422335421678
ACH-000118,0.02684930769410028
ACH-000120,0.04115041700387835
ACH-000123,0.2083302674798021
ACH-000127,0.06767802617272306
ACH-000128,0.22008438210346046
ACH-000132,0.17316237631288273
ACH-000133,0.11948204579191367
ACH-000137,-0.04980907345309787
ACH-000138,0.028736950288504776
ACH-000142,-0.014199836699239488
ACH-000143,0.07581687232018001
ACH-000146,0.1807565353363112
ACH-000148,0.17385305351596314
ACH-000150,-0.1165158311596091
